player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Michael Turner,1873,HB,16,ATL,376,1699,25,597,35.1
Adrian Peterson,3623,HB,16,MIN,363,1760,26,723,41.1
Clinton Portis,1058,HB,16,WAS,342,1487,15,349,23.5
Matt Forte,4358,HB,16,CHI,316,1238,13,330,26.7
Ryan Grant,2609,HB,16,GB,312,1203,11,267,22.2
LaDainian Tomlinson,777,HB,16,SD,292,1110,7,216,19.5
Thomas Jones,585,HB,16,NYJ,290,1312,12,283,21.6
Jamal Lewis,583,HB,16,CLV,279,1002,9,174,17.4
DeAngelo Williams,2972,HB,16,CAR,273,1515,23,652,43.0
Steve Slaton,4403,HB,16,HST,268,1282,18,549,42.8
Steven Jackson,1745,HB,12,STR,253,1042,10,262,25.1
Chris Johnson,4338,HB,15,TEN,251,1228,16,439,35.7
Marshawn Lynch,3628,HB,15,BUF,250,1036,11,262,25.3
Frank Gore,2282,HB,14,SF,240,1036,10,261,25.2
Kevin Smith,4378,HB,16,DET,238,976,12,291,29.8
Marion Barber III,2326,HB,15,DAL,238,885,13,253,28.6
Brian Westbrook,1094,HB,14,PHI,233,936,11,232,24.8
Le'Ron McClain,3753,HB,16,BLT,232,902,4,142,15.7
Brandon Jacobs,2327,HB,13,NYG,219,1089,16,412,37.8
Justin Fargas,1410,HB,14,OAK,218,838,6,126,15.0
Ronnie Brown,2219,HB,16,MIA,214,916,11,256,27.9
Cedric Benson,2221,HB,12,CIN,214,747,4,111,14.9
Willie Parker,2142,HB,11,PIT,210,791,6,153,19.3
LenDale White,2990,HB,16,TEN,200,773,6,212,27.4
Maurice Jones-Drew,3005,HB,16,JAX,197,824,11,217,26.3
Larry Johnson,1343,HB,12,KC,192,874,11,355,40.6
Warrick Dunn,236,HB,15,TB,186,786,7,166,21.1
Jonathan Stewart,4327,HB,16,CAR,184,839,14,322,38.4
Derrick Ward,1949,HB,16,NYG,182,1025,15,348,34.0
Willis McGahee,1339,HB,13,BLT,170,671,3,110,16.4
Ricky Williams,440,HB,16,MIA,161,659,4,123,18.7
Julius Jones,1764,HB,14,SEA,158,698,11,250,35.8
Sammy Morris,678,HB,13,NE,156,727,9,217,29.8
Joseph Addai,2975,HB,12,IND,155,544,2,38,7.0
Dominic Rhodes,979,HB,15,IND,152,538,4,98,18.2
Fred Taylor,333,HB,13,JAX,143,556,6,149,26.8
Tim Hightower,4463,HB,16,ARZ,143,399,5,99,24.8
Mewelde Moore,1840,HB,14,PIT,140,588,9,186,31.6
Edgerrin James,439,HB,13,ARZ,133,514,3,66,12.8
Maurice Morris,1061,HB,13,SEA,132,574,6,171,29.8
Earnest Graham,1613,HB,10,TB,132,563,4,180,32.0
Fred Jackson,3368,HB,15,BUF,130,571,7,146,25.6
Pierre Thomas,4080,HB,14,NO,129,625,9,202,32.3
Darren McFadden,4318,HB,13,OAK,113,499,6,151,30.3
Ray Rice,4369,HB,12,BLT,108,454,5,144,31.7
Deuce McAllister,793,HB,13,NO,107,407,2,37,9.1
Reggie Bush,2947,HB,10,NO,106,404,4,121,30.0
Chris Perry,1747,HB,10,CIN,104,269,1,25,9.3
Chester Taylor,1182,HB,16,MIN,101,399,4,76,19.0
Jerious Norwood,3024,HB,16,ATL,95,489,5,167,34.2
Michael Bush,3716,HB,10,OAK,95,421,5,150,35.6
Tashard Choice,4436,HB,10,DAL,92,472,8,189,40.0
Kevin Faulk,470,HB,14,NE,83,507,8,167,32.9
Lamont Jordan,819,HB,8,NE,80,363,2,65,17.9
Antonio Pittman,3723,HB,9,STR,79,296,4,81,27.4
Michael Pittman,382,HB,8,DEN,76,320,4,72,22.5
DeShaun Foster,1041,HB,10,SF,76,234,1,18,7.7
Correll Buckhalter,869,HB,13,PHI,76,369,8,179,48.5
Rudi Johnson,857,HB,13,DET,76,237,3,59,24.9
Leon Washington,3062,HB,16,NYJ,76,448,4,185,41.3
BenJarvus Green-Ellis,4599,HB,7,NE,74,275,1,15,5.5
Ahman Green,374,HB,8,HST,74,294,0,0,0.0
Peyton Hillis,4541,FB,6,DEN,68,343,4,75,21.9
Ahmad Bradshaw,3866,HB,11,NYG,67,355,5,180,50.7
Jamaal Charles,4387,HB,16,KC,67,357,5,104,29.1
Cadillac Williams,2222,HB,6,TB,63,233,2,44,18.9
T.J. Duckett,1025,HB,15,SEA,62,172,1,29,16.9
Darren Sproles,2347,HB,14,SD,61,330,6,127,38.5
Ladell Betts,1063,HB,13,WAS,61,206,0,0,0.0
Selvin Young,4109,HB,8,DEN,61,303,3,86,28.4
Brandon Jackson,3679,HB,10,GB,45,248,4,94,37.9
Tatum Bell,1762,HB,6,DEN,44,249,4,107,43.0
Andre Hall,3333,HB,7,DEN,35,144,1,16,11.1
Kolby Smith,3764,HB,6,KC,35,100,1,19,19.0
Jerome Harrison,3090,HB,13,CLV,34,246,3,121,49.2
David Garrard,1109,QB,16,JAX,34,69,1,16,23.2
Kevin Jones,1751,HB,8,CHI,34,109,2,31,28.4
Joe Flacco,4332,QB,13,BLT,33,75,1,38,50.7
Matt Ryan,4317,QB,12,ATL,32,-8,0,0,0.0
Matt Cassel,2447,QB,14,NE,32,5,0,0,0.0
Kenneth Darby,3862,HB,7,STR,32,140,0,0,0.0
J.J. Arrington,2261,HB,9,ARZ,31,187,4,85,45.5
Leonard Weaver,2835,FB,12,SEA,30,130,1,15,11.5
Jay Cutler,2956,QB,8,DEN,30,41,1,18,43.9
Felix Jones,4336,HB,5,DAL,30,266,5,151,56.8
Laurence Maroney,2966,HB,3,NE,28,93,1,17,18.3
Joshua Cribbs,2544,WR,12,CLV,28,169,2,48,28.4
Gary Russell,4059,HB,9,PIT,28,77,1,15,19.5
Ryan Moats,2294,HB,5,HST,26,94,0,0,0.0
Kyle Eckel,2574,FB,4,PHI,24,79,0,0,0.0
Jason Wright,2212,HB,11,CLV,23,85,0,0,0.0
Lousaka Polite,2152,FB,8,MIA,23,85,0,0,0.0
Aaron Rodgers,2241,QB,12,GB,22,6,0,0,0.0
Ryan Fitzpatrick,2467,QB,8,CIN,22,5,0,0,0.0
Tyler Thigpen,3833,QB,7,KC,22,52,0,0,0.0
Lorenzo Booker,3687,HB,6,PHI,20,53,0,0,0.0
Adrian Peterson,1177,HB,7,CHI,20,100,1,16,16.0
Chad Pennington,596,QB,10,MIA,19,-11,0,0,0.0
Michael Robinson,3045,FB,8,SF,19,50,0,0,0.0
Philip Rivers,1725,QB,11,SD,19,3,0,0,0.0
Jason Campbell,2242,QB,9,WAS,19,9,1,22,244.4
Rashard Mendenhall,4337,HB,2,PIT,19,58,0,0,0.0
Kerry Collins,115,QB,9,TEN,18,-15,0,0,0.0
Tony Romo,1693,QB,10,DAL,17,-31,0,0,0.0
DeSean Jackson,4363,WR,11,PHI,17,96,1,21,21.9
P.J. Pope,3467,HB,3,DEN,17,130,4,74,56.9
Jacob Hester,4383,FB,4,SD,17,58,1,17,29.3
Kurt Warner,112,QB,6,ARZ,16,-14,0,0,0.0
Eli Manning,1722,QB,8,NYG,16,-12,0,0,0.0
Trent Edwards,3708,QB,9,BUF,16,-5,0,0,0.0
Peyton Manning,327,QB,9,IND,16,-7,0,0,0.0
Dantrell Savage,4822,HB,3,KC,15,53,0,0,0.0
Jason Snelling,3860,FB,5,ATL,15,62,0,0,0.0
Kyle Orton,2323,QB,10,CHI,15,-17,0,0,0.0
Matt Schaub,1811,QB,7,HST,15,0,0,0,
Ryan Torain,4453,HB,2,DEN,15,69,1,19,27.5
Ben Roethlisberger,1732,QB,11,PIT,15,0,0,0,
Chad Simpson,4692,HB,4,IND,15,45,0,0,0.0
Jake Delhomme,303,QB,10,CAR,15,-12,0,0,0.0
Donovan McNabb,438,QB,8,PHI,14,-12,0,0,0.0
Gus Frerotte,93,QB,7,MIN,14,-8,0,0,0.0
Chris Taylor,3529,HB,2,HST,14,37,1,17,45.9
Garrett Wolfe,3709,HB,4,CHI,14,31,0,0,0.0
Drew Brees,802,QB,8,NO,13,-25,0,0,0.0
Mike Bell,3225,HB,3,NO,13,42,1,15,35.7
Kenny Watson,1001,HB,6,CIN,13,55,0,0,0.0
Mike Tolbert,4740,FB,6,SD,13,37,0,0,0.0
Derek Anderson,2430,QB,8,CLV,13,-5,0,0,0.0
