player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
LeSean McCoy,4976,HB,16,PHI,314,1607,26,585,36.4
Marshawn Lynch,3628,HB,16,SEA,301,1262,13,296,23.5
Matt Forte,4358,HB,16,CHI,289,1339,20,493,36.8
Ryan Mathews,5537,HB,16,SD,284,1249,11,291,23.3
Eddie Lacy,7842,HB,15,GB,284,1178,9,255,21.6
Adrian Peterson,3623,HB,14,MIN,279,1266,16,459,36.3
Chris Johnson,4338,HB,16,TEN,279,1077,14,271,25.2
Frank Gore,2282,HB,16,SF,276,1128,17,397,35.2
Alfred Morris,7165,HB,16,WAS,276,1275,17,417,32.7
Jamaal Charles,4387,HB,15,KC,260,1279,20,435,34.0
Zac Stacy,7942,HB,13,STR,250,976,10,243,24.9
Le'Veon Bell,7829,HB,13,PIT,244,860,5,130,15.1
Knowshon Moreno,4935,HB,16,DEN,241,1038,13,259,25.0
Maurice Jones-Drew,3005,HB,15,JAX,234,803,7,203,25.3
Reggie Bush,2947,HB,14,DET,223,1006,13,312,31.0
BenJarvus Green-Ellis,4599,HB,16,CIN,220,756,2,43,5.7
Rashard Mendenhall,4337,HB,15,ARZ,217,687,3,58,8.4
DeMarco Murray,6223,HB,14,DAL,217,1124,11,324,28.8
Ray Rice,4369,HB,15,BLT,214,660,3,81,12.3
Fred Jackson,3368,HB,16,BUF,206,890,6,140,15.7
C.J. Spiller,5534,HB,15,BUF,202,930,11,408,43.9
DeAngelo Williams,2972,HB,15,CAR,201,843,9,214,25.4
Chris Ivory,6007,HB,15,NYJ,182,833,12,362,43.5
Ben Tate,5583,HB,14,HST,181,771,6,150,19.5
Stevan Ridley,6225,HB,14,NE,178,772,7,141,18.3
Lamar Miller,7097,HB,16,MIA,177,709,7,191,26.9
Bilal Powell,6278,HB,16,NYJ,176,697,5,119,17.1
Giovani Bernard,7818,HB,16,CIN,170,700,8,172,24.6
Joique Bell,5797,HB,16,DET,166,653,5,89,13.6
Rashad Jennings,5174,HB,14,OAK,163,733,7,203,27.7
Steven Jackson,1745,HB,12,ATL,157,543,5,131,24.1
Trent Richardson,7009,HB,14,IND,157,458,2,38,8.3
LeGarrette Blount,5863,HB,16,NE,153,769,7,192,25.0
Bernard Pierce,7085,HB,16,BLT,152,436,2,53,12.2
Pierre Thomas,4080,HB,16,NO,147,549,3,52,9.5
Andre Brown,5053,HB,8,NYG,139,494,5,93,18.8
Willis McGahee,1339,HB,11,CLV,138,377,1,16,4.2
Bobby Rainey Jr.,7511,HB,8,TB,137,532,5,186,35.0
Doug Martin,7035,HB,6,TB,127,456,6,119,26.1
Arian Foster,5398,HB,7,HST,121,542,8,143,26.4
Montee Ball,7839,HB,15,DEN,120,559,6,140,25.0
Andre Ellington,7968,HB,14,ARZ,118,652,12,312,47.9
Darren McFadden,4318,HB,10,OAK,114,379,5,127,33.5
Daniel Thomas,6214,HB,15,MIA,109,406,3,86,21.2
Danny Woodhead,4914,HB,15,SD,106,429,0,0,0.0
Donald Brown,4950,HB,15,IND,102,537,8,215,40.0
Mike Tolbert,4740,FB,16,CAR,101,361,6,107,29.6
Jacquizz Rodgers,6297,HB,15,ATL,96,332,3,54,16.3
James Starks,5716,HB,12,GB,89,493,6,184,37.3
Mark Ingram II,6180,HB,11,NO,78,386,7,159,41.2
Kendall Hunter,6267,HB,16,SF,78,358,6,186,52.0
Robert Turbin,7106,HB,15,SEA,77,264,1,15,5.7
Shonn Greene,4988,HB,11,TEN,77,295,3,72,24.4
Jordan Todman,6335,HB,15,JAX,76,256,2,49,19.1
Bryce Brown,7213,HB,15,PHI,75,314,5,147,46.8
Cam Newton,6153,QB,16,CAR,73,219,3,49,22.4
Peyton Hillis,4541,HB,7,NYG,73,247,1,27,10.9
Knile Davis,7878,HB,13,KC,70,242,5,89,36.8
Daryl Richardson,7233,HB,7,STR,69,215,0,0,0.0
Michael Bush,3716,HB,14,CHI,63,197,2,55,27.9
Roy Helu,6257,HB,14,WAS,62,274,5,96,35.0
Mike James,7970,HB,6,TB,60,295,5,95,32.2
Brandon Jacobs,2327,HB,7,NYG,58,238,3,68,28.6
Ronnie Hillman,7069,HB,9,DEN,55,218,2,36,16.5
Brandon Bolden,7469,HB,10,NE,55,271,2,79,29.2
Khiry Robinson,8514,HB,10,NO,54,224,4,82,36.6
Joseph Randle,7933,HB,5,DAL,54,164,1,19,11.6
Darren Sproles,2347,HB,13,NO,53,220,3,71,32.3
Robert Griffin III,7008,QB,12,WAS,50,211,2,38,18.0
Dennis Johnson,8070,HB,8,HST,49,183,1,29,15.8
Terrelle Pryor,6944,QB,11,OAK,49,268,4,169,63.1
Chris Ogbonnaya,5135,HB,11,CLV,49,240,2,65,27.1
Jonathan Dwyer,5711,HB,14,PIT,49,197,3,72,36.5
Felix Jones,4336,HB,14,PIT,48,184,0,0,0.0
Jonathan Stewart,4327,HB,6,CAR,48,180,2,32,17.8
Brian Leonard,3668,HB,10,TB,47,182,1,24,13.2
Benny Cunningham,8283,HB,12,STR,47,261,2,83,31.8
Marcel Reece,4702,FB,8,OAK,46,218,1,63,28.9
Russell Wilson,7077,QB,12,SEA,45,105,1,17,16.2
Ronnie Brown,2219,HB,11,SD,45,157,0,0,0.0
Shane Vereen,6208,HB,8,NE,44,209,4,75,35.9
Jason Snelling,3860,HB,10,ATL,44,164,2,33,20.1
Matt Asiata,6432,HB,2,MIN,44,166,1,39,23.5
David Wilson,7036,HB,5,NYG,44,146,2,33,22.6
Edwin Baker,7231,HB,3,CLV,43,171,2,35,20.5
Colin Kaepernick,6188,QB,13,SF,43,108,1,20,18.5
Ahmad Bradshaw,3866,HB,3,IND,41,186,1,27,14.5
Geno Smith,7820,QB,14,NYJ,40,114,0,0,0.0
Nick Foles,7089,QB,11,PHI,39,62,0,0,0.0
Jackie Battle,3885,HB,6,TEN,36,142,3,73,51.4
Stepfan Taylor,7922,HB,10,ARZ,36,117,1,15,12.8
Toby Gerhart,5576,HB,8,MIN,36,283,5,135,47.7
Andy Dalton,6187,QB,12,CIN,36,48,0,0,0.0
Tashard Choice,4436,HB,9,BUF,35,126,1,20,15.9
Peyton Manning,327,QB,12,DEN,32,-31,0,0,0.0
Trent Richardson,7009,HB,2,CLV,31,105,0,0,0.0
Lance Dunbar,7332,HB,7,DAL,30,150,2,63,42.0
Alex Smith,2218,QB,12,KC,29,86,2,39,45.3
E.J. Manuel,7797,QB,7,BUF,28,41,1,19,46.3
Tom Brady,698,QB,10,NE,28,-7,0,0,0.0
Anthony Dixon,5696,HB,10,SF,28,56,0,0,0.0
Fozzy Whittaker,8547,HB,7,CLV,28,79,0,0,0.0
Matthew Stafford,4924,QB,12,DET,26,2,0,0,0.0
Ryan Tannehill,7014,QB,14,MIA,25,80,2,74,92.5
Drew Brees,802,QB,13,NO,23,-36,0,0,0.0
Michael Cox,8036,HB,3,NYG,22,43,0,0,0.0
Michael Vick,773,QB,6,PHI,21,132,2,97,73.5
Jonathan Grimes,7585,HB,2,HST,21,73,0,0,0.0
Carson Palmer,1317,QB,10,ARZ,21,-22,0,0,0.0
Da'Rel Scott,6373,HB,5,NYG,20,73,1,16,21.9
Andrew Luck,7007,QB,9,IND,20,0,0,0,
Denard Robinson,7917,HB,10,JAX,20,66,1,24,36.4
Johnathan Franklin,7907,HB,4,GB,19,107,1,51,47.7
Christine Michael,7843,HB,3,SEA,18,82,0,0,0.0
Alfonso Smith,5877,HB,5,ARZ,18,54,1,21,38.9
Tommy Bohanon,7997,FB,5,NYJ,17,62,0,0,0.0
Chad Henne,4371,QB,10,JAX,17,15,0,0,0.0
Alshon Jeffery,7048,WR,11,CHI,16,105,3,80,76.2
Jed Collins,4743,FB,9,NO,15,45,0,0,0.0
Thaddeus Lewis,5817,QB,5,BUF,15,23,0,0,0.0
Mike Glennon,7854,QB,9,TB,15,-32,0,0,0.0
Kellen Clemens,2994,QB,6,STR,14,1,0,0,0.0
Ben Roethlisberger,1732,QB,8,PIT,14,-4,0,0,0.0
Ryan Fitzpatrick,2467,QB,8,TEN,14,12,0,0,0.0
Aaron Rodgers,2241,QB,6,GB,13,4,0,0,0.0
Joshua Cribbs,2544,WR,4,NYJ,13,55,0,0,0.0
Bobby Rainey Jr.,7511,HB,4,CLV,13,34,0,0,0.0
Vick Ballard,7162,HB,1,IND,13,63,0,0,0.0
Eli Manning,1722,QB,7,NYG,12,-10,0,0,0.0
Joe Flacco,4332,QB,7,BLT,12,-1,0,0,0.0
Deji Karim,5703,HB,2,HST,12,51,0,0,0.0
Darrel Young,5438,FB,6,WAS,12,41,1,19,46.3
Frank Summers,5093,FB,6,BUF,12,46,1,16,34.8
Philip Rivers,1725,QB,6,SD,12,-9,0,0,0.0
Tony Romo,1693,QB,8,DAL,12,-10,0,0,0.0
LaMichael James,7063,HB,5,SF,12,59,1,21,35.6
Chris Polk,7532,HB,4,PHI,11,98,2,66,67.3
Cordarrelle Patterson,7810,WR,7,MIN,11,108,2,68,63.0
Alex Green,6248,HB,4,NYJ,11,35,0,0,0.0
Vonta Leach,2100,FB,6,BLT,11,23,0,0,0.0
Le'Ron McClain,3753,FB,8,SD,11,32,0,0,0.0
Tashard Choice,4436,HB,3,IND,11,44,0,0,0.0
John Kuhn,2686,FB,8,GB,10,38,0,0,0.0
Jay Cutler,2956,QB,5,CHI,10,-4,0,0,0.0
Jake Locker,6160,QB,5,TEN,10,15,0,0,0.0
Isaac Redman,5233,HB,2,PIT,10,12,0,0,0.0
Cyrus Gray,7655,HB,5,KC,9,24,0,0,0.0
Christian Ponder,6164,QB,5,MIN,9,-9,0,0,0.0
Tavon Austin,7789,WR,8,STR,9,151,2,121,80.1
Michael Hill,8302,HB,3,TB,9,23,0,0,0.0
Theo Riddick,7980,HB,4,DET,9,25,0,0,0.0
Phillip Tanner,6420,HB,5,DAL,9,12,0,0,0.0
Case Keenum,7323,QB,5,HST,9,15,0,0,0.0
Chase Daniel,5214,QB,5,KC,9,-1,0,0,0.0
Matt Ryan,4317,QB,6,ATL,9,-18,0,0,0.0
Cedric Peerman,5109,HB,2,CIN,8,17,0,0,0.0
Matt McGloin,8374,QB,5,OAK,8,-5,0,0,0.0
Marvin Jones Jr.,7158,WR,7,CIN,8,65,1,34,52.3
Dexter McCluster,5561,WR,7,KC,8,5,0,0,0.0
Sam Bradford,5526,QB,4,STR,8,-8,0,0,0.0
Matt Cassel,2447,QB,5,MIN,7,1,0,0,0.0
Bruce Miller,6363,FB,4,SF,7,13,0,0,0.0
Isaiah Pead,7053,HB,2,STR,7,21,0,0,0.0
Stanley Havili,6392,FB,5,IND,7,7,0,0,0.0
Charles Clay,6326,TE,6,MIA,7,15,0,0,0.0
