player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Larry Johnson,1343,HB,16,KC,416,1789,28,617,34.5
Steven Jackson,1745,HB,16,STR,345,1528,16,394,25.8
LaDainian Tomlinson,777,HB,16,SD,344,1797,23,719,40.0
Rudi Johnson,857,HB,16,CIN,341,1309,9,169,12.9
Edgerrin James,439,HB,16,ARZ,337,1162,3,52,4.5
Willie Parker,2142,HB,16,PIT,336,1495,16,501,33.5
Tiki Barber,245,HB,16,NYG,326,1667,25,574,34.4
Jamal Lewis,583,HB,16,BLT,314,1131,8,180,15.9
Frank Gore,2282,HB,16,SF,312,1705,23,695,40.8
Chester Taylor,1182,HB,15,MIN,303,1218,9,296,24.3
Thomas Jones,585,HB,16,CHI,296,1217,13,259,21.3
Warrick Dunn,236,HB,16,ATL,286,1140,8,255,22.4
Travis Henry,825,HB,14,TEN,270,1211,18,456,37.7
Julius Jones,1764,HB,16,DAL,267,1084,6,200,18.5
Ahman Green,374,HB,14,GB,266,1056,6,175,16.6
Willis McGahee,1339,HB,14,BUF,260,995,8,204,20.5
Shaun Alexander,597,HB,10,SEA,252,903,11,203,22.5
Ladell Betts,1063,HB,16,WAS,245,1157,15,287,24.8
Deuce McAllister,793,HB,15,NO,244,1059,11,275,26.0
Ronnie Brown,2219,HB,13,MIA,241,1003,12,275,27.4
Brian Westbrook,1094,HB,15,PHI,239,1219,16,366,30.0
Tatum Bell,1762,HB,13,DEN,232,1020,12,295,28.9
Fred Taylor,333,HB,15,JAX,231,1146,12,313,27.3
Joseph Addai,2975,HB,16,IND,227,1071,12,230,21.5
DeShaun Foster,1041,HB,14,CAR,226,901,9,196,21.8
Cadillac Williams,2222,HB,14,TB,225,799,9,200,25.0
Reuben Droughns,640,HB,14,CLV,219,761,4,77,10.1
Corey Dillon,249,HB,16,NE,200,812,7,161,19.8
Dominic Rhodes,979,HB,16,IND,187,641,5,81,12.6
Kevin Jones,1751,HB,12,DET,181,687,6,190,27.7
Justin Fargas,1410,HB,16,OAK,178,659,3,82,12.4
Laurence Maroney,2966,HB,14,NE,175,749,9,227,30.3
Maurice Jones-Drew,3005,HB,16,JAX,166,941,14,385,40.9
Maurice Morris,1061,HB,16,SEA,162,601,10,192,31.9
Mike Bell,3225,HB,14,DEN,156,675,6,185,27.4
Cedric Benson,2221,HB,15,CHI,156,640,6,122,19.1
Reggie Bush,2947,HB,16,NO,154,555,5,84,15.1
Leon Washington,3062,HB,15,NYJ,151,650,7,127,19.5
Ron Dayne,589,HB,9,HST,149,603,3,56,9.3
Marion Barber III,2326,HB,16,DAL,135,654,9,168,25.7
Kevan Barlow,841,HB,12,NYJ,131,368,0,0,0.0
Clinton Portis,1058,HB,8,WAS,127,523,7,162,31.0
Wali Lundy,3115,HB,12,HST,124,474,6,153,32.3
DeAngelo Williams,2972,HB,12,CAR,121,501,7,167,33.3
Lamont Jordan,819,HB,9,OAK,114,434,7,172,39.6
Cedric Houston,2399,HB,8,NYJ,112,374,2,51,13.6
Anthony Thomas,808,HB,14,BUF,106,376,2,37,9.8
Jerious Norwood,3024,HB,14,ATL,99,633,11,322,50.9
Brandon Jacobs,2327,HB,15,NYG,96,424,1,16,3.8
Sammy Morris,678,HB,11,MIA,92,403,5,151,37.5
Vernand Morency,2290,HB,12,GB,88,418,5,134,32.1
Correll Buckhalter,869,HB,16,PHI,83,345,3,51,14.8
Michael Turner,1873,HB,13,SD,79,477,7,209,43.8
Jason Wright,2212,HB,8,CLV,62,195,1,18,9.2
LenDale White,2990,HB,11,TEN,61,244,3,64,26.2
Mike Alstott,170,FB,11,TB,60,171,2,33,19.3
Najeh Davenport,1131,HB,12,PIT,59,213,3,86,40.4
Sam Gado,2599,HB,8,HST,54,217,3,81,37.3
Michael Vick,773,QB,16,ATL,49,287,7,127,44.3
Arlen Harris,1621,HB,7,DET,49,158,2,38,24.1
Michael Pittman,382,HB,14,TB,49,242,4,78,32.2
Artose Pinner,1412,HB,8,MIN,43,190,2,37,19.5
Chris Brown,1407,HB,5,TEN,41,156,2,37,23.7
Stephen Davis,192,HB,13,STR,40,177,1,16,9.0
Mike Anderson,693,HB,12,BLT,39,183,3,83,45.4
Zack Crockett,136,FB,11,OAK,39,163,2,33,20.2
T.J. Duckett,1025,HB,9,WAS,38,133,3,52,39.1
Noah Herron,2461,HB,9,GB,37,150,1,19,12.7
Musa Smith,1392,HB,10,BLT,36,149,2,46,30.9
Michael Robinson,3045,HB,11,SF,36,82,0,0,0.0
Michael Bennett,797,HB,8,KC,36,200,3,76,38.0
Vince Young,2948,QB,13,TEN,36,78,1,19,24.4
Tom Brady,698,QB,14,NE,35,13,0,0,0.0
Philip Rivers,1725,QB,16,SD,35,-23,0,0,0.0
Mack Strong,66,FB,13,SEA,33,149,1,17,11.4
Steve McNair,114,QB,11,BLT,32,-30,0,0,0.0
Drew Brees,802,QB,11,NO,30,-31,0,0,0.0
Maurice Hicks,1253,HB,9,SF,29,82,0,0,0.0
Lorenzo Neal,47,FB,11,SD,29,140,1,43,30.7
Chris Taylor,3529,HB,2,HST,28,123,1,17,13.8
Heath Evans,843,FB,13,NE,27,117,1,35,29.9
David Carr,1009,QB,12,HST,27,28,0,0,0.0
Kevin Faulk,470,HB,12,NE,25,123,0,0,0.0
