player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Johnny White,6285,HB,3,BUF,8,34,0,0,0.0
Lex Hilliard,4518,FB,4,NYJ,8,31,0,0,0.0
Bernard Scott,5133,HB,2,CIN,8,35,1,29,82.9
Chris Ogbonnaya,5135,HB,7,CLV,8,30,0,0,0.0
Tyrod Taylor,6332,QB,4,BLT,8,14,0,0,0.0
Ryan Mallett,6226,QB,3,NE,8,-9,0,0,0.0
Nate Burleson,1386,WR,5,DET,8,48,1,16,33.3
Cyrus Gray,7655,HB,3,KC,7,44,1,15,34.1
Antonio Brown,5718,WR,5,PIT,7,24,0,0,0.0
Brandon Banks,6053,WR,4,WAS,7,36,1,21,58.3
Chad Henne,4371,QB,5,JAX,7,6,0,0,0.0
Matt Hasselbeck,408,QB,5,TEN,7,-7,0,0,0.0
Mike Thomas,5030,WR,5,DET,6,58,1,22,37.9
Julio Jones,6158,WR,6,ATL,6,30,1,18,60.0
Da'Rel Scott,6373,HB,1,NYG,6,9,0,0,0.0
Joshua Cribbs,2544,WR,5,CLV,6,42,1,16,38.1
Brady Quinn,3638,QB,5,KC,6,-2,0,0,0.0
Travis Benjamin,7100,WR,5,CLV,6,66,2,50,75.8
Andrew Hawkins,6125,WR,5,CIN,6,30,0,0,0.0
Stanley Havili,6392,FB,4,PHI,6,22,0,0,0.0
Taiwan Jones,6277,HB,3,OAK,6,21,0,0,0.0
Brandon Jacobs,2327,HB,2,SF,5,7,0,0,0.0
Mike Wallace,5007,WR,4,PIT,5,7,0,0,0.0
Mohamed Sanu,7084,WR,4,CIN,5,15,0,0,0.0
Nate Eachus,7722,FB,1,KC,5,18,0,0,0.0
Greg Jones II,1776,FB,4,JAX,5,8,0,0,0.0
Collin Mooney,7256,FB,1,TEN,5,19,0,0,0.0
Henry Hynoski,6666,FB,5,NYG,5,20,0,0,0.0
T.Y. Hilton,7092,WR,4,IND,5,29,1,19,65.5
Bruce Miller,6363,FB,4,SF,5,18,0,0,0.0
Jeremy Kerley,6305,WR,5,NYJ,5,8,0,0,0.0
Matt Moore,4018,QB,1,MIA,4,-4,0,0,0.0
Keshawn Martin,7121,WR,4,HST,4,53,2,38,71.7
Kyle Williams,5729,WR,4,SF,4,21,0,0,0.0
Nick Foles,7089,QB,4,PHI,4,3,0,0,0.0
A.J. Green,6156,WR,3,CIN,4,38,1,20,52.6
Matt Flynn,4523,QB,2,SEA,4,-5,0,0,0.0
Julian Edelman,5156,WR,3,NE,4,45,1,47,104.4
Graham Harrell,5519,QB,2,GB,4,-3,0,0,0.0
Andre Roberts,5612,WR,4,ARZ,4,29,1,15,51.7
Terrelle Pryor,6944,QB,2,OAK,4,9,0,0,0.0
Bruce Gradkowski,3139,QB,2,CIN,4,-2,0,0,0.0
Donnie Avery,4347,WR,3,IND,4,9,0,0,0.0
Dan Herron,7179,HB,2,CIN,4,5,0,0,0.0
Quinn Johnson,5069,FB,3,TEN,4,5,0,0,0.0
Dwayne Allen,7066,TE,3,IND,3,5,0,0,0.0
Steve Smith,837,WR,3,CAR,3,27,1,15,55.6
Ryan Lindley,7174,QB,3,ARZ,3,-1,0,0,0.0
Marvin Jones Jr.,7158,WR,3,CIN,3,47,1,37,78.7
Eddie Royal,4356,WR,2,SD,3,22,0,0,0.0
Chris Givens,7096,WR,3,STR,3,12,0,0,0.0
Mario Manningham,4409,WR,3,SF,3,64,2,57,89.1
Stefan Logan,4909,HB,3,DET,3,17,0,0,0.0
Golden Tate,5585,WR,2,SEA,3,20,0,0,0.0
Chase Daniel,5214,QB,1,NO,3,17,1,19,111.8
Arrelious Benn,5564,WR,3,TB,3,16,0,0,0.0
Brandon LaFell,5602,WR,3,CAR,3,35,1,25,71.4
Colt McCoy,5609,QB,2,CLV,3,0,0,0,
Josh Morgan,4488,WR,3,WAS,3,25,0,0,0.0
Torrey Smith,6210,WR,3,BLT,3,9,0,0,0.0
DeSean Jackson,4363,WR,3,PHI,3,-7,0,0,0.0
Jordan Todman,6335,HB,1,JAX,3,8,0,0,0.0
Matt Asiata,6432,FB,2,MIN,3,9,0,0,0.0
Armond Smith,6824,HB,1,CAR,3,0,0,0,
Lawrence Vickers,3125,FB,2,DAL,3,11,0,0,0.0
Devin Hester,3002,WR,3,CHI,3,6,0,0,0.0
Jason Campbell,2242,QB,1,CHI,3,-3,0,0,0.0
Joe Adams,7104,WR,3,CAR,3,13,0,0,0.0
David Carr,1009,QB,1,NYG,3,-3,0,0,0.0
Damaris Johnson,7530,WR,3,PHI,3,12,0,0,0.0
Santana Moss,786,WR,3,WAS,3,14,0,0,0.0
Sidney Rice,3660,WR,2,SEA,2,6,0,0,0.0
Justin Blackmon,7011,WR,2,JAX,2,23,0,0,0.0
Kealoha Pilares,6284,WR,2,CAR,2,17,0,0,0.0
Early Doucet,4395,WR,1,ARZ,2,9,0,0,0.0
T.J. Yates,6304,QB,2,HST,2,-1,0,0,0.0
Patrick Peterson,6157,CB,2,ARZ,2,13,1,17,130.8
Owen Schmitt,4477,FB,2,OAK,2,1,0,0,0.0
Javon Ringer,5097,HB,1,TEN,2,14,0,0,0.0
Titus Young,6196,WR,2,DET,2,16,0,0,0.0
Luke McCown,1827,QB,1,ATL,2,-3,0,0,0.0
Greg McElroy,6360,QB,1,NYJ,2,-2,0,0,0.0
John Skelton,5678,QB,1,ARZ,2,2,0,0,0.0
Jonathan Grimes,7585,HB,2,NYJ,2,6,0,0,0.0
Greg Little,6211,WR,2,CLV,2,15,1,17,113.3
Darrius Heyward-Bey,4930,WR,2,OAK,2,16,1,20,125.0
Leonard Hankerson,6231,WR,2,WAS,2,5,0,0,0.0
Keiland Williams,5794,HB,2,DET,2,3,0,0,0.0
Roy Helu,6257,HB,1,WAS,2,2,0,0,0.0
Danny Amendola,4717,WR,2,STR,2,8,0,0,0.0
Will Johnson,7639,FB,2,PIT,2,7,0,0,0.0
Kevin Ogletree,5387,WR,2,DAL,2,9,0,0,0.0
Harry Douglas,4398,WR,2,ATL,2,4,0,0,0.0
Jarius Wright,7118,WR,2,MIN,2,11,0,0,0.0
Wes Welker,2204,WR,2,NE,2,20,0,0,0.0
Dez Bryant,5549,WR,2,DAL,2,-5,0,0,0.0
Joe Morgan,6696,WR,1,NO,1,1,0,0,0.0
Shaun Hill,1255,QB,1,DET,1,-1,0,0,0.0
Ben Obomanu,3194,WR,1,SEA,1,11,0,0,0.0
Brandon Marshall,3064,WR,1,CHI,1,-2,0,0,0.0
Jordan Babineaux,1980,S,1,TEN,1,10,0,0,0.0
Kellen Clemens,2994,QB,1,STR,1,0,0,0,
Ryan Grant,2609,HB,1,WAS,1,5,0,0,0.0
Travaris Cadet,7457,HB,1,NO,1,5,0,0,0.0
Preston Parker,5950,WR,1,TB,1,7,0,0,0.0
Mike Thomas,5030,WR,1,JAX,1,-1,0,0,0.0
Dorin Dickerson,5750,FB,1,BUF,1,-8,0,0,0.0
Louis Murphy,5048,WR,1,CAR,1,3,0,0,0.0
Denarius Moore,6300,WR,1,OAK,1,-5,0,0,0.0
David Gilreath,6782,WR,1,PIT,1,7,0,0,0.0
James Casey,5076,FB,1,HST,1,6,0,0,0.0
Joe Webb III,5722,QB,1,MIN,1,-1,0,0,0.0
Aaron Hernandez,5637,TE,1,NE,1,5,0,0,0.0
Kendall Wright,7026,WR,1,TEN,1,4,0,0,0.0
Terrance Copper,2016,WR,1,KC,1,1,0,0,0.0
Marcus Thigpen,5488,HB,1,MIA,1,8,0,0,0.0
Lex Hilliard,4518,FB,1,NE,1,2,0,0,0.0
Jordan Norwood,5358,WR,1,CLV,1,1,0,0,0.0
Tiquan Underwood,5177,WR,1,TB,1,1,0,0,0.0
DeVier Posey,7070,WR,1,HST,1,-3,0,0,0.0
Reggie Wayne,800,WR,1,IND,1,-5,0,0,0.0
Emmanuel Sanders,5606,WR,1,PIT,1,4,0,0,0.0
Jacoby Jones,3689,WR,1,BLT,1,6,0,0,0.0
Brandon Tate,5006,WR,1,CIN,1,0,0,0,
Michael Crabtree,4933,WR,1,SF,1,8,0,0,0.0
Dezmon Briscoe,5714,WR,1,WAS,1,1,0,0,0.0
Marlon Moore,5887,WR,1,MIA,1,9,0,0,0.0
Pierre Garcon,4519,WR,1,WAS,1,2,0,0,0.0
Kirk Cousins,7102,QB,1,WAS,1,-1,0,0,0.0
Andre Caldwell,4411,WR,1,DEN,1,14,0,0,0.0
Jerrel Jernigan,6235,WR,1,NYG,1,6,0,0,0.0
Clyde Gates,6263,WR,1,NYJ,1,12,0,0,0.0
Cecil Shorts,6266,WR,1,JAX,1,-4,0,0,0.0
Niles Paul,6307,TE,1,WAS,1,-1,0,0,0.0
Ted Ginn Jr.,3625,WR,1,SF,1,7,0,0,0.0
Aldrick Robinson,6330,WR,1,WAS,1,14,0,0,0.0
Devery Henderson,1771,WR,1,NO,1,13,0,0,0.0
T.J. Graham,7071,WR,1,BUF,1,5,0,0,0.0
Tyler Thigpen,3833,QB,1,BUF,1,-1,0,0,0.0
Anquan Boldin,1369,WR,1,BLT,1,3,0,0,0.0
Robert Hughes,6564,FB,1,IND,1,5,0,0,0.0
Robert Meachem,3643,WR,1,SD,1,-6,0,0,0.0
Fred Davis,4362,TE,1,WAS,1,1,0,0,0.0
