player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Michael Turner,1873,HB,16,ATL,334,1371,18,431,31.4
Steven Jackson,1745,HB,16,STR,330,1241,15,314,25.3
Arian Foster,5398,HB,16,HST,327,1616,19,548,33.9
Rashard Mendenhall,4337,HB,16,PIT,324,1279,15,389,30.4
Cedric Benson,2221,HB,16,CIN,322,1116,6,117,10.5
Chris Johnson,4338,HB,16,TEN,316,1365,20,573,42.0
Ray Rice,4369,HB,16,BLT,307,1287,8,240,18.6
Maurice Jones-Drew,3005,HB,14,JAX,301,1311,13,285,21.7
Adrian Peterson,3623,HB,15,MIN,283,1298,18,448,34.5
Ahmad Bradshaw,3866,HB,16,NYG,276,1239,19,453,36.6
Peyton Hillis,4541,HB,16,CLV,270,1181,10,242,20.5
Thomas Jones,585,HB,16,KC,245,896,6,176,19.6
Matt Forte,4358,HB,16,CHI,237,1072,12,352,32.8
Jamaal Charles,4387,HB,16,KC,231,1466,18,509,34.7
BenJarvus Green-Ellis,4599,HB,16,NE,229,1008,9,181,18.0
Fred Jackson,3368,HB,16,BUF,222,939,11,266,28.3
Darren McFadden,4318,HB,13,OAK,222,1157,17,529,45.7
LaDainian Tomlinson,777,HB,15,NYJ,219,914,11,219,24.0
LeSean McCoy,4976,HB,15,PHI,207,1080,10,358,33.1
Frank Gore,2282,HB,11,SF,203,853,10,238,27.9
LeGarrette Blount,5863,HB,13,TB,201,1007,18,460,45.7
Ronnie Brown,2219,HB,16,MIA,200,734,4,100,13.6
Brandon Jackson,3679,HB,16,GB,190,703,4,131,18.6
Shonn Greene,4988,HB,15,NYJ,185,770,4,73,9.5
Felix Jones,4336,HB,16,DAL,185,800,6,122,15.3
Mike Tolbert,4740,HB,15,SD,182,737,8,189,25.6
Knowshon Moreno,4935,HB,13,DEN,182,779,7,148,19.0
Jonathan Stewart,4327,HB,14,CAR,178,770,8,234,30.4
Jahvid Best,5555,HB,15,DET,171,559,6,146,26.1
Marshawn Lynch,3628,HB,12,SEA,165,573,6,157,27.4
Ryan Torain,4453,HB,10,WAS,164,744,12,293,39.4
Ricky Williams,440,HB,16,MIA,159,673,5,130,19.3
Michael Bush,3716,HB,14,OAK,158,655,9,187,28.5
Ryan Mathews,5537,HB,12,SD,158,678,11,212,31.3
Tim Hightower,4463,HB,16,ARZ,153,758,12,342,45.1
Brandon Jacobs,2327,HB,16,NYG,148,819,12,364,44.4
Chris Ivory,6007,HB,12,NO,137,718,9,229,31.9
Donald Brown,4950,HB,12,IND,129,497,4,149,30.0
Cadillac Williams,2222,HB,16,TB,125,437,4,106,24.3
Justin Forsett,4547,HB,16,SEA,118,523,8,196,37.5
Joseph Addai,2975,HB,8,IND,116,495,4,97,19.6
Beanie Wells,4954,HB,13,ARZ,116,397,2,40,10.1
Marion Barber III,2326,HB,13,DAL,113,374,4,91,24.3
Chester Taylor,1182,HB,16,CHI,112,267,1,24,9.0
Mike Goodson,5034,HB,12,CAR,103,439,6,140,31.9
Willis McGahee,1339,HB,15,BLT,100,380,3,83,21.8
Danny Woodhead,4914,HB,14,NE,97,547,5,121,22.1
Maurice Morris,1061,HB,10,DET,90,336,3,58,17.3
DeAngelo Williams,2972,HB,6,CAR,87,369,5,132,35.8
Jason Snelling,3860,HB,14,ATL,87,324,2,47,14.5
Rashad Jennings,5174,HB,12,JAX,84,459,5,140,30.5
John Kuhn,2686,HB,13,GB,84,279,2,35,12.5
Pierre Thomas,4080,HB,6,NO,83,269,1,16,5.9
Toby Gerhart,5576,HB,15,MIN,81,322,1,21,6.5
Brian Westbrook,1094,HB,10,SF,76,340,3,64,18.8
C.J. Spiller,5534,HB,14,BUF,74,283,5,89,31.4
Anthony Dixon,5696,HB,12,SF,70,244,4,84,34.4
Tashard Choice,4436,HB,11,DAL,66,243,2,46,18.9
Keiland Williams,5794,HB,12,WAS,65,261,2,52,19.9
Bernard Scott,5133,HB,14,CIN,61,299,3,54,18.1
Correll Buckhalter,869,HB,10,DEN,59,147,0,0,0.0
Clinton Portis,1058,HB,5,WAS,54,227,2,45,19.8
Isaac Redman,5233,HB,14,PIT,52,247,4,71,28.7
Javon Ringer,5097,HB,14,TEN,51,243,4,103,42.4
Derrick Ward,1949,HB,14,HST,50,315,6,158,50.2
Darren Sproles,2347,HB,15,SD,50,270,6,143,53.0
Julius Jones,1764,HB,10,NO,48,192,2,70,36.5
Javarris James,5962,HB,8,IND,46,112,0,0,0.0
