player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Clinton Portis,1058,HB,16,WAS,323,1255,10,201,16.0
Edgerrin James,439,HB,16,ARZ,323,1221,9,175,14.3
Willie Parker,2142,HB,15,PIT,321,1316,20,440,33.4
LaDainian Tomlinson,777,HB,16,SD,315,1474,26,609,41.3
Thomas Jones,585,HB,16,NYJ,310,1122,7,142,12.7
LenDale White,2990,HB,16,TEN,303,1115,5,116,10.4
Jamal Lewis,583,HB,15,CLV,298,1312,14,378,28.8
Willis McGahee,1339,HB,15,BLT,294,1206,15,343,28.4
Marshawn Lynch,3628,HB,13,BUF,280,1115,9,263,23.6
Brian Westbrook,1094,HB,15,PHI,278,1340,19,408,30.4
Joseph Addai,2975,HB,15,IND,261,1072,6,109,10.2
Frank Gore,2282,HB,15,SF,260,1103,12,253,22.9
DeShaun Foster,1041,HB,16,CAR,247,890,3,53,6.0
Adrian Peterson,3623,HB,14,MIN,238,1341,22,659,49.1
Steven Jackson,1745,HB,12,STR,237,1002,8,319,31.8
Warrick Dunn,236,HB,16,ATL,228,721,8,171,23.7
Fred Taylor,333,HB,15,JAX,222,1223,17,538,44.0
Justin Fargas,1410,HB,14,OAK,222,1011,11,261,25.8
Earnest Graham,1613,HB,15,TB,222,898,7,157,17.5
Shaun Alexander,597,HB,13,SEA,207,716,14,257,35.9
Marion Barber III,2326,HB,16,DAL,204,981,15,357,36.4
Brandon Jacobs,2327,HB,11,NYG,202,1012,14,271,26.8
Cedric Benson,2221,HB,11,CHI,196,674,4,100,14.8
Ron Dayne,589,HB,12,HST,194,773,6,149,19.3
Ryan Grant,2609,HB,12,GB,189,956,17,464,48.5
Laurence Maroney,2966,HB,13,NE,185,840,4,144,17.1
Kenny Watson,1001,HB,14,CIN,178,780,5,89,11.4
Rudi Johnson,857,HB,11,CIN,170,498,4,72,14.5
Travis Henry,825,HB,11,DEN,167,691,8,154,22.3
Maurice Jones-Drew,3005,HB,15,JAX,167,768,12,316,41.1
Julius Jones,1764,HB,16,DAL,164,588,7,133,22.6
Larry Johnson,1343,HB,8,KC,158,559,5,167,29.9
Chester Taylor,1182,HB,14,MIN,157,847,12,356,42.0
Reggie Bush,2947,HB,12,NO,157,573,4,83,14.5
Kevin Jones,1751,HB,13,DET,153,581,8,164,28.2
Adrian Peterson,1177,HB,16,CHI,151,511,2,41,8.0
Lamont Jordan,819,HB,11,OAK,145,549,6,132,24.0
DeAngelo Williams,2972,HB,16,CAR,144,717,6,220,30.7
Selvin Young,4109,HB,15,DEN,140,759,11,326,43.0
Maurice Morris,1061,HB,13,SEA,140,628,7,193,30.7
Jesse Chatman,2861,HB,11,MIA,128,515,9,181,35.1
Derrick Ward,1949,HB,8,NYG,125,602,7,183,30.4
Kenton Keith,4131,HB,16,IND,121,533,4,76,14.3
Ronnie Brown,2219,HB,7,MIA,119,602,6,150,24.9
Aaron Stecker,572,HB,13,NO,115,448,4,74,16.5
Kolby Smith,3764,HB,8,KC,112,407,3,50,12.3
Najeh Davenport,1131,HB,15,PIT,107,500,5,133,26.6
Chris Brown,1407,HB,12,TEN,103,459,4,107,23.3
Jerious Norwood,3024,HB,15,ATL,103,615,9,274,44.6
Ladell Betts,1063,HB,15,WAS,93,335,2,36,10.7
Brian Leonard,3668,FB,10,STR,86,303,2,48,15.8
Sammy Morris,678,HB,6,NE,85,388,1,49,12.6
Reuben Droughns,640,HB,15,NYG,85,275,2,80,29.1
Musa Smith,1392,HB,15,BLT,75,264,3,57,21.6
Dominic Rhodes,979,HB,6,OAK,75,302,2,44,14.6
Brandon Jackson,3679,HB,9,GB,75,267,2,61,22.8
Michael Turner,1873,HB,14,SD,71,316,2,123,38.9
Leon Washington,3062,HB,15,NYJ,71,353,4,106,30.0
Ahman Green,374,HB,6,HST,70,260,1,18,6.9
Michael Pittman,382,HB,9,TB,68,286,3,67,23.4
T.J. Duckett,1025,HB,11,DET,65,335,5,144,43.0
Kevin Faulk,470,HB,14,NE,62,265,0,0,0.0
Correll Buckhalter,869,HB,13,PHI,62,313,7,138,44.1
Jason Wright,2212,HB,12,CLV,60,277,3,50,18.1
Darius Walker,4248,HB,4,HST,58,264,2,57,21.6
Fred Jackson,3368,HB,8,BUF,58,300,4,89,29.7
