player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Chris Johnson,4338,HB,16,TEN,358,2037,30,1026,50.4
Thomas Jones,585,HB,16,NYJ,331,1402,12,391,27.9
Steven Jackson,1745,HB,15,STR,324,1422,14,378,26.6
Adrian Peterson,3623,HB,16,MIN,314,1388,21,549,39.6
Maurice Jones-Drew,3005,HB,16,JAX,312,1389,13,454,32.7
Cedric Benson,2221,HB,13,CIN,301,1254,14,321,25.6
Ryan Grant,2609,HB,16,GB,282,1253,17,409,32.6
Matt Forte,4358,HB,16,CHI,258,929,6,198,21.3
Ray Rice,4369,HB,16,BLT,254,1338,21,533,39.8
Knowshon Moreno,4935,HB,16,DEN,247,947,6,135,14.3
Rashard Mendenhall,4337,HB,15,PIT,242,1108,13,370,33.4
Ricky Williams,440,HB,16,MIA,241,1121,12,299,26.7
Fred Jackson,3368,HB,16,BUF,237,1067,9,205,19.2
Frank Gore,2282,HB,14,SF,229,1120,13,506,45.2
Brandon Jacobs,2327,HB,15,NYG,224,832,7,136,16.3
LaDainian Tomlinson,777,HB,14,SD,223,733,4,94,12.8
Jonathan Stewart,4327,HB,16,CAR,221,1133,16,458,40.4
Joseph Addai,2975,HB,15,IND,219,828,4,72,8.7
Kevin Smith,4378,HB,13,DET,217,747,7,141,18.9
DeAngelo Williams,2972,HB,13,CAR,216,1117,16,436,39.0
Marion Barber III,2326,HB,15,DAL,214,932,12,263,28.2
Cadillac Williams,2222,HB,16,TB,209,816,11,232,28.4
Laurence Maroney,2966,HB,15,NE,194,757,3,84,11.1
Jerome Harrison,3090,HB,13,CLV,194,869,9,221,25.4
Jamaal Charles,4387,HB,15,KC,190,1120,11,423,37.8
Michael Turner,1873,HB,11,ATL,178,875,13,364,41.6
Julius Jones,1764,HB,14,SEA,177,673,7,179,26.6
Beanie Wells,4954,HB,16,ARZ,176,821,13,260,31.7
Mike Bell,3225,HB,13,NO,172,653,6,139,21.3
Ahmad Bradshaw,3866,HB,15,NYG,163,777,13,290,37.3
LeSean McCoy,4976,HB,16,PHI,155,637,5,134,21.0
Ronnie Brown,2219,HB,9,MIA,147,648,5,144,22.2
Pierre Thomas,4080,HB,13,NO,147,793,15,326,41.1
Jamal Lewis,583,HB,9,CLV,143,500,3,49,9.8
Tim Hightower,4463,HB,16,ARZ,142,597,7,165,27.6
Jason Snelling,3860,HB,13,ATL,142,613,8,166,27.1
Larry Johnson,1343,HB,7,KC,132,380,3,51,13.4
Steve Slaton,4403,HB,11,HST,131,450,4,99,22.0
Justin Fargas,1410,HB,12,OAK,129,491,5,109,22.2
Clinton Portis,1058,HB,8,WAS,124,502,3,127,25.3
Michael Bush,3716,HB,15,OAK,123,591,5,158,26.7
Correll Buckhalter,869,HB,14,DEN,120,642,7,193,30.1
Marshawn Lynch,3628,HB,13,BUF,120,450,3,97,21.6
Felix Jones,4336,HB,14,DAL,116,685,10,300,43.8
Derrick Ward,1949,HB,14,TB,114,409,5,109,26.7
Justin Forsett,4547,HB,15,SEA,114,623,8,189,30.3
Willis McGahee,1339,HB,15,BLT,109,544,9,245,45.0
Shonn Greene,4988,HB,13,NYJ,108,542,7,158,29.2
Darren McFadden,4318,HB,12,OAK,104,364,2,43,11.8
Ryan Moats,2294,HB,8,HST,101,390,3,48,12.3
Willie Parker,2142,HB,13,PIT,98,389,3,73,18.8
Maurice Morris,1061,HB,13,DET,93,384,4,112,29.2
Darren Sproles,2347,HB,15,SD,93,343,3,57,16.6
Chester Taylor,1182,HB,16,MIN,93,332,3,57,17.2
Glen Coffee,4997,HB,10,SF,83,226,1,17,7.5
Chris Brown,1407,HB,13,HST,79,267,0,0,0.0
Donald Brown,4950,HB,11,IND,78,281,3,83,29.5
Jerious Norwood,3024,HB,10,ATL,76,254,2,39,15.4
Bernard Scott,5133,HB,9,CIN,74,325,4,120,36.9
Sammy Morris,678,HB,10,NE,73,319,5,127,39.8
Leon Washington,3062,HB,7,NYJ,71,330,3,77,23.3
Reggie Bush,2947,HB,14,NO,70,396,8,188,47.5
Leonard Weaver,2835,FB,13,PHI,70,323,4,93,28.8
Tashard Choice,4436,HB,14,DAL,64,349,3,126,36.1
Rock Cartwright,1211,HB,10,WAS,64,228,3,67,29.4
LenDale White,2990,HB,12,TEN,64,222,0,0,0.0
Fred Taylor,333,HB,6,NE,63,274,1,19,6.9
