league,scope,method,season,rmse_delta
dk,all,te_pff_mtf,2017,0.00043332185465638773
dk,all,te_pff_mtf,2018,0.00043534507285070134
dk,all,te_pff_mtf,2019,-0.006208175933518856
dk,all,te_pff_mtf,2020,-0.0030691178184243384
dk,all,te_pff_mtf,2021,-0.00019365068892263082
dk,all,te_pff_mtf,2022,-0.0022039854747770704
dk,all,te_pff_mtf,2023,-0.002078198988096691
dk,all,te_pff_mtf,2024,-0.0037932265218163508
dk,all,te_pff_mtf,2025,-0.00029395739431326007
dk,all,te_pff_mtf__te_route,2017,0.0001670206548571862
dk,all,te_pff_mtf__te_route,2018,0.0008213024313512562
dk,all,te_pff_mtf__te_route,2019,-0.0017613739017408037
dk,all,te_pff_mtf__te_route,2020,-0.0018073713731410201
dk,all,te_pff_mtf__te_route,2021,-0.0007865343496331612
dk,all,te_pff_mtf__te_route,2022,-0.002286118217795341
dk,all,te_pff_mtf__te_route,2023,-0.0006488516364702157
dk,all,te_pff_mtf__te_route,2024,-0.002567084464121905
dk,all,te_pff_mtf__te_route,2025,-0.0009915204929087373
dk,all,te_pff_opportunity_control,2017,0.0008517932938070238
dk,all,te_pff_opportunity_control,2018,0.0007017296815599039
dk,all,te_pff_opportunity_control,2019,-0.004951812117182985
dk,all,te_pff_opportunity_control,2020,-0.0005499218481608281
dk,all,te_pff_opportunity_control,2021,0.0011830807343069516
dk,all,te_pff_opportunity_control,2022,-0.0017519668314971426
dk,all,te_pff_opportunity_control,2023,-0.001814966021751463
dk,all,te_pff_opportunity_control,2024,-0.0021003924332076984
dk,all,te_pff_opportunity_control,2025,0.002577099142332173
dk,all,te_pff_opportunity_control__te_route,2017,4.416228931880539e-06
dk,all,te_pff_opportunity_control__te_route,2018,0.0012734714702302696
dk,all,te_pff_opportunity_control__te_route,2019,-0.00024850400760501046
dk,all,te_pff_opportunity_control__te_route,2020,0.0003148538488200181
dk,all,te_pff_opportunity_control__te_route,2021,-0.0006587549322749631
dk,all,te_pff_opportunity_control__te_route,2022,-0.0010604044261892653
dk,all,te_pff_opportunity_control__te_route,2023,6.737368303566527e-05
dk,all,te_pff_opportunity_control__te_route,2024,-0.0006100243346600642
dk,all,te_pff_opportunity_control__te_route,2025,9.01189944095826e-05
dk,all,te_pff_yac,2017,0.00044128794483100364
dk,all,te_pff_yac,2018,0.0013346823974389466
dk,all,te_pff_yac,2019,-0.006923851449727625
dk,all,te_pff_yac,2020,-0.0036508253352431908
dk,all,te_pff_yac,2021,-0.0021655217109910474
dk,all,te_pff_yac,2022,-0.00017323994351059468
dk,all,te_pff_yac,2023,-0.0010833160833416677
dk,all,te_pff_yac,2024,-0.0022119541215896987
dk,all,te_pff_yac,2025,-0.0010698025999542615
dk,all,te_pff_yac__te_route,2017,-0.00014392303476640222
dk,all,te_pff_yac__te_route,2018,0.0006037162868226531
dk,all,te_pff_yac__te_route,2019,-0.0025143741023918587
dk,all,te_pff_yac__te_route,2020,-0.0032357376436604746
dk,all,te_pff_yac__te_route,2021,-0.0007829053029384525
dk,all,te_pff_yac__te_route,2022,-0.0007280234235707006
dk,all,te_pff_yac__te_route,2023,-2.3986455226499004e-05
dk,all,te_pff_yac__te_route,2024,-0.0021548120690737527
dk,all,te_pff_yac__te_route,2025,-0.0019607429907413376
dk,te,te_pff_mtf,2017,0.001220712626140097
dk,te,te_pff_mtf,2018,0.00476444911784446
dk,te,te_pff_mtf,2019,-0.010051036024402826
dk,te,te_pff_mtf,2020,-0.011828174607170894
dk,te,te_pff_mtf,2021,-0.005353063341007491
dk,te,te_pff_mtf,2022,-0.013898565688779119
dk,te,te_pff_mtf,2023,-0.004749282156611745
dk,te,te_pff_mtf,2024,-0.015153573429032008
dk,te,te_pff_mtf,2025,-0.005695366412659109
dk,te,te_pff_mtf__te_route,2017,0.001220712626140097
dk,te,te_pff_mtf__te_route,2018,0.00476444911784446
dk,te,te_pff_mtf__te_route,2019,-0.010051036024402826
dk,te,te_pff_mtf__te_route,2020,-0.011828174607170894
dk,te,te_pff_mtf__te_route,2021,-0.005353063341007491
dk,te,te_pff_mtf__te_route,2022,-0.013898565688779119
dk,te,te_pff_mtf__te_route,2023,-0.004749282156611745
dk,te,te_pff_mtf__te_route,2024,-0.015153573429032008
dk,te,te_pff_mtf__te_route,2025,-0.005695366412659109
dk,te,te_pff_opportunity_control,2017,3.228598603000066e-05
dk,te,te_pff_opportunity_control,2018,0.007384105493333237
dk,te,te_pff_opportunity_control,2019,-0.0014158981070591103
dk,te,te_pff_opportunity_control,2020,0.0020552417349817276
dk,te,te_pff_opportunity_control,2021,-0.004482632800206332
dk,te,te_pff_opportunity_control,2022,-0.006436703067039584
dk,te,te_pff_opportunity_control,2023,0.0004925664118871076
dk,te,te_pff_opportunity_control,2024,-0.0035935597043348366
dk,te,te_pff_opportunity_control,2025,0.0005170510487979563
dk,te,te_pff_opportunity_control__te_route,2017,3.228598603000066e-05
dk,te,te_pff_opportunity_control__te_route,2018,0.007384105493333237
dk,te,te_pff_opportunity_control__te_route,2019,-0.0014158981070591103
dk,te,te_pff_opportunity_control__te_route,2020,0.0020552417349817276
dk,te,te_pff_opportunity_control__te_route,2021,-0.004482632800206332
dk,te,te_pff_opportunity_control__te_route,2022,-0.006436703067039584
dk,te,te_pff_opportunity_control__te_route,2023,0.0004925664118871076
dk,te,te_pff_opportunity_control__te_route,2024,-0.0035935597043348366
dk,te,te_pff_opportunity_control__te_route,2025,0.0005170510487979563
dk,te,te_pff_yac,2017,-0.0010524504127278345
dk,te,te_pff_yac,2018,0.0035029930489320904
dk,te,te_pff_yac,2019,-0.014358840551027985
dk,te,te_pff_yac,2020,-0.021212934095280467
dk,te,te_pff_yac,2021,-0.005328338179782843
dk,te,te_pff_yac,2022,-0.004417267738975994
dk,te,te_pff_yac,2023,-0.00017539017932044487
dk,te,te_pff_yac,2024,-0.01271436689312555
dk,te,te_pff_yac,2025,-0.011274390580620075
dk,te,te_pff_yac__te_route,2017,-0.0010524504127278345
dk,te,te_pff_yac__te_route,2018,0.0035029930489320904
dk,te,te_pff_yac__te_route,2019,-0.014358840551027985
dk,te,te_pff_yac__te_route,2020,-0.021212934095280467
dk,te,te_pff_yac__te_route,2021,-0.005328338179782843
dk,te,te_pff_yac__te_route,2022,-0.004417267738975994
dk,te,te_pff_yac__te_route,2023,-0.00017539017932044487
dk,te,te_pff_yac__te_route,2024,-0.01271436689312555
