league,scope,period,method,rows,events,brier,brier_delta,average_precision,average_precision_delta
dk,all,all_2017_2025,production,3289,344,0.05827924460687302,0.0,0.6222784098944105,0.0
dk,all,all_2017_2025,te_pff_mtf,3289,344,0.058213494133758745,-6.575047311427329e-05,0.6230279061085232,0.0007494962141126882
dk,all,all_2017_2025,te_pff_mtf__te_route,3289,344,0.05818786773250256,-9.137687437045516e-05,0.6234382293050408,0.0011598194106302584
dk,all,all_2017_2025,te_pff_opportunity_control,3289,344,0.05828014490190558,9.002950325590064e-07,0.6220468913348032,-0.00023151855960734657
dk,all,all_2017_2025,te_pff_opportunity_control__te_route,3289,344,0.05828026047139448,1.015864521461407e-06,0.6222537973921688,-2.461250224172762e-05
dk,all,all_2017_2025,te_pff_yac,3289,344,0.0582052214658127,-7.402314106031566e-05,0.6236914898841548,0.0014130799897442703
dk,all,all_2017_2025,te_pff_yac__te_route,3289,344,0.05816630561540902,-0.0001129389914640011,0.624212147422492,0.0019337375280814584
dk,all,development_2017_2022,production,2052,215,0.05689896347546456,0.0,0.6396316473305149,0.0
dk,all,development_2017_2022,te_pff_mtf,2052,215,0.05686627402176996,-3.268945369459819e-05,0.6407373179973672,0.0011056706668522986
dk,all,development_2017_2022,te_pff_mtf__te_route,2052,215,0.056859345800666,-3.9617674798562985e-05,0.6408824384102101,0.0012507910796951682
dk,all,development_2017_2022,te_pff_opportunity_control,2052,215,0.056912563427595306,1.359995213074533e-05,0.638892081467917,-0.0007395658625979351
dk,all,development_2017_2022,te_pff_opportunity_control__te_route,2052,215,0.05688535736298465,-1.3606112479913612e-05,0.6396062683679163,-2.537896259857675e-05
dk,all,development_2017_2022,te_pff_yac,2052,215,0.05685602081450903,-4.2942660955530565e-05,0.641064337949209,0.0014326906186941102
dk,all,development_2017_2022,te_pff_yac__te_route,2052,215,0.05683758316674088,-6.138030872367833e-05,0.6412331449233225,0.001601497592807588
dk,all,temporal_2023_2025,production,1237,129,0.060568926807075235,0.0,0.6006832140849462,0.0
dk,all,temporal_2023_2025,te_pff_mtf,1237,129,0.06044833299374336,-0.00012059381333187624,0.6003882542488902,-0.00029495983605598575
dk,all,temporal_2023_2025,te_pff_mtf__te_route,1237,129,0.06039168907779652,-0.0001772377292787175,0.6020630031886984,0.0013797891037522492
dk,all,temporal_2023_2025,te_pff_opportunity_control,1237,129,0.06054876024975091,-2.0166557324327594e-05,0.6003756051889108,-0.0003076088960354273
dk,all,temporal_2023_2025,te_pff_opportunity_control__te_route,1237,129,0.06059419836828775,2.5271561212514282e-05,0.600235684264377,-0.00044752982056917023
dk,all,temporal_2023_2025,te_pff_yac,1237,129,0.0604433457475226,-0.00012558105955263327,0.6036911367008755,0.0030079226159293038
dk,all,temporal_2023_2025,te_pff_yac__te_route,1237,129,0.06037045958846239,-0.0001984672186128439,0.6050747072753031,0.004391493190356921
dk,te,all_2017_2025,production,715,75,0.05344658306797432,0.0,0.7035314782131769,0.0
dk,te,all_2017_2025,te_pff_mtf,715,75,0.053026249445870206,-0.0004203336221041132,0.7072951429610207,0.0037636647478438423
dk,te,all_2017_2025,te_pff_mtf__te_route,715,75,0.053026249445870206,-0.0004203336221041132,0.7072951429610207,0.0037636647478438423
dk,te,all_2017_2025,te_pff_opportunity_control,715,75,0.053451256044773035,4.6729767987155335e-06,0.7033433838081901,-0.00018809440498679386
dk,te,all_2017_2025,te_pff_opportunity_control__te_route,715,75,0.053451256044773035,4.6729767987155335e-06,0.7033433838081901,-0.00018809440498679386
dk,te,all_2017_2025,te_pff_yac,715,75,0.0529270637072399,-0.0005195193607344176,0.7080896651327894,0.004558186919612517
dk,te,all_2017_2025,te_pff_yac__te_route,715,75,0.0529270637072399,-0.0005195193607344176,0.7080896651327894,0.004558186919612517
dk,te,development_2017_2022,production,446,47,0.053521108890618584,0.0,0.7031824582186434,0.0
dk,te,development_2017_2022,te_pff_mtf,446,47,0.053338832054998266,-0.00018227683562031805,0.7049546684275703,0.0017722102089268166
dk,te,development_2017_2022,te_pff_mtf__te_route,446,47,0.053338832054998266,-0.00018227683562031805,0.7049546684275703,0.0017722102089268166
dk,te,development_2017_2022,te_pff_opportunity_control,446,47,0.0534585085704195,-6.260032019908546e-05,0.703941434875134,0.0007589766564906064
dk,te,development_2017_2022,te_pff_opportunity_control__te_route,446,47,0.0534585085704195,-6.260032019908546e-05,0.703941434875134,0.0007589766564906064
dk,te,development_2017_2022,te_pff_yac,446,47,0.05323870442088538,-0.0002824044697332037,0.7046216322005281,0.001439173981884645
dk,te,development_2017_2022,te_pff_yac__te_route,446,47,0.05323870442088538,-0.0002824044697332037,0.7046216322005281,0.001439173981884645
dk,te,temporal_2023_2025,production,269,28,0.05332301980812546,0.0,0.7189800448516149,0.0
dk,te,temporal_2023_2025,te_pff_mtf,269,28,0.05250798980397015,-0.0008150300041553094,0.7215748610736437,0.0025948162220287285
dk,te,temporal_2023_2025,te_pff_mtf__te_route,269,28,0.05250798980397015,-0.0008150300041553094,0.7215748610736437,0.0025948162220287285
