period,method,pos,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons
all_2017_2025,component_rank_w150,QB,216.0,2.3905829257520064,3.3995797017132894,-1.402547576947347,0.7916666666666666,0.6266406010843242,0.22897938953717234,23.7656301393014,32.74573795339124,-14.095777897072573,0.7592592592592593,0.6100795432799581,0.17008969628346216,0.37037037037037035,0.19327568549473315,0.26478948176740175,0.5286764705882353,0.18518518518518517,0.08481399664590807,0.16111896872396353,0.5839488636363637,0.16203703703703703,0.09274411347104128,0.13935745958147147,0.5973954222573007,0.027777777777777776,0.03910148393723268,0.02184475973633184,0.8801587301587301,0.3769048121095583,-0.08873646983174364,0.49820825362760623,58.02130219213089,0.05000000000000002,1.334469821183499,2.0499435304082323,0.3289383549652881,0.9027777777777778,0.12037037037037036,0.10466260398284266,0.08660944568492418,0.6495951417004049,6.755431214373965,0.23729446263254733,0.238898349557584
all_2017_2025,component_rank_w150,RB,540.0,2.310293049570929,3.1531591171236744,-0.9875067348581003,0.825925925925926,0.5756857345554743,0.13178439174555406,26.84574838837649,36.69558108059592,-10.879150446299741,0.8092592592592592,0.5712384931897747,0.12162347362119202,0.2759259259259259,0.21911809088113837,0.2038413839192942,0.5146157675208981,0.15185185185185185,0.1227311164536707,0.1274208072985403,0.6127915645968687,0.15,0.11303466086958272,0.1176312167330903,0.7449366577906883,0.037037037037037035,0.048459317186541825,0.03504242757996824,0.6894230769230769,0.6116941547850232,0.08769226841579628,0.607202149989851,60.56588200245181,0.05000000000000002,1.6446905346419818,2.530573969642781,-0.07890553642088617,0.9185185185185185,0.14629629629629629,0.15688491680462813,0.12371170456279991,0.577226173151377,5.552612999434504,0.37642630402321087,0.16727118268411192
all_2017_2025,component_rank_w150,TE,216.0,2.0532926847935378,2.7726114761387994,-1.8581567359036963,0.7638888888888888,0.6712674486471365,0.2835077409566148,25.24164502827587,33.19030329395381,-20.274812027211755,0.7731481481481481,0.6553097529849384,0.2544103316043737,0.32407407407407407,0.1502789841988013,0.246392740759482,0.573679060665362,0.16203703703703703,0.0695949014287278,0.14178579712809947,0.6314127861089187,0.1712962962962963,0.08748040993325895,0.1386745043855376,0.7262569832402235,0.013888888888888888,0.026194917283157097,0.014332348964644496,0.5712050078247262,0.5368303760879166,0.19547267769323282,0.41831124440002926,60.60137930955257,0.05000000000000002,1.5398199415950442,2.260293618701919,0.27641897538855137,0.9027777777777778,0.1111111111111111,0.10480795206426886,0.10019667118193656,0.4774305555555556,5.829783727199832,0.35006425120537527,0.19029799639856917
all_2017_2025,component_rank_w150,WR,648.0,2.4533138460753783,3.437401968513166,-2.217333829125506,0.7345679012345679,0.6666722646961049,0.2466644359332339,28.215924317938562,38.45703872784865,-22.297286179117663,0.7299382716049383,0.6462017012223644,0.22012689304681926,0.42592592592592593,0.20091703035124778,0.295987248526933,0.5111812373383201,0.2175925925925926,0.09155151148062941,0.18594969025006727,0.5270748527704338,0.1867283950617284,0.07512309091009281,0.1456489430403165,0.8013627738485424,0.021604938271604937,0.04916699016744404,0.02173610874888529,0.798783235691753,0.6114825859892227,0.17434039660482434,1.1751822938068208,61.32500886122479,0.05000000000000002,1.4567579013154037,2.162171413814104,0.20111007472282286,0.904320987654321,0.12037037037037036,0.103232137792633,0.1051107284685592,0.6050607287449393,5.3618030370120975,0.3896956064814589,0.1479996099411975
all_2017_2025,ppg225_component_rank150,QB,216.0,2.404907533503232,3.400347331325975,-1.4079562036503512,0.7222222222222222,0.6312105593693766,0.23414579260149349,23.949351612348924,32.964277821608064,-14.37468460275882,0.7268518518518519,0.6113705589922018,0.17163083664424966,0.37037037037037035,0.18257322822596908,0.2696336473393386,0.5080882352941176,0.18518518518518517,0.07932731030550462,0.16177864762335706,0.5914772727272727,0.16203703703703703,0.08876484017240777,0.13989618372478477,0.6043409629044988,0.027777777777777776,0.03392145029569783,0.02217048708914596,0.8825396825396825,0.3716314134493667,-0.057159527977232394,0.6933705676933422,56.31624204688755,0.05000000000000002,1.3479787441087336,2.0671703203633456,0.35782445344968905,0.9027777777777778,0.12037037037037036,0.1027143837600791,0.08746874916232884,0.637246963562753,6.991876100927848,0.20948037646360446,0.25356705175415223
all_2017_2025,ppg225_component_rank150,RB,540.0,2.3095327787356372,3.153263855326424,-0.9877550581321964,0.8314814814814815,0.5756275057277433,0.13528555867027875,26.8510373934135,36.68600359621883,-10.886161035710703,0.8037037037037037,0.5710438410412916,0.12340280675269766,0.2759259259259259,0.21890251735730487,0.2030567739257141,0.5284333751008428,0.15185185185185185,0.12302284874231775,0.12735071620314342,0.6142027904995208,0.15,0.11295353772907565,0.11772310895599418,0.7424352457032195,0.037037037037037035,0.04818762842788263,0.03526896082123094,0.6652403846153846,0.6092367973040947,0.07853441045941707,0.6115627981079348,59.862491578990046,0.050000000000000024,1.6458748315539857,2.529129265297118,-0.07802240675818149,0.9185185185185185,0.14629629629629629,0.15660474013228876,0.12392876788051574,0.5681100524451522,5.489929047675714,0.38140604843962206,0.16225094529022135
all_2017_2025,ppg225_component_rank150,TE,216.0,2.0544653543082427,2.772577142662484,-1.858320155893091,0.7546296296296297,0.6717936077944998,0.27372711907809716,25.19314384936547,33.16388032684687,-20.209655204820105,0.7453703703703703,0.6554366628872645,0.2563934545232654,0.32407407407407407,0.14912377197481733,0.24622919384965858,0.5898238747553816,0.16203703703703703,0.06917425653641741,0.14133489182972825,0.6453038674033149,0.1712962962962963,0.08777514447057325,0.13869862215614365,0.7304846746187529,0.013888888888888888,0.02546038884386121,0.014299469695439262,0.5618153364632238,0.5399746304409273,0.2011169459031424,0.4286172358587401,61.102322344610855,0.05000000000000002,1.539868734441413,2.2623384652430674,0.2754478984699602,0.9120370370370371,0.1111111111111111,0.10348405600117919,0.09993400847884461,0.4858940972222222,5.790045418257798,0.3561244605314613,0.18793757075878278
all_2017_2025,ppg225_component_rank150,WR,648.0,2.4525376831406533,3.4376399483727824,-2.2183327805110404,0.7345679012345679,0.6669567932572629,0.24746357530468077,28.226836207985016,38.46444845796038,-22.30246000684559,0.7268518518518519,0.6463300571882573,0.2177255883141767,0.42592592592592593,0.20051392457553702,0.2959099464127814,0.5126032413900576,0.2175925925925926,0.09185406352316691,0.18568001115400937,0.5281239945724397,0.1867283950617284,0.0744383216815579,0.14574785444291488,0.8001160474853765,0.021604938271604937,0.04941439998517278,0.021720836735255468,0.8043037404236142,0.6123498768395271,0.17549749805532688,1.1870352333693077,60.119489664537966,0.050000000000000024,1.4598800836053063,2.1680155863038197,0.1751602496688868,0.9089506172839507,0.12037037037037036,0.10479329828653847,0.10548275154855796,0.5946918578497525,5.310432331056082,0.3964349986609241,0.14450677250866448
all_2017_2025,ppg225_component_rank150_raw100,QB,216.0,2.4175772348295648,3.399143572215351,-1.4106381919973685,0.7083333333333334,0.6327726587488811,0.23813140853604603,24.076735310341522,33.09698687249025,-14.527629318562353,0.7083333333333334,0.6135559946173967,0.184178550724935,0.37037037037037035,0.17418043714830697,0.27422155546943294,0.5211397058823529,0.18518518518518517,0.07841201266800583,0.16372664772785847,0.5521306818181818,0.16203703703703703,0.08324992863831528,0.14114264825640432,0.5990528808208366,0.027777777777777776,0.03051749365078659,0.022289335283149483,0.9333333333333333,0.3550973408747343,-0.11751390228509508,0.8749198830094582,55.11363401783251,0.05000000000000002,1.3586330570816718,2.0863805104272015,0.37678976063021324,0.8981481481481481,0.12037037037037036,0.09969324701074823,0.08854264883468456,0.6451417004048583,7.169064336932877,0.1940298086486343,0.2683033188579111
all_2017_2025,ppg225_component_rank150_raw100,RB,540.0,2.310228989191256,3.1532961654335057,-0.9877989928701189,0.8222222222222222,0.5749065270166349,0.13333849554196353,26.86115184217744,36.67226632009666,-10.958276669796224,0.8055555555555556,0.5719015291106924,0.1260836933967872,0.2759259259259259,0.2185014700099473,0.2028197672126548,0.5292572821366656,0.15185185185185185,0.1227640176109103,0.12657537592610726,0.6323090850995846,0.15,0.112402092439343,0.11760254681089825,0.7432959466365421,0.037037037037037035,0.04928861079871725,0.03563122503221844,0.6473076923076924,0.6095718170279595,0.0857687745461709,0.6251264508909673,58.75938926766706,0.050000000000000024,1.6479986882319393,2.5329178969082355,-0.0952091434848931,0.9166666666666666,0.14629629629629629,0.15690784672585095,0.12447705839103852,0.5551772426480683,5.435393001187288,0.3871319891290122,0.15844192348093927
