league,model_family,selection_method,candidate_id,selection_score,parameters_json
dk,conditional_ppg_ridge,current_mean_season_rmse,4,3.36036607310274,"{""alpha"": 10.0}"
dk,conditional_ppg_hist_gradient_boosting,current_mean_season_rmse,0,3.344193950538706,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 20}"
beta,conditional_ppg_ridge,current_mean_season_rmse,4,3.113215247366244,"{""alpha"": 10.0}"
beta,conditional_ppg_hist_gradient_boosting,current_mean_season_rmse,8,3.08502370694863,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}"
