league,model_family,rows,rmse,mae,bias,spearman
beta,conditional_ppg_hist_gradient_boosting,1226.0,2.916416836665064,2.2921281482444837,0.3711542668148485,0.7934708386055197
beta,conditional_ppg_ridge,1226.0,2.9230195447038523,2.2516114584852613,0.0828063601561278,0.7935181972192432
dk,conditional_ppg_hist_gradient_boosting,1237.0,3.11694276720687,2.471511806651084,0.4486163067138546,0.8089642499897713
dk,conditional_ppg_ridge,1237.0,3.125974188545982,2.4235930131907986,0.194383117520406,0.8075591366144369
