league,method,slice_value,rows,baseline_rmse,baseline_mae,baseline_bias,baseline_spearman,challenger_rmse,challenger_mae,challenger_bias,challenger_spearman,rmse_delta,mae_delta,bias_delta,spearman_delta
beta,current_plus_histgbm_equal4,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.965268897385553,2.27873557056786,0.4484173266665885,0.7892442274435094,0.008098164160061039,0.0103005073995317,0.00851620488757221,-0.000537862332539274
beta,current_plus_histgbm_equal4,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.9724626573677515,2.3810380218354514,0.2459112785677298,0.797378549276403,-0.005058035544723616,0.002329364096913089,0.014482136490040792,-0.00043805604248392527
beta,current_plus_histgbm_equal4,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.7412052534717124,2.128841392810785,0.2906239410460003,0.8071994822009207,4.105650835661834e-05,0.005134339696648116,0.02017156249956803,-0.0008540252702137208
beta,current_plus_ridge_equal4,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.9509047008888274,2.247310384712297,0.3971283266741723,0.7892324892873772,-0.006266032336664562,-0.021124678456031276,-0.042772795104844,-0.0005496004886714756
beta,current_plus_ridge_equal4,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.9686157776294317,2.364715670469832,0.1890428808284461,0.7975757910474764,-0.00890491528304338,-0.013992987268706347,-0.042386261249242885,-0.00024081427141042777
beta,current_plus_ridge_equal4,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.7435203391623144,2.115684364311094,0.1834861816426046,0.8082258627223106,0.002356142198958633,-0.008022688803043021,-0.08696619690382767,0.00017235525117609285
beta,histgbm_replaces_lightgbm_equal3,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.9638815803825524,2.2716364174445007,0.4463914286565182,0.7888201979274153,0.0067108471570604955,0.00320135427617263,0.006490306877501906,-0.0009618918486333783
beta,histgbm_replaces_lightgbm_equal3,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.9631013360355247,2.37091225334239,0.2324687559094618,0.798716117450332,-0.014419356876950395,-0.007796404396148482,0.001039613831772812,0.0008995121314451238
beta,histgbm_replaces_lightgbm_equal3,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.742046360032,2.121840350265786,0.257625102252668,0.8080921790555375,0.0008821630686441928,-0.0018667028483512205,-0.01282727629376429,3.867158440307161e-05
beta,lasso_ridge_split_linear_third,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.9531193171587367,2.261732480820613,0.4309908662964571,0.7894872709708673,-0.004051416066755298,-0.006702582347715147,-0.008910255482559193,-0.0002948188051813405
