league,method,slice_value,rows,baseline_rmse,baseline_mae,baseline_bias,baseline_spearman,challenger_rmse,challenger_mae,challenger_bias,challenger_spearman,rmse_delta,mae_delta,bias_delta,spearman_delta
beta,current_plus_histgbm_equal4,QB,121.0,3.78148409679477,2.962249524113284,0.0571685134518551,0.5227611434764936,3.761610433713869,2.94486360609339,0.0686662926301397,0.5330984961387344,-0.019873663080900883,-0.017385918019893865,0.011497779178284595,0.010337352662240784
beta,current_plus_histgbm_equal4,RB,327.0,3.3547200032304314,2.633269968611516,0.1727962716517598,0.7657823218845934,3.35946131139416,2.6444306746686506,0.1822610937541696,0.7665485071186683,0.004741308163728419,0.011160706057134373,0.009464822102409814,0.0007661852340749009
beta,current_plus_histgbm_equal4,TE,269.0,1.990252817119872,1.5958105571652887,0.2448332063081111,0.7084429541665418,1.9916824648193163,1.5996781408531733,0.2645958561188357,0.7108429761138281,0.0014296476994444252,0.003867583687884535,0.019762649810724592,0.0024000219472862794
beta,current_plus_histgbm_equal4,WR,509.0,2.725952897970882,2.194265427556378,0.5007987640528456,0.7366112898496174,2.7307950774340424,2.2034143024370194,0.516337631012002,0.7350057736842684,0.004842179463160345,0.009148874880641422,0.015538866959156405,-0.0016055161653489858
beta,current_plus_ridge_equal4,QB,121.0,3.78148409679477,2.962249524113284,0.0571685134518551,0.5227611434764936,3.77445362464361,2.9564791469658083,0.0722944063034992,0.5298536783633653,-0.007030472151159817,-0.005770377147475525,0.015125892851644104,0.007092534886871671
beta,current_plus_ridge_equal4,RB,327.0,3.3547200032304314,2.633269968611516,0.1727962716517598,0.7657823218845934,3.358189536439673,2.6203930924762373,0.1347729978534088,0.7668949635548603,0.003469533209241593,-0.01287687613527888,-0.03802327379835099,0.0011126416702669228
beta,current_plus_ridge_equal4,TE,269.0,1.990252817119872,1.5958105571652887,0.2448332063081111,0.7084429541665418,1.9809546034711216,1.570951088653655,0.1110647129301972,0.7050679425686948,-0.009298213648750275,-0.024859468511633676,-0.13376849337791388,-0.003375011597847033
beta,current_plus_ridge_equal4,WR,509.0,2.725952897970882,2.194265427556378,0.5007987640528456,0.7366112898496174,2.7178929693438585,2.182562460348741,0.453490577440132,0.7376888379365604,-0.008059928627023538,-0.011702967207637194,-0.04730818661271363,0.0010775480869429366
beta,histgbm_replaces_lightgbm_equal3,QB,121.0,3.78148409679477,2.962249524113284,0.0571685134518551,0.5227611434764936,3.76110101008957,2.9508279369091146,0.0947293580607324,0.531479474325972,-0.020383086705199727,-0.011421587204169192,0.037560844608877306,0.008718330849478373
beta,histgbm_replaces_lightgbm_equal3,RB,327.0,3.3547200032304314,2.633269968611516,0.1727962716517598,0.7657823218845934,3.362429872418496,2.634863265212241,0.1711324570778625,0.7673538167051215,0.007709869188064378,0.001593296600724603,-0.0016638145738972765,0.0015714948205280965
beta,histgbm_replaces_lightgbm_equal3,TE,269.0,1.990252817119872,1.5958105571652887,0.2448332063081111,0.7084429541665418,1.983750542893216,1.5905933307481432,0.2457167885517683,0.7104795512646308,-0.006502274226655835,-0.005217226417145504,0.0008835822436571994,0.0020365970980890102
beta,histgbm_replaces_lightgbm_equal3,WR,509.0,2.725952897970882,2.194265427556378,0.5007987640528456,0.7366112898496174,2.723034675233004,2.1935108038379165,0.4879687872364429,0.7363190055566425,-0.002918222737878118,-0.0007546237184614668,-0.012829976816402744,-0.0002922842929748981
beta,lasso_ridge_split_linear_third,QB,121.0,3.78148409679477,2.962249524113284,0.0571685134518551,0.5227611434764936,3.7625688000613655,2.9386719032294626,0.0644368222851274,0.5272862755724156,-0.018915296733404308,-0.023577620883821204,0.0072683088332722995,0.00452513209592198
beta,lasso_ridge_split_linear_third,RB,327.0,3.3547200032304314,2.633269968611516,0.1727962716517598,0.7657823218845934,3.357021459156464,2.634931675462441,0.1655959830766833,0.7659928726756818,0.0023014559260325917,0.0016617068509248156,-0.0072002885750764856,0.00021055079108844854
beta,lasso_ridge_split_linear_third,TE,269.0,1.990252817119872,1.5958105571652887,0.2448332063081111,0.7084429541665418,1.9897579451569685,1.5926191269897276,0.2245857032328886,0.7084787109795248,-0.0004948719629034315,-0.0031914301755611163,-0.020247503075222495,3.575681298295663e-05
beta,lasso_ridge_split_linear_third,WR,509.0,2.725952897970882,2.194265427556378,0.5007987640528456,0.7366112898496174,2.721557914535192,2.190969266089478,0.4879470042757349,0.7364799803120201,-0.004394983435690225,-0.0032961614669000383,-0.012851759777110727,-0.0001313095375973239
beta,ridge_replaces_lasso_equal3,QB,121.0,3.78148409679477,2.962249524113284,0.0571685134518551,0.5227611434764936,3.74597328683789,2.9212301225820605,0.0717051311183994,0.5319062457661562,-0.03551080995687972,-0.0410194015312233,0.014536617666544308,0.009145102289662588
beta,ridge_replaces_lasso_equal3,RB,327.0,3.3547200032304314,2.633269968611516,0.1727962716517598,0.7657823218845934,3.3597561091194037,2.637017553165511,0.1583956945016069,0.7664745483648303,0.005036105888972298,0.0037475845539947095,-0.014400577150152888,0.0006922264802369238
beta,ridge_replaces_lasso_equal3,TE,269.0,1.990252817119872,1.5958105571652887,0.2448332063081111,0.7084429541665418,1.9898138338647744,1.589714854311404,0.2043382001576661,0.7081547419239639,-0.0004389832550975026,-0.006095702853884832,-0.04049500615044499,-0.0002882122425779121
beta,ridge_replaces_lasso_equal3,WR,509.0,2.725952897970882,2.194265427556378,0.5007987640528456,0.7366112898496174,2.7175722537834948,2.1880842917391674,0.4750952444986243,0.7362651804759157,-0.008380644187387265,-0.006181135817210581,-0.025703519554221343,-0.00034610937370171957
dk,current_plus_histgbm_equal4,QB,132.0,3.2351171353679677,2.598111171123797,0.218793179984922,0.5745227050972329,3.2246364955619886,2.588885687754578,0.1897308296010415,0.5766411170187786,-0.01048063980597913,-0.009225483369219134,-0.029062350383880498,0.0021184119215457153
dk,current_plus_histgbm_equal4,RB,327.0,3.5250463947359982,2.762962683945871,0.2957768210217986,0.7695735697513437,3.531653758947529,2.7803150585396343,0.3168521540035243,0.7690191357810654,0.006607364211530964,0.017352374593763376,0.021075332981725703,-0.000554433970278323
dk,current_plus_histgbm_equal4,TE,269.0,2.273846271976262,1.799497659673013,0.2056774344914721,0.7323790275909163,2.283699294882547,1.81325946069839,0.2284193617086089,0.731841750899431,0.00985302290628498,0.013761801025377052,0.022741927217136804,-0.0005372766914852889
dk,current_plus_histgbm_equal4,WR,509.0,3.128856064348084,2.4992771054500005,0.5928984533511289,0.7503591674887256,3.1318404896829564,2.5036806331053256,0.6103513906379275,0.7503303667514266,0.0029844253348723093,0.004403527655325146,0.017452937286798642,-2.8800737298939616e-05
dk,current_plus_ridge_equal4,QB,132.0,3.2351171353679677,2.598111171123797,0.218793179984922,0.5745227050972329,3.2457521764408184,2.597986037191085,0.2138920977776671,0.5708598352230332,0.010635041072850626,-0.00012513393271218476,-0.004901082207254909,-0.0036628698741997257
dk,current_plus_ridge_equal4,RB,327.0,3.5250463947359982,2.762962683945871,0.2957768210217986,0.7695735697513437,3.520524029220015,2.7437388937015017,0.2497637600454456,0.7694888002120936,-0.004522365515983395,-0.019223790244369265,-0.04601306097635299,-8.476953925007358e-05
