year,variant,trials,feasible_trials,cap_feasible_rate,actual_points_all,actual_points_feasible_only,forecast_ev_feasible_only,actual_salary_spend_feasible_only
2022,baseline_298,250,60,0.24,1492.8154360351562,1462.2359985351563,1569.022890218099,285.26666666666665
2022,blanket_285,250,103,0.412,1470.6531967773437,1469.3192209780796,1558.9950235607555,281.2718446601942
2022,targeted_full,250,60,0.24,1492.8154360351562,1462.2359985351563,1569.022890218099,285.26666666666665
2022,targeted_half,250,60,0.24,1492.8154360351562,1462.2359985351563,1569.022890218099,285.26666666666665
2023,baseline_298,250,9,0.036,1691.6902348632811,1684.780002170139,1522.3195393880208,289.3333333333333
2023,blanket_285,250,42,0.168,1681.7874340820313,1695.3342779250372,1518.23100062779,286.1666666666667
2023,targeted_full,250,33,0.132,1684.6951953125,1690.8618090080492,1520.7229447798295,287.57575757575756
2023,targeted_half,250,20,0.08,1687.1995942382812,1692.089990234375,1525.8351806640626,289.8
2024,baseline_298,250,21,0.084,1597.3174399414063,1601.827613467262,1648.62744140625,288.42857142857144
2024,blanket_285,250,56,0.224,1587.179443359375,1616.9692927769252,1633.7338300432477,285.1607142857143
2024,targeted_full,250,75,0.3,1597.3148837890626,1602.6632096354167,1624.0828287760417,284.62666666666667
2024,targeted_half,250,44,0.176,1599.196322265625,1607.7400096546519,1631.6436212713068,286.0681818181818
2025,baseline_298,250,20,0.08,1582.6206416015625,1525.3970153808593,1617.446466064453,289.25
2025,blanket_285,250,56,0.224,1578.5756801757811,1518.9171491350446,1608.50980922154,288.26785714285717
2025,targeted_full,250,73,0.292,1577.3570415039062,1532.4101495612158,1601.08414992241,285.94520547945206
2025,targeted_half,250,37,0.148,1582.566798828125,1536.3372967694256,1610.8154296875,285.7837837837838
