period,variant,rows,mean_error,mae,rmse,selection_weighted_mean_error,selection_weighted_mae,selection_weighted_rmse,mean_surcharge,selection_weighted_surcharge
seed_2022,baseline_298,121,-0.7826225115702478,4.572116007438016,6.222090216240866,0.7083667088561497,5.401767553236219,6.987644253047869,0.0,0.0
seed_2022,targeted_half,121,-0.7826225115702478,4.572116007438016,6.222090216240866,0.7083667088561497,5.401767553236219,6.987644253047869,0.0,0.0
seed_2022,targeted_full,121,-0.7826225115702478,4.572116007438016,6.222090216240866,0.7083667088561497,5.401767553236219,6.987644253047869,0.0,0.0
development_2023_2024,baseline_298,263,-0.13417655969581738,4.29870453460076,6.300410459235613,1.6074901496942633,5.55842392303886,7.672720958928055,0.0,0.0
development_2023_2024,targeted_half,263,-0.29802497662259037,4.309146757683516,6.282450298446145,1.0432166538853218,5.542692052526585,7.569081094129774,0.1638484169267729,0.5642734958089415
development_2023_2024,targeted_full,263,-0.46187339354936324,4.364838412572058,6.309476027498434,0.47894315807638055,5.732308296778154,7.615831249188836,0.3276968338535458,1.128546991617883
temporal_check_2025,baseline_298,134,-0.17408592164179096,3.682501660447761,5.805228538233043,1.4391807799290066,4.830085101836563,6.878183762571933,0.0,0.0
temporal_check_2025,targeted_half,134,-0.3921673833384372,3.6916230113565986,5.748509200604384,0.6690030207248386,4.750592365062049,6.607095302248032,0.21808146169664638,0.7701777592041683
temporal_check_2025,targeted_full,134,-0.6102488450350838,3.7394325257492036,5.749800996384267,-0.10117473847932949,4.820529503105399,6.539373321749596,0.43616292339329277,1.5403555184083366
