comparison,year,comparisons,roster_changed_rate,roster_jaccard,both_feasible_rate,mean_actual_points_effect,mean_drafted_only_points_effect,mean_actual_cap_feasible_effect,mean_actual_cap_overage_effect,mean_actual_salary_spend_effect,mean_forecast_ev_effect,mean_sampled_salary_spend_effect,mean_decision_salary_spend_effect,mean_point_salary_spend_effect,mean_calibrated_point_salary_spend_effect,mean_surcharge_spend_effect,mean_actual_waiver_starts_effect,mean_joint_feasible_actual_points_effect
blanket_285_minus_baseline_298,2022,250,1.0,0.7017449112978524,0.22,-22.1622392578125,-20.104478515625,0.172,-8.804,-12.64,-9.4219619140625,-13.124544189453125,-13.124544189453125,-12.876880408287048,-12.876880408287048,0.0,1.872,-7.2541881214488635
blanket_285_minus_baseline_298,2023,250,1.0,0.6843714580569069,0.032,-9.90280078125,-37.68679443359375,0.132,-13.764,-15.44,-12.51616162109375,-12.886700866699218,-12.886700866699218,-13.436372839927673,-13.436372839927673,0.0,1.42,-10.175018310546875
blanket_285_minus_baseline_298,2024,250,1.0,0.6807791930807411,0.068,-10.13799658203125,-12.72000439453125,0.14,-11.06,-13.132,-12.36857373046875,-12.774388916015624,-12.774388916015624,-12.609842105865479,-12.609842105865479,0.0,1.84,-19.82351505055147
blanket_285_minus_baseline_298,2025,250,1.0,0.6766097252936262,0.06,-4.04496142578125,-5.784001953125,0.144,-9.62,-11.1,-13.8196767578125,-12.99458642578125,-12.99458642578125,-12.753358360290527,-12.753358360290527,0.0,-0.004,34.34397786458333
targeted_full_minus_baseline_298,2022,250,0.0,1.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2755393981933593e-06,0.0,0.0,0.0,0.0,0.0
targeted_full_minus_baseline_298,2023,250,0.964,0.6843743672907759,0.028,-6.99503955078125,-33.58319287109375,0.096,-7.496,-8.56,-15.04131005859375,-9.289633178710938,0.18837190291453454,-9.100797382354736,0.3772070884423365,9.478004470797075,1.436,-4.420026506696429
targeted_full_minus_baseline_298,2024,250,0.996,0.6549372843874391,0.072,-0.00255615234375,-4.671681640625,0.216,-15.888,-19.096,-22.25166259765625,-15.749505981445312,0.6540488401247401,-15.383444921970368,1.0201093993975043,16.403554321367874,2.792,-23.66887749565972
targeted_full_minus_baseline_298,2025,250,1.0,0.639891640866873,0.06,-5.26360009765625,-7.24008740234375,0.212,-14.048,-16.868,-25.3797998046875,-16.621525268554688,0.40568376393073413,-15.494131391048432,1.5330785860513976,17.027209977099844,0.536,40.91066080729167
targeted_half_minus_baseline_298,2022,250,0.0,1.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2755393981933593e-06,0.0,0.0,0.0,0.0,0.0
targeted_half_minus_baseline_298,2023,250,0.896,0.7093755516241584,0.024,-4.490640625,-21.00599560546875,0.044,-5.668,-6.012,-8.962943359375,-5.200369140625,0.22091951862647308,-5.273140725612641,0.1481499396927577,5.42129066530539,0.928,-31.003316243489582
targeted_half_minus_baseline_298,2024,250,0.996,0.691014472455649,0.052,1.87888232421875,4.1155966796875,0.092,-8.376,-9.672,-12.80690673828125,-8.996668212890626,-0.1469204284077623,-8.89155882358551,-0.041811748159499305,8.84974707542602,1.4,-7.7923114483173075
targeted_half_minus_baseline_298,2025,250,0.996,0.6818598506069093,0.052,-0.0538427734375,-9.94456396484375,0.068,-8.064,-9.172,-12.62938720703125,-9.180904296875,0.3574282042287605,-8.611029223442078,0.9273032428525739,9.538332466294637,0.432,30.146136944110577
