league,component_left,component_right,prediction_correlation,error_correlation
beta,conditional_ppg_lasso,conditional_ppg_random_forest,0.9817805566971384,0.9588204370010521
beta,conditional_ppg_lasso,conditional_ppg_lightgbm,0.9856472004714179,0.9671360789484527
beta,conditional_ppg_lasso,conditional_ppg_extra_trees,0.9840167639102767,0.964562657606252
beta,conditional_ppg_lasso,conditional_ppg_catboost,0.9873046941614001,0.9716575045540768
beta,conditional_ppg_random_forest,conditional_ppg_lightgbm,0.9956727297130363,0.9913234470169446
beta,conditional_ppg_random_forest,conditional_ppg_extra_trees,0.9964495461682709,0.992297106057694
beta,conditional_ppg_random_forest,conditional_ppg_catboost,0.9959713402153406,0.9913743667602907
beta,conditional_ppg_lightgbm,conditional_ppg_extra_trees,0.9940222694168223,0.9874076702215339
beta,conditional_ppg_lightgbm,conditional_ppg_catboost,0.9976795139991326,0.9949635201832409
beta,conditional_ppg_extra_trees,conditional_ppg_catboost,0.9952054530380238,0.9899345207563712
beta,current_primary_blend,conditional_ppg_extra_trees,0.995494014215837,0.9905183470924964
beta,current_primary_blend,conditional_ppg_catboost,0.9976811160556206,0.9951517521027
