league,model_family,selection_method,candidate_id,selection_score,parameters_json
beta,conditional_ppg_extra_trees,current_mean_season_rmse,7,3.0607052292520507,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 400}"
beta,conditional_ppg_catboost,current_mean_season_rmse,4,3.0836235786454305,"{""depth"": 5, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""random_strength"": 0.5}"
