league,method,model_family,slice_type,slice_value,rows,rmse,mae,bias,spearman
beta,challenger_standalone,conditional_ppg_catboost,all,all_2023_2025,1226.0,2.9159982457636735,2.293924979171435,0.43813011150003794,0.7962082622885895
beta,challenger_standalone,conditional_ppg_extra_trees,all,all_2023_2025,1226.0,2.88846586019117,2.270774454800335,0.3841653074144232,0.795998022428811
beta,current_plus_both_equal5,primary_blend,all,all_2023_2025,1226.0,2.889969164594801,2.2598954178716966,0.3524795443167814,0.7986455306912299
beta,current_plus_catboost_equal4,primary_blend,all,all_2023_2025,1226.0,2.8953685910730567,2.262082551077275,0.344558103542371,0.7982802370495834
beta,current_plus_extra_trees_equal4,primary_blend,all,all_2023_2025,1226.0,2.886341287519034,2.2546459024966823,0.33106690252096727,0.7983747545653007
beta,current_single,conditional_ppg_lasso,all,all_2023_2025,1226.0,2.932085590449356,2.262095885393575,0.14869454799793008,0.7947700227656054
beta,current_single,conditional_ppg_lightgbm,all,all_2023_2025,1226.0,2.9173566322120768,2.297851247218004,0.3767627001198945,0.7943315230675483
beta,current_single,conditional_ppg_random_forest,all,all_2023_2025,1226.0,2.915790831175407,2.298805274285626,0.4146450545516213,0.7972158641338623
beta,current_single,primary_blend,all,all_2023_2025,1226.0,2.892610919065094,2.255844710160956,0.3133674342231486,0.7981569302585217
beta,challenger_standalone,conditional_ppg_catboost,season,2023,404.0,2.985275031334167,2.302168774248122,0.5173209229418878,0.7887308423512769
beta,challenger_standalone,conditional_ppg_catboost,season,2024,406.0,3.0034114787240576,2.4079116735099477,0.31825775686726887,0.7940670392507814
beta,challenger_standalone,conditional_ppg_catboost,season,2025,416.0,2.756994929313552,2.1746723563050465,0.47821445803464585,0.8066563297967067
beta,challenger_standalone,conditional_ppg_extra_trees,season,2023,404.0,2.9616784404644547,2.285824697357142,0.5335681530188021,0.7892519618874726
beta,challenger_standalone,conditional_ppg_extra_trees,season,2024,406.0,2.9668478021141063,2.401762777482816,0.26442213581798274,0.7982496406617434
beta,challenger_standalone,conditional_ppg_extra_trees,season,2025,416.0,2.7348432150681656,2.1283187889300526,0.3559368892509273,0.8015130090710869
beta,current_plus_both_equal5,primary_blend,season,2023,404.0,2.958565935800961,2.2741951636830575,0.4741184882595478,0.7903559855181101
beta,current_plus_both_equal5,primary_blend,season,2024,406.0,2.9752700911046217,2.385551309199691,0.2553934637836638,0.7989002695402342
beta,current_plus_both_equal5,primary_blend,season,2025,416.0,2.733865450752821,2.123372847710746,0.3291016965849739,0.8076932949974481
beta,current_plus_catboost_equal4,primary_blend,season,2023,404.0,2.9620057670681885,2.2747274366199886,0.45925607206973423,0.7902494321783362
beta,current_plus_catboost_equal4,primary_blend,season,2024,406.0,2.981516730636553,2.3846031170180075,0.253136295775084,0.7975756117367753
beta,current_plus_catboost_equal4,primary_blend,season,2025,416.0,2.7404355697659595,2.1302270618195966,0.32239289841848556,0.8079672465016144
beta,current_plus_extra_trees_equal4,primary_blend,season,2023,404.0,2.954153319099594,2.2693982318990886,0.4633178795889628,0.7899411463413132
beta,current_plus_extra_trees_equal4,primary_blend,season,2024,406.0,2.970591121343836,2.3820819027309876,0.23967739051276246,0.7990355594641205
beta,current_plus_extra_trees_equal4,primary_blend,season,2025,416.0,2.7321696507500723,2.1159464862137494,0.29182350622255604,0.8071973986026232
