model_family,candidate_id,origin,rows,rmse,parameters_json,league
conditional_ppg_extra_trees,4,2016,369,3.0505050066851935,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,5,2016,369,3.0499056658113672,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,6,2016,369,3.045058010376898,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,7,2016,369,3.030396325488275,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,0,2017,402,2.920337271989127,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,1,2017,402,2.8858791633479832,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,2,2017,402,2.9182519559171305,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,3,2017,402,2.883152977509161,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,4,2017,402,2.8754029274735724,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,5,2017,402,2.8832953142147852,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,6,2017,402,2.8785558194677097,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,7,2017,402,2.8724832488955316,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,0,2018,365,3.077036420231828,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,1,2018,365,3.00428443125837,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,2,2018,365,3.0802659680831725,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,3,2018,365,3.0164732656519133,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,4,2018,365,2.9866271306254064,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,5,2018,365,2.966432194797352,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,6,2018,365,3.01560790281337,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,7,2018,365,2.993808845665113,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,0,2019,385,2.987535186248477,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,1,2019,385,2.9155924649876153,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,2,2019,385,2.9983949026450802,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,3,2019,385,2.932970733959842,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,4,2019,385,2.973204843292512,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,5,2019,385,2.936330208512008,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,6,2019,385,2.9764104134269633,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,7,2019,385,2.9384951798339114,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,0,2020,409,3.1726440514532332,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
conditional_ppg_extra_trees,1,2020,409,3.1296593747188437,"{""bootstrap"": false, ""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 400}",beta
