year,player,player_key,pos,pred_fp_per_game,point_salary,actual_salary,salary_residual,selection_slots,selection_rate,predicted_salary_tier,value_over_price_quintile,salary_center_source,residual_contribution_per_roster_within_origin,gross_direction,direction_rank
2024,Tyjae Spears,tyjaespears,RB,10.245166666666668,13.810685,25.0,11.189315,278,0.278,$6-15,5,current_salary_model,3.11062957,positive,13.0
2023,George Kittle,georgekittle,TE,9.628485679626465,17.664148,35.0,17.335852,178,0.178,$16-30,3,current_salary_model,3.0857816559999995,positive,14.0
2022,Rashaad Penny,rashaadpenny,RB,9.75648307800293,13.497682,27.0,13.502318,225,0.225,$6-15,4,current_salary_model,3.03802155,positive,15.0
2023,Stefon Diggs,stefondiggs,WR,14.646162033081056,74.0422,84.0,9.957800000000006,302,0.302,$51+,3,current_salary_model,3.007255600000002,positive,16.0
2024,Xavier Worthy,xavierworthy,WR,11.040216666666666,14.860576,26.0,11.139424,259,0.259,$6-15,4,current_salary_model,2.885110816,positive,17.0
2022,Clyde Edwards Helaire,clydeedwardshelaire,RB,11.34723663330078,31.267414,46.0,14.732586000000001,192,0.192,$31-50,3,current_salary_model,2.8286565120000007,positive,18.0
2023,Mark Andrews,markandrews,TE,11.049697875976562,34.755585,43.0,8.244414999999996,307,0.307,$31-50,3,current_salary_model,2.5310354049999986,positive,19.0
2025,Ricky Pearsall,rickypearsall,WR,11.0277,10.194967,16.0,5.805033,411,0.411,$6-15,5,current_salary_model,2.385868563,positive,20.0
2022,Breece Hall,breecehall,RB,14.028142929077148,48.015816,54.0,5.984183999999999,384,0.384,$31-50,4,current_salary_model,2.2979266559999996,positive,21.0
2025,George Pickens,georgepickens,WR,11.83896,20.705307,29.0,8.294692999999999,272,0.272,$16-30,5,current_salary_model,2.2561564959999996,positive,22.0
2023,Jahmyr Gibbs,jahmyrgibbs,RB,14.31467628479004,53.57226,58.0,4.42774,471,0.471,$51+,4,current_salary_model,2.08546554,positive,23.0
2022,Tony Pollard,tonypollard,RB,9.786819458007812,14.749546,26.0,11.250454,178,0.178,$6-15,3,current_salary_model,2.0025808119999997,positive,24.0
2022,Damien Harris,damienharris,RB,10.672819137573242,16.075224,27.0,10.924776000000001,182,0.182,$16-30,4,current_salary_model,1.9883092320000002,positive,25.0
2025,Devon Achane,devonachane,RB,16.51175,83.083984,98.0,14.916015999999999,131,0.131,$51+,2,current_salary_model,1.9539980959999999,positive,26.0
2024,Deebo Samuel,deebosamuel,WR,13.21125,46.19228,55.0,8.807720000000003,216,0.216,$31-50,4,current_salary_model,1.9024675200000005,positive,27.0
2024,David Montgomery,davidmontgomery,RB,10.74425,22.53923,37.0,14.46077,127,0.127,$16-30,5,current_salary_model,1.83651779,positive,28.0
2023,Travis Etienne,travisetienne,RB,11.9462251663208,54.847,69.0,14.152999999999999,128,0.128,$51+,3,current_salary_model,1.8115839999999999,positive,29.0
2025,Calvin Ridley,calvinridley,WR,10.85925,21.896526,43.0,21.103474,85,0.085,$16-30,1,current_salary_model,1.7937952899999998,positive,30.0
