period,player_origins,selection_rate_residual_spearman,two_sided_p_value_descriptive
all_years,518,0.1338973241516313,0.0022592388952309694
2022,121,0.19512282909193945,0.0319742990789498
2023,131,0.16109136927715403,0.06604350783989271
2024,132,0.13079877218815053,0.13494043037852657
2025,134,0.08546999183419297,0.3261414061198299
