year,chance_level,rosters,scenario_mean_spend,point_predicted_spend,actual_spend,point_minus_scenario_discount,actual_minus_point_residual,actual_minus_scenario_total
2022,0.6,250,295.4636679521466,305.56099009132384,313.428,10.097322139177265,7.8670099086761525,17.964332047853418
2022,0.7,250,293.7079652459025,303.7791310682297,311.548,10.071165822327146,7.768868931770328,17.840034754097474
2022,0.8,250,291.52906759102825,301.51519082832334,309.468,9.98612323729509,7.952809171676677,17.938932408971766
2022,0.9,250,288.6526465911365,298.7913506717682,308.456,10.138704080631726,9.664649328231803,19.80335340886353
2023,0.6,250,295.54574171607493,309.75285869646075,330.036,14.20711698038582,20.283141303539253,34.49025828392507
2023,0.7,250,293.53465212203025,307.6235295996666,327.464,14.088877477636345,19.840470400333402,33.92934787796975
2023,0.8,250,291.44844367898463,305.48270426368714,325.58,14.034260584702508,20.097295736312844,34.13155632101535
2023,0.9,250,288.6978260986614,302.58541671705245,321.688,13.887590618391073,19.102583282947535,32.99017390133861
2024,0.6,250,295.4007575821376,302.30081206989286,322.264,6.900054487755256,19.963187930107154,26.86324241786241
2024,0.7,250,293.62516435272454,300.50677815008163,320.404,6.88161379735709,19.897221849918367,26.778835647275457
2024,0.8,250,291.54671415972234,298.60602614212036,316.896,7.059311982398015,18.28997385787966,25.349285840277673
2024,0.9,250,289.01806896707296,296.09449112176895,316.132,7.07642215469599,20.03750887823105,27.11393103292704
2025,0.6,250,296.36471502733707,303.2589548139572,321.904,6.894239786620119,18.645045186042807,25.539284972662927
2025,0.7,250,294.0527662751436,301.00932200717926,319.652,6.9565557320356675,18.642677992820722,25.59923372485639
2025,0.8,250,291.77920148685456,298.6541867046356,317.14,6.874985217781045,18.48581329536438,25.360798513145426
2025,0.9,250,288.9733395205188,296.04050110673904,314.796,7.067161586220266,18.75549889326095,25.822660479481215
