period,cohort,player_origins,weighted_observations,mean_salary_residual,median_salary_residual_unique,positive_residual_rate,mean_predicted_salary,mean_actual_salary,mean_selection_rate,mean_scenario_center_shift,mean_actual_minus_scenario
all_years,all_observed_auctionable,518,518,-0.29597156872586855,-0.56323945,0.3803088803088803,22.562380835135137,22.266409266409266,0.09633011583011583,-0.40172554055017745,0.10575397182430876
all_years,ever_selected_unique,476,476,-0.21069168004201674,-0.56323945,0.3949579831932773,23.866153864915965,23.65546218487395,0.10482983193277311,-0.4771808722339619,0.26648919219194517
all_years,never_selected_unique,42,42,-1.2624769738095236,-0.6052644999999999,0.21428571428571427,7.786286497619048,6.523809523809524,0.0,0.45343488519938013,-1.7159118590089038
all_years,top_projection_quartile_ever_selected,218,218,-0.15564729174311914,-0.6279751000000002,0.46788990825688076,41.38500508990825,41.22935779816514,0.13994495412844038,-0.7936417002192031,0.6379944084760839
all_years,top_projection_quartile_never_selected,4,4,-9.930857499999998,-8.801119999999997,0.0,55.180857499999995,45.25,0.0,0.5553687973745891,-10.486226297374587
all_years,top_projection_quartile_rare_le_5pct,54,54,-3.2189892777777773,-4.763194999999996,0.2962962962962963,56.95973001851852,53.74074074074074,0.02087037037037037,-0.15253683908587903,-3.066452438691899
all_years,top_projection_quartile_frequent_ge_25pct,36,36,2.0975759944444445,0.9896244999999988,0.5555555555555556,25.45797956111111,27.555555555555557,0.35391666666666666,-1.2695618318546873,3.3671378262991323
all_years,selected_roster_slots_weighted,476,49899,1.3460754813643558,-0.56323945,0.5038778332231106,24.1476819085633,25.493757389927655,0.21888588949678353,-0.8064126447531924,2.1524881261175484
2022,all_observed_auctionable,121,121,-0.7826225115702475,-0.8818957999999999,0.33884297520661155,23.60906879256198,22.826446280991735,0.0998512396694215,-0.7275768474723785,-0.05504566409786911
2022,ever_selected_unique,110,110,-0.7482132036363633,-0.8510801999999997,0.36363636363636365,25.702758658181814,24.954545454545453,0.10983636363636366,-0.8430396870150144,0.09482648337865082
2022,never_selected_unique,11,11,-1.126715590909091,-0.8818957999999999,0.09090909090909091,2.6721701363636363,1.5454545454545454,0.0,0.42705154795397976,-1.5537671388630707
2022,top_projection_quartile_ever_selected,60,60,-2.262834953333333,-3.24350325,0.31666666666666665,40.01283495333334,37.75,0.12836666666666666,-1.0613505374925116,-1.2014844158408213
2022,top_projection_quartile_never_selected,0,0,,,,,,,,
2022,top_projection_quartile_rare_le_5pct,13,13,-6.571852307692307,-7.671467,0.15384615384615385,58.57185230769231,52.0,0.024923076923076923,-0.9916375696447555,-5.580214738047553
2022,top_projection_quartile_frequent_ge_25pct,4,4,-0.6364237499999996,-1.5694399999999984,0.5,33.38642375,32.75,0.31525000000000003,-1.2972552178347003,0.6608314678347007
2022,selected_roster_slots_weighted,110,12082,0.7083667088561498,-0.8510801999999997,0.46391325939414,24.933662756464162,25.642029465320313,0.17231087568283393,-0.9240178690031167,1.6323845778592663
2023,all_observed_auctionable,131,131,0.05279956259541984,-0.6528301999999999,0.3816793893129771,20.382314941221374,20.435114503816795,0.09216030534351145,-0.6200257901649565,0.6728253527603762
2023,ever_selected_unique,120,120,0.02941938499999995,-0.67104735,0.39166666666666666,21.878913948333334,21.908333333333335,0.10060833333333334,-0.7715460863703928,0.8009654713703926
2023,never_selected_unique,11,11,0.3078560454545455,-0.48397559999999995,0.2727272727272727,4.055780318181818,4.363636363636363,0.0,1.0329228957125316,-0.725066850257986
2023,top_projection_quartile_ever_selected,66,66,1.5791211106060608,0.5183170000000015,0.5454545454545454,33.814818283333324,35.39393939393939,0.14219696969696966,-1.259996323901204,2.839117434507265
2023,top_projection_quartile_never_selected,0,0,,,,,,,,
2023,top_projection_quartile_rare_le_5pct,13,13,-0.6762506153846155,-3.583299999999994,0.3076923076923077,44.21471215384616,43.53846153846154,0.02307692307692308,-0.6064631271776485,-0.06978748820696691
2023,top_projection_quartile_frequent_ge_25pct,10,10,4.362418750000002,3.9562299999999997,0.7,33.13758125,37.5,0.3794,-2.144521055814266,6.506939805814267
2023,selected_roster_slots_weighted,120,12073,1.6857668394019714,-0.67104735,0.5388884287252547,25.25575556596538,26.941522405367348,0.2187495237306386,-1.252293721863913,2.938060561265884
2024,all_observed_auctionable,132,132,-0.31973619621212107,-0.38980075000000003,0.4318181818181818,22.736402862878787,22.416666666666668,0.09685606060606061,-0.13307801744078393,-0.18665817877133722
2024,ever_selected_unique,119,119,-0.23304606134453767,-0.32944229999999997,0.44537815126050423,24.13220572521008,23.899159663865547,0.10743697478991597,-0.1962232179821817,-0.03682284336235598
2024,never_selected_unique,13,13,-1.1132843538461539,-0.7265533999999998,0.3076923076923077,9.959438200000001,8.846153846153847,0.0,0.44494343366893385,-1.5582277875150876
2024,top_projection_quartile_ever_selected,54,54,-0.7169686055555557,-1.9162099999999995,0.46296296296296297,42.90215379074075,42.18518518518518,0.15912962962962965,-0.25045222655988697,-0.4665163789956683
2024,top_projection_quartile_never_selected,2,2,-6.805705,-6.805705,0.0,53.305705,46.5,0.0,2.0289359638471787,-8.834640963847178
2024,top_projection_quartile_rare_le_5pct,14,14,-4.424294499999999,-6.750813000000001,0.21428571428571427,61.924294499999995,57.5,0.017142857142857144,1.0299951343156024,-5.454289634315601
2024,top_projection_quartile_frequent_ge_25pct,15,15,1.59027682,0.7796859999999981,0.5333333333333333,21.143056513333327,22.733333333333334,0.3383333333333333,-1.0942359375854465,2.6845127575854466
2024,selected_roster_slots_weighted,119,12785,1.533572709346891,-0.32944229999999997,0.5227219397731717,23.394780829956982,24.92835353930387,0.24353312475557293,-0.5484376779194653,2.0820103872663562
2025,all_observed_auctionable,134,134,-0.17408592164179093,-0.5123027499999999,0.3656716417910448,23.577070996268656,23.402985074626866,0.0967089552238806,-0.15871160184359207,-0.015374319798198833
2025,ever_selected_unique,127,127,0.04894777795275588,-0.5367736999999999,0.3779527559055118,23.903808127559063,23.95275590551181,0.10203937007874016,-0.14541445911328768,0.19436223706604364
2025,never_selected_unique,7,7,-4.220554471428571,0.0,0.14285714285714285,17.649125899999998,13.428571428571429,0.0,-0.3999597628076859,-3.820594708620885
2025,top_projection_quartile_ever_selected,38,38,0.9561394473684214,0.5396190000000001,0.5789473684210527,54.54386055263158,55.5,0.1270526315789474,-0.3328600206979529,1.288999468066374
2025,top_projection_quartile_never_selected,2,2,-13.056009999999997,-13.056009999999997,0.0,57.05601,44.0,0.0,-0.9181983690980005,-12.137811630901997
2025,top_projection_quartile_rare_le_5pct,14,14,-1.261425714285713,0.02161999999999864,0.5,62.33285428571428,61.07142857142857,0.018785714285714288,-0.13440086659747483,-1.1270248476882383
2025,top_projection_quartile_frequent_ge_25pct,7,7,1.5114415714285718,-0.6031200000000005,0.42857142857142855,19.202844142857142,20.714285714285715,0.37300000000000005,-0.379493636215084,1.8909352076436559
2025,selected_roster_slots_weighted,127,12959,1.4391807799290064,-0.5367736999999999,0.48992977853229414,23.12536895384675,24.564549733775753,0.23811968516089205,-0.5358810750042834,1.9750618549332903
