artifact,league,metric,value,status
player_identity,dk,rows,6655,passed
player_identity,beta,rows,6655,passed
player_aliases,dk,rows,55914,passed
player_aliases,beta,rows,55914,passed
player_season_sources,dk,rows,52476,passed
player_season_sources,beta,rows,52476,passed
player_season_features,dk,rows,13909,passed
player_season_features,beta,rows,13909,passed
player_season_projection_values,dk,rows,31798,passed
player_season_projection_values,beta,rows,31798,passed
player_season_market_values,dk,rows,31834,passed
player_season_market_values,beta,rows,31834,passed
FFToday_Projections,both,raw_stored_2018_qb_rows,50,retained_in_raw_source
player_aliases,both,stored_2018_fftoday_qb_rows,0,passed
player_season_projection_values,both,stored_2018_fftoday_qb_rows,0,passed
player_season_projection_values,both,native_2019_fftoday_qb_rows,50,passed
feature_source_resolution_audit,both,fftoday_excluded_rows,50,passed
source_manifest,both,current_exclusion_policy_receipts,1,passed
Best_Ball_Weekly_Templates,dk,rows,5298,passed
Best_Ball_Weekly_Templates,beta,rows,5298,passed
Best_Ball_Weekly_Templates,both,paired_active_ppg_differences,5120,passed
Best_Ball_Weekly_Templates,both,paired_weekly_path_differences,5147,passed
Best_Ball_Weekly_Templates,beta,v2_diagnostic_centers_available,2657,passed
Best_Ball_Weekly_Templates,beta,governed_2018_qb_legacy_fallbacks,39,passed
Best_Ball_Weekly_Templates,beta,v2_diagnostic_center_coverage,0.985534,passed
Best_Ball_Weekly_Templates,both,historical_identity_join_rate,1.0,passed
Best_Ball_Weekly_Player_Map,both,current_identity_join_rate,1.0,passed
Best_Ball_Weekly_Templates,both,governed_hybrid_position_mismatches,3,passed
Best_Ball_Weekly_Templates,both,ungoverned_position_mismatches,0,passed
weekly_builder,both,live_staged_v2_path_guard,1,passed
production_handoff,both,second_publish_current_point_max_delta,0.0,passed
production_handoff,both,second_publish_next_point_max_delta,0.0,passed
live_databases,both,staged_live_hash_match,1,passed
all_source_app_databases,both,integrity_ok_count,5,passed
all_source_app_databases,both,foreign_key_errors,0,passed
auction_generated_tables,both,row_and_hash_parity_tables,11,passed
auction_non_generated_content,both,before_after_hash,c0c42654ee5ad673d00e09ecffa9b19c07005814b6f9cfbd77bafef392849d71,passed
Snake_Simulation,both,source_sha256_match,1,passed
Simulation_app_exports,both,source_app_parity,1,passed
