league,method,match_rank,player,season_template,template_distance,template_sample_prob,historical_pred_fp_per_game,played_games,match_actual_target_share_profile,match_actual_air_yards_share_profile,match_actual_adot_profile,match_actual_red_zone_target_share_profile,match_actual_target_share_iqr_profile,match_actual_high_use_week_rate_profile
beta,production,1,Zay Flowers,2025,0.3051700953775981,0.04771806215786429,11.285747111762042,15.0,0.7922880353941798,0.7253518440825355,0.49330638086883555,0.5014970059880239,0.7382035928143712,0.6699286776764941
beta,production,2,Gabriel Davis,2022,0.40116923640060614,0.031165552897676613,11.635011971204257,14.0,0.4633009708737864,0.5122330097087379,0.6939805825242719,0.6483516483516484,0.5512874630645842,0.4954411143942592
beta,production,3,Terrelle Pryor,2017,0.4197124040979917,0.022250193537416238,11.688733230279823,8.0,0.8293135435992578,0.8698444412730126,0.7482517482517483,0.7710333145115754,0.4729794015508301,0.7127872127872128
beta,production,4,Keenan Allen,2015,0.4344431269692065,0.0190819620952571,13.1525,8.0,0.8108273905375354,0.6716509470132659,0.2634000460087417,0.6941733215025141,0.7125603864734299,0.6800858829844337
beta,production,5,Kenny Golladay,2019,0.4485045529397557,0.02318683901630232,11.908842647033422,15.0,0.7958553791887126,0.8630952380952381,0.6299970605526162,0.7839705204974665,0.7368012422360248,0.6695613833294992
beta,production,6,Chris Godwin,2019,0.46034476371928695,0.022493124886894388,11.510304758180384,14.0,0.5716458116093153,0.4620698644421272,0.5716458116093153,0.7052049746660525,0.5449542347352566,0.5590024330900243
beta,production,7,Stefon Diggs,2017,0.4986754648770809,0.018175870551136272,11.823189665647813,13.0,0.7583732057416268,0.715311004784689,0.3038277511961722,0.6227272727272728,0.7280701754385964,0.6332877648667122
beta,production,8,Cooper Kupp,2019,0.5074800212152871,0.01995282596395763,11.442291050608773,15.0,0.6895363408521303,0.5516917293233082,0.35009398496240607,0.6889379136463915,0.6292293233082706,0.5870144110275689
beta,production,9,Diontae Johnson,2021,0.5077078095733143,0.022383421369820397,12.792722752163899,14.0,0.7672322375397667,0.700424178154825,0.2757158006362672,0.4894094993581515,0.7489741343538199,0.686730600765365
beta,production,10,Jeremy Maclin,2011,0.5484521508131335,0.0113431920201068,12.40625,12.0,0.7123470522803115,0.7276974416017797,0.671412680756396,0.5784615384615385,0.7234334445680386,0.6432703003337041
