league,method,weighted_abs_pred_ppg_gap,expected_played,pool_residual_sd,top12_weight,pryor_rank,pryor_distance,pryor_weight
beta,production,0.9689999646201116,13.290384959472036,3.1345469178943386,0.2694788879956938,3,0.4197124040979917,0.022250193537416238
beta,usage_depth_w100,1.0283713200142832,13.323589383858206,3.1544318056013445,0.2812258493840378,9,0.6506903209422628,0.016492054693447732
beta,usage_air_value_w100,1.0069970497848495,13.324643029550039,3.11407216277925,0.25868585323020754,9,0.6119684379573213,0.017345990921330785
beta,usage_air_value_disp_w100,1.0070011704583215,13.32006170845428,3.12660326967193,0.2581886840856304,7,0.5876036687194854,0.01831712561139455
beta,usage_air_value_disp_w150,1.0179147185667732,13.3397614954707,3.1305271979599927,0.26851861298230467,10,0.6715493010302321,0.016714708782970954
