scope,n,mean_pool_overlap_share,median_pool_overlap_share,mean_ypr_profile_distance_delta,mean_td_rate_profile_distance_delta,mean_effective_sample_size_delta
all,1620,0.9143209876543211,0.925,-0.028111834298481634,-0.021509391396222537,0.39903739099944924
wr_te,864,0.8828269675925926,0.8875,-0.04042575685005484,-0.03129162971651524,0.20930853636276
wr,648,0.8702546296296295,0.875,-0.04576225325651211,-0.033475261330478276,-0.010313592328648336
te,216,0.9205439814814815,0.925,-0.02441626763068302,-0.024740734874626108,0.868174922436985
rb,540,0.9304398148148149,0.9375,-0.01965429193535716,-0.01446156664224324,0.8622185148179317
