method,slice_type,slice_value,metric,n_rows,value
expert_baseline,pooled,all,rmse,3696,4.162829873194311
expert_baseline,pooled,all,mae,3696,3.062192476797494
expert_baseline,pooled,all,bias,3696,-1.904065931054543
expert_baseline,pooled,all,spearman,3696,0.7332203260121408
full_knn,pooled,all,rmse,3696,3.319366554928162
full_knn,pooled,all,mae,3696,2.6013568658610087
full_knn,pooled,all,bias,3696,0.2880729345561818
full_knn,pooled,all,spearman,3696,0.7844247583056964
full_random_forest,pooled,all,rmse,3696,3.1241702557978224
full_random_forest,pooled,all,mae,3696,2.4435829569563463
full_random_forest,pooled,all,bias,3696,0.2025850031130825
full_random_forest,pooled,all,spearman,3696,0.8046694693054287
projection_core_knn,pooled,all,rmse,3696,3.243751902364652
projection_core_knn,pooled,all,mae,3696,2.5121489497360803
projection_core_knn,pooled,all,bias,3696,0.023390874517214864
projection_core_knn,pooled,all,spearman,3696,0.7918698607847808
projection_core_random_forest,pooled,all,rmse,3696,3.1423331318868666
projection_core_random_forest,pooled,all,mae,3696,2.4530342999502865
projection_core_random_forest,pooled,all,bias,3696,0.17584545304014312
projection_core_random_forest,pooled,all,spearman,3696,0.8002961425470566
full_lightgbm,pooled,all,rmse,3696,3.1229683424927983
full_lightgbm,pooled,all,mae,3696,2.4468077403671087
full_lightgbm,pooled,all,bias,3696,0.2101402370620301
full_lightgbm,pooled,all,spearman,3696,0.8039497406521527
projection_core_lightgbm,pooled,all,rmse,3696,3.1326400202596614
projection_core_lightgbm,pooled,all,mae,3696,2.4469552295644723
projection_core_lightgbm,pooled,all,bias,3696,0.16343682575737115
projection_core_lightgbm,pooled,all,spearman,3696,0.8009814888662686
projection_core_knn_lgbm_average,pooled,all,rmse,3696,3.1517636122945176
projection_core_knn_lgbm_average,pooled,all,mae,3696,2.4570367621885714
projection_core_knn_lgbm_average,pooled,all,bias,3696,0.093413850137293
projection_core_knn_lgbm_average,pooled,all,spearman,3696,0.8013026673761918
full_knn_lgbm_average,pooled,all,rmse,3696,3.1681830761053513
full_knn_lgbm_average,pooled,all,mae,3696,2.491639392711208
full_knn_lgbm_average,pooled,all,bias,3696,0.2491065858091059
full_knn_lgbm_average,pooled,all,spearman,3696,0.8016367611876394
projection_core_rf_lgbm_average,pooled,all,rmse,3696,3.1295669926911014
projection_core_rf_lgbm_average,pooled,all,mae,3696,2.444566653073524
projection_core_rf_lgbm_average,pooled,all,bias,3696,0.16964113939875713
projection_core_rf_lgbm_average,pooled,all,spearman,3696,0.8017652513394304
full_rf_lgbm_average,pooled,all,rmse,3696,3.1143233398111247
full_rf_lgbm_average,pooled,all,mae,3696,2.438125038302581
full_rf_lgbm_average,pooled,all,bias,3696,0.20636262008755635
full_rf_lgbm_average,pooled,all,spearman,3696,0.8055399481811235
