challenger,reference,challenger_rmse,reference_rmse,pooled_delta,mean_season_delta,recent_mean_season_delta,season_wins,season_count,bootstrap_95_low,bootstrap_95_high
projection_core_knn,projection_core_lightgbm,3.243751902364652,3.1326400202596614,0.11111188210499057,0.11061623403708154,0.08634405652872552,1,9,0.05660009424135505,0.1640290506850615
full_knn,full_lightgbm,3.319366554928162,3.1229683424927983,0.19639821243536382,0.19554611969659547,0.14354709647488764,0,9,0.15132572882543754,0.2363582672398596
projection_core_random_forest,projection_core_lightgbm,3.1423331318868666,3.1326400202596614,0.009693111627205209,0.009984956429553549,0.0026466053887848062,4,9,-0.004076336705662826,0.027199772515691417
full_random_forest,full_lightgbm,3.1241702557978224,3.1229683424927983,0.0012019133050240605,0.0012375724558713053,-0.009383601910756637,5,9,-0.018107948056180472,0.019838732014221677
projection_core_knn_lgbm_average,projection_core_lightgbm,3.1517636122945176,3.1326400202596614,0.01912359203485625,0.018979728646047505,0.005221775952547247,4,9,-0.0023197126289506527,0.04081011269834789
full_knn_lgbm_average,full_lightgbm,3.1681830761053513,3.1229683424927983,0.045214733612553015,0.04481991963220677,0.014707324203566833,2,9,0.02215344222479645,0.06638369421370419
projection_core_rf_lgbm_average,projection_core_lightgbm,3.1295669926911014,3.1326400202596614,-0.003073027568559983,-0.0029394545620938673,-0.006244986404194759,6,9,-0.010236926985827522,0.005810610376776992
full_rf_lgbm_average,full_lightgbm,3.1143233398111247,3.1229683424927983,-0.008645002681673564,-0.008581659876574221,-0.012393943111314698,5,9,-0.01818372315403459,0.0005101816438208502
