lock_version,model_run_id,audit,league,n_rows,value
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T213737Z_eea04504,v2_handoff_duplicate_player_key_season_rows,all,8903,0.0
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T213737Z_eea04504,historical_identity_join_rate,nv,2696,1.0
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T213737Z_eea04504,historical_position_mismatch_rate,nv,2696,0.001112759643916914
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T213737Z_eea04504,historical_point_center_coverage,nv,2696,0.9855341246290801
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T213737Z_eea04504,v2_target_vs_template_active_ppg_mae,nv,2644,0.23428904412667315
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T213737Z_eea04504,v2_target_vs_template_active_ppg_max_abs,nv,2644,14.66
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T213737Z_eea04504,recomputed_residual_identity_max_abs,nv,2657,8.881784197001252e-16
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T213737Z_eea04504,current_player_map_identity_join_rate,nv,324,1.0
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T213737Z_eea04504,current_player_map_position_mismatch_rate,nv,324,0.0
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260826T213737Z_eea04504,current_player_map_point_center_coverage,nv,324,1.0
