study,result_dir,experiment,league,evidence_class,baseline_method,method,tier,period,n,ppg_crps,contribution_crps,played_crps,ppg_bias,contribution_bias,played_bias,ppg_80_coverage,extended_absence_calibration,extended_absence_brier,zero_active_calibration,predicted_missed_games,observed_missed_games,baseline_ppg_crps,baseline_contribution_crps,baseline_played_crps,baseline_ppg_bias,baseline_contribution_bias,baseline_played_bias,baseline_ppg_80_coverage,baseline_extended_absence_calibration,baseline_extended_absence_brier,baseline_zero_active_calibration,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_delta,contribution_crps_relative_delta,played_crps_delta,played_crps_relative_delta,abs_ppg_bias_degradation,abs_contribution_bias_degradation,abs_played_bias_degradation,abs_extended_absence_calibration_degradation,abs_zero_active_calibration_degradation,ppg_80_coverage_delta
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,core_strict,all_2017_2025,744,1.9035854666485152,24.82807909993179,1.362289951772695,-0.36191284139932295,-2.6706235180318383,-0.005166640284035621,0.8333333333333334,0.006153322543386089,0.08563165549035896,-0.00021849254870980354,3.0333924467356486,3.028225806451612,1.8991767439649518,24.80072019277369,1.3584710493886996,-0.36211319902015654,-2.526609012325278,0.06025952326367546,0.8185483870967742,0.0019388622178004161,0.08437993472994326,-5.817324551184947e-05,0.004408722683563404,0.0023213861993482965,0.027358907158102852,0.001103149704744233,0.003818902383995404,0.002811176863661391,-0.0002003576208335911,0.1440145057065605,-0.05509288297963984,0.004214460325585673,0.00016031930319795407,0.014784946236559127
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,core_strict,all_2017_2025,744,1.8991767439649518,24.80072019277369,1.3584710493886996,-0.36211319902015654,-2.526609012325278,0.06025952326367546,0.8185483870967742,0.0019388622178004161,0.08437993472994326,-5.817324551184947e-05,2.967966283187936,3.028225806451612,1.8991767439649518,24.80072019277369,1.3584710493886996,-0.36211319902015654,-2.526609012325278,0.06025952326367546,0.8185483870967742,0.0019388622178004161,0.08437993472994326,-5.817324551184947e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,core_strict,development_2017_2022,492,1.919267626905808,24.748543544278025,1.352920360961864,-0.40897232541490586,-2.917161481971175,0.060253783498916975,0.8434959349593496,0.012629791109280239,0.08184720542684606,-0.0027239461761796747,3.0027543465823836,3.0630081300813004,1.9154935999329061,24.74281807268916,1.3434139076769644,-0.4091911657313918,-2.6815458712221125,0.10814951874782039,0.8292682926829268,0.008772051479405796,0.08015255023747982,-0.0022468669151691286,0.003774026972901856,0.0019702634208926817,0.00572547158886394,0.00023139933260818424,0.00950645328489963,0.007076339786699304,-0.00021884031648594648,0.23561561074906257,-0.047895735248903414,0.003857739629874443,0.0004770792610105461,0.014227642276422814
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,core_strict,development_2017_2022,492,1.9154935999329061,24.74281807268916,1.3434139076769644,-0.4091911657313918,-2.6815458712221125,0.10814951874782039,0.8292682926829268,0.008772051479405796,0.08015255023747982,-0.0022468669151691286,2.9548586113334796,3.0630081300813004,1.9154935999329061,24.74281807268916,1.3434139076769644,-0.4091911657313918,-2.6815458712221125,0.10814951874782039,0.8292682926829268,0.008772051479405796,0.08015255023747982,-0.0022468669151691286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,core_strict,recent_2020_2025,504,1.8870227506115178,25.053335141623517,1.3853563107242017,-0.3498753421644534,-1.893609720856898,0.03583082827652816,0.8253968253968254,0.0021451272010573896,0.08785082341166894,0.0025208748031241204,3.0534548860091846,3.0892857142857135,1.8851233912588594,25.053828501256305,1.3851152850291573,-0.3501079108815016,-1.768976008230746,0.1322616356769176,0.8115079365079365,-0.0035780294189785566,0.08653398983518627,0.002198597953183429,0.0018993593526583918,0.0010075517398306921,-0.0004933596327880707,-1.9691985708392146e-05,0.00024102569504447224,0.00017401128819360956,-0.00023256871704824267,0.12463371262615208,-0.09643080740038944,-0.001432902217921167,0.0003222768499406914,0.01388888888888884
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,core_strict,recent_2020_2025,504,1.8851233912588594,25.053828501256305,1.3851152850291573,-0.3501079108815016,-1.768976008230746,0.1322616356769176,0.8115079365079365,-0.0035780294189785566,0.08653398983518627,0.002198597953183429,2.9570240786087965,3.0892857142857135,1.8851233912588594,25.053828501256305,1.3851152850291573,-0.3501079108815016,-1.768976008230746,0.1322616356769176,0.8115079365079365,-0.0035780294189785566,0.08653398983518627,0.002198597953183429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,core_strict,temporal_2023_2025,252,1.8729679156699923,24.983362803827248,1.3805829624033648,-0.27003480117842277,-2.1892874931978956,-0.13289222957456204,0.8134920634920635,-0.006491211323359586,0.09302034370959841,0.004673107390636135,3.0932096898920207,2.9603174603174605,1.8673200251703743,24.9137671891292,1.387868326063992,-0.27019907353631595,-2.2241132401933643,-0.033239991729178936,0.7976190476190477,-0.011402126340571986,0.09263339969141954,0.004214990585723792,0.005647890499618002,0.0030245969750699597,0.06959561469804854,0.002793460104596912,-0.007285363660627153,-0.005249319062773372,-0.0001642723578931804,-0.0348257469954687,0.0996522378453831,-0.0049109150172124,0.0004581168049123431,0.015873015873015817
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,core_strict,temporal_2023_2025,252,1.8673200251703743,24.9137671891292,1.387868326063992,-0.27019907353631595,-2.2241132401933643,-0.033239991729178936,0.7976190476190477,-0.011402126340571986,0.09263339969141954,0.004214990585723792,2.9935574520466393,2.9603174603174605,1.8673200251703743,24.9137671891292,1.387868326063992,-0.27019907353631595,-2.2241132401933643,-0.033239991729178936,0.7976190476190477,-0.011402126340571986,0.09263339969141954,0.004214990585723792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,beta_scored_ppg_only,core_main,all_2017_2025,1062,1.9605660887391252,23.493627345814357,1.455678466961627,-0.25799834247053127,-2.1397493193136827,0.057758384944522734,0.832391713747646,0.00014072988756805294,0.09726247541557125,-0.004448107815123618,3.193654044434009,3.251412429378531,1.9573986347179673,23.477310665219292,1.45572324922272,-0.2584242420429908,-1.8719848442772966,0.11204471246807302,0.82015065913371,-0.003548831628457899,0.09746165947483562,-0.004472951720085718,0.0031674540211579227,0.0016181956832794775,0.016316680595064526,0.0006949978567705184,-4.478226109294603e-05,-3.07628947444627e-05,-0.0004258995724595316,0.2677644750363861,-0.05428632752355028,-0.003408101740889846,-2.4843904962100136e-05,0.012241054613935987
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,production_hybrid,production_hybrid,core_main,all_2017_2025,1062,1.9573986347179673,23.477310665219292,1.45572324922272,-0.2584242420429908,-1.8719848442772966,0.11204471246807302,0.82015065913371,-0.003548831628457899,0.09746165947483562,-0.004472951720085718,3.139367716910458,3.251412429378531,1.9573986347179673,23.477310665219292,1.45572324922272,-0.2584242420429908,-1.8719848442772966,0.11204471246807302,0.82015065913371,-0.003548831628457899,0.09746165947483562,-0.004472951720085718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
