experiment,method,max_position_ppg_relative_delta,worst_ppg_position
2026-08-02_beta_scoring_context__results_confirmation,beta_scored_ppg_only,0.004570698036915788,RB
2026-08-02_beta_scoring_context__results_confirmation,production_hybrid,0.0,QB
