study,result_dir,experiment,league,evidence_class,candidate_method,baseline_method,tier,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better,season_cluster_se
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,beta_scored_ppg_only,production_hybrid,core_strict,development_2017_2022,ppg_crps,492,6,0.00377402697290162,-0.0043361384018720875,0.011005405258149345,0.1666,0.0039627310465877265
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,beta_scored_ppg_only,production_hybrid,core_strict,development_2017_2022,contribution_crps,492,6,0.005725471588866192,-0.11747491050175636,0.12717110394197306,0.4502,0.062497012109046374
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,beta_scored_ppg_only,production_hybrid,core_strict,development_2017_2022,played_crps,492,6,0.009506453284899668,-0.001926924211432492,0.0191701303393714,0.0476,0.005372300599852108
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,beta_scored_ppg_only,production_hybrid,core_strict,temporal_2023_2025,ppg_crps,252,3,0.005647890499617855,-0.005823709057615382,0.018613434162115458,0.1494,0.00579983041221301
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,beta_scored_ppg_only,production_hybrid,core_strict,temporal_2023_2025,contribution_crps,252,3,0.06959561469804296,-0.030905883356076067,0.1842724005894966,0.1512,0.051055564044999724
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,beta_scored_ppg_only,production_hybrid,core_strict,temporal_2023_2025,played_crps,252,3,-0.00728536366062723,-0.02136573727281535,0.008471181576465996,0.8424,0.00715988100212158
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,beta_scored_ppg_only,production_hybrid,core_main,development_2017_2022,ppg_crps,702,6,0.0015677830490707708,-0.0034088144812069766,0.007023195637389563,0.2654,0.002700316983257166
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,beta_scored_ppg_only,production_hybrid,core_main,development_2017_2022,contribution_crps,702,6,0.0059392114394304805,-0.09375033297774059,0.10564704698103655,0.4234,0.05095767575069997
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,beta_scored_ppg_only,production_hybrid,core_main,development_2017_2022,played_crps,702,6,0.010810035642571304,-0.0017418588260393394,0.020028777536684868,0.0518,0.005731082815489233
2026-08-02_beta_scoring_context,results_confirmation,2026-08-02_beta_scoring_context__results_confirmation,beta,fresh_confirmation,beta_scored_ppg_only,production_hybrid,core_main,temporal_2023_2025,ppg_crps,360,3,0.00628681241672756,-0.002148002045965201,0.01354984918922028,0.0378,0.003748851005991789
