player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
Larry Johnson,1343,HB,16,KC,416,41,457,2.67,57,11,39.7
Steven Jackson,1745,HB,16,STR,345,90,435,2.36,54,23,41.8
LaDainian Tomlinson,777,HB,16,SD,346,56,402,2.86,35,7,29.8
Tiki Barber,245,HB,16,NYG,326,58,384,3.01,46,9,43.1
Edgerrin James,439,HB,16,ARZ,337,37,374,2.42,25,3,18.1
Frank Gore,2282,HB,16,SF,312,61,373,3.61,52,12,61.9
Willie Parker,2142,HB,16,PIT,336,31,367,2.96,38,7,36.3
Rudi Johnson,857,HB,16,CIN,341,22,363,2.45,39,2,27.7
Chester Taylor,1182,HB,15,MIN,303,42,345,2.64,29,8,28.4
Jamal Lewis,583,HB,16,BLT,314,18,332,2.51,22,6,21.1
Thomas Jones,585,HB,16,CHI,297,35,332,2.11,19,7,16.5
Brian Westbrook,1094,HB,15,PHI,240,77,317,2.39,18,14,24.1
Ahman Green,374,HB,14,GB,266,46,312,2.40,9,5,10.8
Warrick Dunn,236,HB,16,ATL,286,23,309,2.36,26,2,21.4
Ladell Betts,1063,HB,16,WAS,245,51,296,2.87,14,5,18.4
Travis Henry,825,HB,14,TEN,270,18,288,3.25,47,2,55.3
Willis McGahee,1339,HB,14,BUF,260,17,277,2.33,31,8,32.8
Julius Jones,1764,HB,16,DAL,267,9,276,2.39,23,0,19.9
Ronnie Brown,2219,HB,13,MIA,241,33,274,2.59,26,10,34.0
Deuce McAllister,793,HB,15,NO,244,30,274,2.72,14,4,17.9
Joseph Addai,2975,HB,16,IND,228,40,268,2.73,27,8,35.6
Shaun Alexander,597,HB,10,SEA,252,12,264,1.94,23,1,17.6
DeShaun Foster,1041,HB,14,CAR,226,33,259,2.47,26,4,28.7
Tatum Bell,1762,HB,13,DEN,232,24,256,2.02,5,4,7.1
Cadillac Williams,2222,HB,14,TB,225,30,255,2.56,29,11,40.2
Fred Taylor,333,HB,15,JAX,231,23,254,3.25,43,6,62.6
Reuben Droughns,640,HB,14,CLV,219,28,247,2.15,18,5,20.0
Reggie Bush,2947,HB,16,NO,155,88,243,1.85,14,19,25.1
Kevin Jones,1751,HB,12,DET,181,59,240,2.44,21,17,38.6
Dominic Rhodes,979,HB,16,IND,187,36,223,2.13,14,3,16.2
Corey Dillon,249,HB,16,NE,200,15,215,2.43,18,1,21.4
Maurice Jones-Drew,3005,HB,16,JAX,166,46,212,3.52,28,13,68.0
Laurence Maroney,2966,HB,14,NE,175,22,197,2.63,26,11,49.5
Justin Fargas,1410,HB,16,OAK,178,13,191,2.62,24,3,37.0
Mike Bell,3225,HB,15,DEN,156,20,176,2.57,10,5,21.9
Leon Washington,3062,HB,15,NYJ,151,25,176,2.30,17,8,32.6
Maurice Morris,1061,HB,16,SEA,162,11,173,2.28,13,3,21.1
Cedric Benson,2221,HB,15,CHI,156,7,163,2.81,14,1,25.9
Ron Dayne,589,HB,11,HST,149,14,163,2.51,13,1,21.6
Marion Barber III,2326,HB,16,DAL,135,23,158,2.62,20,11,51.4
Wali Lundy,3115,HB,12,HST,124,33,157,2.18,11,2,18.0
DeAngelo Williams,2972,HB,13,CAR,121,32,153,2.74,14,9,41.2
Clinton Portis,1058,HB,8,WAS,127,17,144,2.20,10,3,19.9
Kevan Barlow,841,HB,12,NYJ,131,7,138,1.92,10,0,13.9
Anthony Thomas,808,HB,15,BUF,106,22,128,2.68,7,2,18.8
Lamont Jordan,819,HB,9,OAK,114,10,124,2.89,8,2,23.3
Michael Vick,773,QB,16,ATL,122,1,123,2.38,17,12,56.0
Cedric Houston,2399,HB,8,NYJ,113,7,120,1.94,7,0,11.3
Sammy Morris,678,HB,12,MIA,92,21,113,2.68,7,5,28.5
