player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
LeSean McCoy,4976,HB,16,PHI,314,52,366,2.38,47,17,41.7
Matt Forte,4358,HB,16,CHI,289,74,363,2.37,32,18,32.6
Marshawn Lynch,3628,HB,16,SEA,301,36,337,2.50,50,11,45.2
Jamaal Charles,4387,HB,15,KC,260,70,330,2.22,33,20,35.7
Chris Johnson,4338,HB,16,TEN,279,42,321,1.84,13,6,10.9
Eddie Lacy,7842,HB,15,GB,284,35,319,2.28,36,5,29.3
Ryan Mathews,5537,HB,16,SD,284,26,310,2.26,17,5,16.0
Adrian Peterson,3623,HB,14,MIN,279,29,308,2.97,43,9,50.2
Knowshon Moreno,4935,HB,16,DEN,241,60,301,2.03,12,13,16.9
Frank Gore,2282,HB,16,SF,276,16,292,2.00,16,2,12.3
Le'Veon Bell,7829,HB,13,PIT,244,46,290,2.11,25,10,25.5
Alfred Morris,7165,HB,16,WAS,276,9,285,2.71,27,4,29.5
Reggie Bush,2947,HB,14,DET,223,54,277,2.10,33,9,31.8
Maurice Jones-Drew,3005,HB,15,JAX,234,43,277,2.21,16,12,22.3
Zac Stacy,7942,HB,14,STR,250,26,276,2.45,22,1,20.4
Ray Rice,4369,HB,15,BLT,214,58,272,1.52,5,4,5.0
DeMarco Murray,6223,HB,14,DAL,217,53,270,2.71,26,16,42.2
Fred Jackson,3368,HB,16,BUF,206,47,253,2.56,23,9,32.4
C.J. Spiller,5534,HB,15,BUF,202,33,235,2.26,27,7,32.7
Rashard Mendenhall,4337,HB,15,ARZ,217,18,235,1.81,19,5,18.4
DeAngelo Williams,2972,HB,15,CAR,201,26,227,2.32,19,4,23.5
Giovani Bernard,7818,HB,16,CIN,170,56,226,2.26,18,19,37.0
BenJarvus Green-Ellis,4599,HB,16,CIN,220,4,224,1.99,13,0,11.6
Pierre Thomas,4080,HB,16,NO,147,77,224,2.20,12,21,32.4
Joique Bell,5797,HB,16,DET,166,53,219,2.38,28,15,46.7
Ben Tate,5583,HB,14,HST,181,34,215,2.38,32,2,37.7
Bilal Powell,6278,HB,16,NYJ,176,36,212,2.18,17,7,24.6
Lamar Miller,7097,HB,16,MIA,177,26,203,2.06,11,3,14.2
Rashad Jennings,5174,HB,15,OAK,163,36,199,2.80,11,8,26.7
Steven Jackson,1745,HB,12,ATL,157,33,190,2.03,15,11,27.8
Stevan Ridley,6225,HB,14,NE,178,10,188,2.18,16,2,20.9
Trent Richardson,7009,HB,14,IND,157,28,185,1.90,19,16,36.0
Chris Ivory,6007,HB,15,NYJ,182,2,184,3.01,28,1,47.5
Danny Woodhead,4914,HB,16,SD,106,76,182,1.86,8,17,25.5
Bernard Pierce,7085,HB,16,BLT,152,20,172,1.75,9,5,14.2
Andre Brown,5053,HB,8,NYG,139,20,159,2.05,6,2,10.3
Andre Ellington,7968,HB,15,ARZ,118,39,157,3.15,15,11,52.2
LeGarrette Blount,5863,HB,16,NE,153,2,155,2.73,15,1,28.1
Bobby Rainey Jr.,7511,HB,8,TB,137,11,148,2.88,13,0,25.3
Jacquizz Rodgers,6297,HB,15,ATL,96,52,148,2.01,13,15,38.0
Willis McGahee,1339,HB,12,CLV,138,8,146,1.76,9,0,10.9
Arian Foster,5398,HB,8,HST,121,22,143,2.06,5,6,15.8
Montee Ball,7839,HB,16,DEN,120,20,140,2.55,16,5,38.3
Doug Martin,7035,HB,6,TB,127,12,139,2.16,5,2,10.9
Darren McFadden,4318,HB,10,OAK,114,17,131,1.94,7,2,13.3
Donald Brown,4950,HB,16,IND,102,27,129,3.28,15,6,53.5
Mike Tolbert,4740,FB,16,CAR,101,27,128,2.02,9,9,28.4
Darren Sproles,2347,HB,15,NO,53,71,124,1.57,4,15,24.0
Daniel Thomas,6214,HB,15,MIA,109,15,124,2.02,16,2,29.3
Antonio Brown,5718,WR,16,PIT,7,111,118,1.00,1,15,13.6
Pierre Garcon,4519,WR,16,WAS,2,113,115,1.50,1,13,18.3
Cam Newton,6153,QB,16,CAR,111,0,111,3.09,12,7,52.9
Andre Johnson,1319,WR,16,HST,0,109,109,,0,8,7.3
Julian Edelman,5156,WR,16,NE,2,105,107,2.00,1,8,16.8
Alshon Jeffery,7048,WR,16,CHI,16,89,105,2.63,2,7,22.5
Brandon Marshall,3064,WR,16,CHI,0,100,100,,0,13,13.0
James Starks,5716,HB,13,GB,89,10,99,3.00,15,3,54.5
A.J. Green,6156,WR,16,CIN,0,98,98,,1,11,12.2
Chris Ogbonnaya,5135,HB,16,CLV,49,48,97,2.18,4,5,20.3
Russell Wilson,7077,QB,16,SEA,96,0,96,1.83,8,7,28.6
Kendall Wright,7026,WR,16,TEN,0,94,94,,0,18,19.1
Dez Bryant,5549,WR,16,DAL,1,93,94,2.00,1,13,29.8
Roy Helu,6257,HB,16,WAS,62,31,93,2.15,9,2,25.4
Demaryius Thomas,5547,WR,16,DEN,0,92,92,,0,11,12.0
Josh Gordon,7618,WR,14,CLV,5,87,92,9.80,1,9,106.5
Shane Vereen,6208,HB,8,NE,44,47,91,2.07,6,8,31.8
Colin Kaepernick,6188,QB,16,SF,90,0,90,2.76,6,7,39.8
Jordan Todman,6335,HB,15,JAX,76,14,90,1.53,3,2,8.5
Eric Decker,5611,WR,16,DEN,0,87,87,,0,7,8.0
Anquan Boldin,1369,WR,16,SF,2,85,87,1.50,1,12,22.4
Jimmy Graham,5619,TE,16,NO,0,86,86,,2,11,15.1
Robert Griffin III,7008,QB,13,WAS,86,0,86,1.62,7,3,18.8
Peyton Hillis,4541,HB,7,NYG,73,13,86,2.12,5,3,19.8
Mark Ingram II,6180,HB,11,NO,78,7,85,2.41,16,5,59.5
Jordy Nelson,4350,WR,16,GB,0,85,85,,0,11,12.9
Robert Turbin,7106,HB,16,SEA,77,8,85,2.16,7,1,20.3
Harry Douglas,4398,WR,16,ATL,0,85,85,,0,15,17.6
DeSean Jackson,4363,WR,16,PHI,3,82,85,0.33,1,9,3.9
Calvin Johnson,3618,WR,14,DET,0,84,84,,0,12,14.3
Larry Fitzgerald,1724,WR,16,ARZ,2,82,84,0.50,2,6,4.8
T.Y. Hilton,7092,WR,16,IND,2,82,84,1.00,0,7,8.3
Tony Gonzalez,237,TE,16,ATL,0,83,83,,0,5,6.0
Terrelle Pryor,6944,QB,11,OAK,83,0,83,1.77,9,3,25.6
Shonn Greene,4988,HB,11,TEN,77,6,83,2.13,4,0,10.3
Bryce Brown,7213,HB,16,PHI,75,8,83,2.92,8,1,31.7
Daryl Richardson,7233,HB,8,STR,69,14,83,1.61,1,4,9.7
Knile Davis,7878,HB,15,KC,70,11,81,1.91,5,1,14.2
Jordan Cameron,6254,TE,15,CLV,0,80,80,,1,5,7.5
Kendall Hunter,6267,HB,16,SF,78,2,80,2.58,8,1,29.0
Vincent Jackson,2278,WR,16,TB,1,78,79,2.00,0,8,20.3
Marcel Reece,4702,FB,16,OAK,46,32,78,3.17,5,6,44.8
Antonio Gates,1609,TE,16,SD,0,77,77,,4,11,19.5
Brian Hartline,5031,WR,16,MIA,0,76,76,,0,6,7.9
Brian Leonard,3668,HB,16,TB,47,29,76,2.09,3,8,30.2
Alex Smith,2218,QB,15,KC,75,1,76,0.96,0,1,1.3
Charles Clay,6326,TE,16,MIA,7,69,76,1.57,2,16,37.2
Mike Wallace,5007,WR,16,MIA,3,73,76,7.33,2,5,67.5
Brandon Bolden,7469,HB,10,NE,55,20,75,1.80,3,1,9.6
Marques Colston,3197,WR,15,NO,0,75,75,,1,4,6.7
Victor Cruz,5827,WR,14,NYG,0,73,73,,0,8,11.0
Greg Olsen,3647,TE,16,CAR,0,73,73,,3,4,9.6
Wes Welker,2204,WR,13,DEN,0,73,73,,1,5,8.2
Jason Witten,1384,TE,16,DAL,0,73,73,,2,6,11.0
Keenan Allen,7857,WR,15,SD,0,72,72,,0,13,18.1
Jason Snelling,3860,HB,14,ATL,44,28,72,2.20,2,14,49.0
Geno Smith,7820,QB,16,NYJ,71,1,72,1.39,3,2,9.7
Mike James,7970,HB,7,TB,60,10,70,3.10,3,2,22.1
Emmanuel Sanders,5606,WR,16,PIT,1,68,69,3.00,0,15,65.2
Greg Jennings,2997,WR,15,MIN,0,68,68,,0,8,11.8
Golden Tate,5585,WR,16,SEA,3,64,67,8.33,3,21,298.5
Ronnie Hillman,7069,HB,9,DEN,55,12,67,1.91,2,2,11.4
Michael Bush,3716,HB,15,CHI,63,4,67,2.14,4,0,12.8
