player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
Adrian Peterson,3623,HB,16,MIN,363,21,384,3.23,38,2,33.7
Michael Turner,1873,HB,16,ATL,376,6,382,3.40,39,1,35.6
Matt Forte,4358,HB,16,CHI,316,63,379,2.19,17,9,15.0
Clinton Portis,1058,HB,16,WAS,342,28,370,2.70,10,2,8.8
LaDainian Tomlinson,777,HB,16,SD,292,52,344,2.41,17,5,15.4
Ryan Grant,2609,HB,16,GB,312,18,330,2.61,13,1,11.1
Thomas Jones,585,HB,16,NYJ,290,36,326,2.64,11,3,11.3
Steve Slaton,4403,HB,16,HST,268,50,318,3.09,20,11,30.2
Jamal Lewis,583,HB,16,CLV,279,23,302,2.53,14,4,15.1
Marshawn Lynch,3628,HB,15,BUF,250,47,297,3.00,24,10,34.3
DeAngelo Williams,2972,HB,16,CAR,273,22,295,3.90,37,5,55.6
Chris Johnson,4338,HB,15,TEN,251,43,294,3.11,19,3,23.3
Steven Jackson,1745,HB,12,STR,253,40,293,3.00,14,9,23.5
Marion Barber III,2326,HB,15,DAL,238,52,290,2.39,19,9,23.1
Brian Westbrook,1094,HB,14,PHI,233,54,287,2.05,7,1,5.7
Frank Gore,2282,HB,14,SF,240,43,283,2.55,15,8,20.7
Kevin Smith,4378,HB,16,DET,238,39,277,2.86,22,6,28.9
Maurice Jones-Drew,3005,HB,16,JAX,197,62,259,2.49,19,16,33.6
Le'Ron McClain,3753,HB,16,BLT,232,19,251,2.94,24,5,33.9
Ronnie Brown,2219,HB,16,MIA,214,33,247,2.77,25,3,31.4
Cedric Benson,2221,HB,12,CIN,214,20,234,2.38,7,1,8.1
Warrick Dunn,236,HB,15,TB,186,47,233,2.42,8,3,11.4
Justin Fargas,1410,HB,14,OAK,218,10,228,2.38,5,1,6.3
Brandon Jacobs,2327,HB,13,NYG,219,6,225,3.33,15,0,22.2
Derrick Ward,1949,HB,16,NYG,182,41,223,3.66,10,6,26.3
Willie Parker,2142,HB,11,PIT,210,3,213,2.62,11,1,14.8
LenDale White,2990,HB,16,TEN,200,5,205,2.07,4,0,4.0
Larry Johnson,1343,HB,12,KC,192,12,204,2.70,10,0,13.3
Dominic Rhodes,979,HB,15,IND,152,45,197,2.35,16,0,19.1
Willis McGahee,1339,HB,13,BLT,170,24,194,2.73,14,5,26.7
Jonathan Stewart,4327,HB,16,CAR,184,8,192,3.52,22,3,45.8
Ricky Williams,440,HB,16,MIA,161,29,190,2.34,5,3,9.9
Mewelde Moore,1840,HB,16,PIT,140,40,180,2.46,10,10,27.3
Joseph Addai,2975,HB,12,IND,155,25,180,2.34,8,3,14.3
Tim Hightower,4463,HB,16,ARZ,143,33,176,2.33,6,1,9.3
Sammy Morris,678,HB,13,NE,156,17,173,3.06,12,3,26.6
Julius Jones,1764,HB,15,SEA,158,14,172,2.70,14,1,23.6
Fred Jackson,3368,HB,16,BUF,130,37,167,3.10,13,12,46.4
Pierre Thomas,4080,HB,14,NO,129,31,160,3.18,4,4,15.9
Fred Taylor,333,HB,13,JAX,143,16,159,3.10,16,2,35.1
Reggie Bush,2947,HB,10,NO,106,52,158,2.07,4,10,18.3
Earnest Graham,1613,HB,10,TB,132,23,155,3.24,10,4,29.3
Maurice Morris,1061,HB,13,SEA,132,19,151,3.15,5,5,20.9
Chester Taylor,1182,HB,16,MIN,101,45,146,2.88,9,5,27.6
Edgerrin James,439,HB,13,ARZ,133,12,145,2.58,7,1,14.2
Darren McFadden,4318,HB,13,OAK,113,29,142,2.05,2,3,7.2
Kevin Faulk,470,HB,15,NE,83,58,141,2.66,5,4,17.0
Ray Rice,4369,HB,13,BLT,108,33,141,2.43,8,3,18.9
Jerious Norwood,3024,HB,16,ATL,95,36,131,3.40,10,7,44.1
Deuce McAllister,793,HB,13,NO,107,18,125,2.30,2,1,5.5
Chris Perry,1747,HB,13,CIN,104,20,124,1.73,2,1,4.2
Leon Washington,3062,HB,16,NYJ,76,47,123,3.20,9,9,46.8
Andre Johnson,1319,WR,16,HST,0,115,115,,0,7,6.1
Wes Welker,2204,WR,16,NE,3,111,114,2.33,0,2,4.1
Michael Bush,3716,HB,14,OAK,95,19,114,2.81,7,2,22.2
Tashard Choice,4436,HB,11,DAL,92,21,113,2.43,4,1,10.8
Brandon Marshall,3064,WR,15,DEN,2,104,106,-1.00,0,19,-17.9
Correll Buckhalter,869,HB,14,PHI,76,26,102,3.62,6,3,31.9
Eddie Royal,4356,WR,15,DEN,11,91,102,5.55,2,3,27.2
Anquan Boldin,1369,WR,12,ARZ,9,89,98,2.56,0,15,39.1
Antonio Pittman,3723,HB,10,STR,79,18,97,2.03,7,3,20.9
Larry Fitzgerald,1724,WR,16,ARZ,0,96,96,,1,11,12.5
Tony Gonzalez,237,TE,16,KC,0,96,96,,1,9,10.4
Jamaal Charles,4387,HB,16,KC,67,27,94,3.10,7,4,36.3
T.J. Houshmandzadeh,921,WR,15,CIN,1,92,93,0.00,1,8,0.0
DeShaun Foster,1041,HB,14,SF,76,16,92,2.16,1,3,9.4
Roddy White,2244,WR,16,ATL,2,88,90,1.50,1,2,5.0
Darren Sproles,2347,HB,16,SD,61,29,90,3.21,10,4,50.0
Rudi Johnson,857,HB,14,DET,76,12,88,2.89,6,0,19.7
Michael Pittman,382,HB,8,DEN,76,10,86,2.13,3,0,7.4
Dwayne Bowe,3639,WR,16,KC,0,86,86,,0,16,18.6
Ahman Green,374,HB,8,HST,74,11,85,2.64,3,1,12.4
Antonio Bryant,1070,WR,16,TB,2,83,85,5.00,1,4,29.4
Ladell Betts,1063,HB,13,WAS,61,22,83,2.51,1,3,12.1
Steve Smith,837,WR,14,CAR,5,78,83,5.20,4,9,81.4
Chris Cooley,1802,TE,16,WAS,0,83,83,,2,10,14.5
Reggie Wayne,800,WR,16,IND,0,82,82,,2,7,11.0
Hines Ward,380,WR,16,PIT,1,81,82,1.00,2,10,14.6
Peyton Hillis,4541,FB,10,DEN,68,14,82,3.06,5,0,18.7
Derrick Mason,271,WR,16,BLT,1,80,81,6.00,1,12,96.3
Calvin Johnson,3618,WR,16,DET,3,78,81,3.00,1,14,55.6
Jason Witten,1384,TE,16,DAL,0,81,81,,1,5,7.4
Greg Jennings,2997,WR,16,GB,0,80,80,,1,9,12.5
Lamont Jordan,819,HB,8,NE,80,0,80,2.35,1,0,2.9
Santana Moss,786,WR,16,WAS,1,79,80,22.00,4,9,357.5
Steve Breaston,3758,WR,16,ARZ,2,77,79,2.00,1,7,20.3
Lance Moore,2718,WR,16,NO,0,79,79,,0,2,2.5
DeSean Jackson,4363,WR,16,PHI,17,62,79,1.59,2,4,12.1
Dallas Clark,1340,TE,15,IND,0,77,77,,0,6,7.8
BenJarvus Green-Ellis,4599,HB,8,NE,74,3,77,2.19,4,2,17.1
Donald Driver,533,WR,16,GB,2,74,76,-1.50,1,12,-25.7
Terrell Owens,188,WR,16,DAL,7,69,76,3.43,1,4,22.6
Brandon Jackson,3679,HB,13,GB,45,30,75,3.53,5,3,37.7
David Garrard,1109,QB,16,JAX,73,1,74,2.60,8,6,49.2
Jerricho Cotchery,1829,WR,16,NYJ,2,71,73,1.50,1,13,28.8
Matt Cassel,2447,QB,16,NE,72,0,72,1.08,1,3,6.0
Ahmad Bradshaw,3866,HB,12,NYG,67,5,72,4.28,9,0,53.5
Laveranues Coles,638,WR,16,NYJ,2,70,72,2.50,0,5,17.4
Randy Moss,342,WR,16,NE,2,69,71,1.50,0,4,8.5
Cadillac Williams,2222,HB,6,TB,63,7,70,2.08,1,1,5.9
Owen Daniels,3043,TE,16,HST,0,70,70,,2,1,4.3
Matt Jones,2238,WR,12,JAX,0,65,65,,1,0,1.5
Muhsin Muhammad,173,WR,16,CAR,0,65,65,,1,8,13.8
Torry Holt,441,WR,16,STR,0,64,64,,1,2,4.7
Lee Evans,1734,WR,16,BUF,1,63,64,0.00,2,2,0.0
Selvin Young,4109,HB,8,DEN,61,3,64,2.75,9,1,43.0
Kevin Walter,1549,WR,16,HST,3,60,63,2.33,1,5,22.2
Vincent Jackson,2278,WR,16,SD,4,59,63,5.25,1,3,33.3
Donnie Avery,4347,WR,15,STR,10,53,63,1.50,0,2,4.8
T.J. Duckett,1025,HB,16,SEA,62,0,62,2.18,1,0,3.5
Isaac Bruce,80,WR,16,SF,1,61,62,0.00,0,1,0.0
Ted Ginn Jr.,3625,WR,16,MIA,5,56,61,7.40,0,3,36.4
Ryan Fitzpatrick,2467,QB,13,CIN,60,1,61,1.47,4,2,14.4
Antonio Gates,1609,TE,16,SD,0,60,60,,1,0,1.7
Marvin Harrison,162,WR,15,IND,0,60,60,,0,2,3.3
J.J. Arrington,2261,HB,11,ARZ,31,29,60,3.48,2,2,23.2
Bo Scaife,2396,TE,16,TEN,0,58,58,,1,7,13.8
Santonio Holmes,2970,WR,15,PIT,2,55,57,5.00,2,10,105.3
Tyler Thigpen,3833,QB,14,KC,56,1,57,1.88,2,5,23.0
Steve Smith,3667,WR,16,NYG,0,57,57,,1,2,5.3
Devin Hester,3002,WR,15,CHI,6,51,57,4.50,0,3,23.7
Greg Camarillo,2523,WR,11,MIA,2,55,57,1.50,0,1,2.6
Anthony Gonzalez,3648,WR,16,IND,0,57,57,,2,3,8.8
Zach Miller,3654,TE,16,OAK,0,56,56,,1,2,5.4
Josh Reed,1043,WR,13,BUF,0,56,56,,1,6,12.5
Braylon Edwards,2220,WR,16,CLV,0,55,55,,0,5,9.1
Davone Bess,4694,WR,16,MIA,1,54,55,8.00,0,3,43.6
John Carlson,4352,TE,16,SEA,0,55,55,,3,1,7.3
Tatum Bell,1762,HB,7,DEN,44,10,54,3.11,3,0,17.3
Antwaan Randle El,1069,WR,16,WAS,1,53,54,0.00,1,4,0.0
Greg Olsen,3647,TE,16,CHI,0,54,54,,0,3,5.6
Jay Cutler,2956,QB,16,DEN,54,0,54,1.94,3,3,21.6
Matt Ryan,4317,QB,16,ATL,53,0,53,0.38,0,0,0.0
Chad Johnson,806,WR,13,CIN,0,53,53,,0,0,0.0
Bobby Wade,1448,WR,16,MIN,0,53,53,,2,5,13.2
Bernard Berrian,1799,WR,16,MIN,4,48,52,4.25,0,5,40.9
Aaron Rodgers,2241,QB,16,GB,51,0,51,1.29,0,1,2.5
Kenneth Darby,3862,HB,9,STR,32,19,51,2.50,1,1,9.8
Jeremy Shockey,1021,TE,12,NO,0,50,50,,2,3,10.0
Michael Jenkins,1750,WR,16,ATL,0,50,50,,1,3,8.0
Leonard Weaver,2835,FB,14,SEA,30,20,50,2.60,3,3,31.2
Brandon Stokley,498,WR,15,DEN,0,49,49,,0,1,2.0
Heath Miller,2247,TE,14,PIT,0,48,48,,1,2,6.3
Dustin Keller,4344,TE,16,NYJ,0,48,48,,3,3,12.5
Joe Flacco,4332,QB,16,BLT,47,1,48,0.91,1,0,1.9
Amani Toomer,169,WR,16,NYG,0,48,48,,2,2,8.3
Ike Hilliard,233,WR,16,TB,1,47,48,1.00,1,3,8.3
Mark Clayton,2239,WR,16,BLT,6,41,47,6.17,3,2,65.6
Bobby Engram,177,WR,13,SEA,0,47,47,,1,2,6.4
Marques Colston,3197,WR,11,NO,0,47,47,,0,0,0.0
Jerome Harrison,3090,HB,15,CLV,34,12,46,3.82,2,3,41.6
Jason Campbell,2242,QB,16,WAS,46,0,46,2.22,6,9,72.3
Billy Miller,534,TE,15,NO,0,45,45,,3,0,6.7
Bryant Johnson,1333,WR,16,SF,0,45,45,,0,1,2.2
Kolby Smith,3764,HB,7,KC,35,10,45,2.11,2,0,9.4
Nate Washington,2832,WR,16,PIT,5,40,45,3.80,1,3,33.8
Domenik Hixon,3075,WR,16,NYG,2,43,45,6.00,1,7,106.7
Jason Wright,2212,HB,15,CLV,23,22,45,2.35,1,4,26.1
Dennis Northcutt,605,WR,14,JAX,1,44,45,4.00,0,3,26.7
Brandon Jones,2313,WR,16,TEN,2,41,43,10.50,0,2,48.8
Kellen Winslow,1727,TE,10,CLV,0,43,43,,2,1,7.0
