player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
David Johnson,9519,HB,16,ARZ,293,80,373,2.53,43,27,47.5
Ezekiel Elliott,10638,HB,15,DAL,322,32,354,2.91,35,9,36.2
DeMarco Murray,6223,HB,16,TEN,293,53,346,2.39,45,4,33.8
Le'Veon Bell,7829,HB,12,PIT,261,75,336,3.01,46,13,52.9
Todd Gurley,9443,HB,16,LAR,278,43,321,2.18,25,13,25.8
LeGarrette Blount,5863,HB,16,NE,299,7,306,2.48,40,4,35.6
Frank Gore,2282,HB,16,IND,263,38,301,2.06,15,8,15.7
Lamar Miller,7097,HB,14,HST,268,32,300,1.99,22,8,19.9
Melvin Gordon III,9448,HB,13,SD,254,41,295,2.46,34,11,37.6
Jay Ajayi,9582,HB,15,MIA,260,27,287,3.47,58,5,76.2
LeSean McCoy,4976,HB,15,BUF,234,51,285,2.42,43,18,51.9
Devonta Freeman,8738,HB,16,ATL,227,54,281,2.22,34,10,34.8
Jordan Howard,10784,HB,15,CHI,252,29,281,2.98,37,12,52.0
Mark Ingram II,6180,HB,16,NO,205,46,251,3.06,40,5,54.9
Matt Forte,4358,HB,14,NYJ,218,30,248,2.40,17,6,22.3
Spencer Ware,7975,HB,14,KC,214,33,247,2.81,29,13,47.8
Carlos Hyde,8692,HB,13,SF,217,27,244,3.06,36,3,48.9
Jeremy Hill,8690,HB,15,CIN,222,21,243,2.46,22,3,25.3
Isaiah Crowell,9295,HB,16,CLV,198,40,238,3.18,21,12,44.1
Latavius Murray,7962,HB,14,OAK,195,33,228,2.60,19,8,30.8
Terrance West,8729,HB,16,BLT,193,34,227,2.63,25,6,35.9
Jonathan Stewart,4327,HB,13,CAR,218,8,226,2.75,44,2,55.9
Rashad Jennings,5174,HB,13,NYG,181,35,216,2.04,10,6,15.1
Devontae Booker,10770,HB,16,DEN,174,31,205,2.44,13,6,22.6
Jerick McKinnon,8731,HB,15,MIN,159,43,202,2.04,20,12,32.4
Bilal Powell,6278,HB,16,NYJ,132,59,191,3.19,22,14,60.1
T.J. Yeldon,9469,HB,15,JAX,130,50,180,2.26,21,13,42.7
Rob Kelley,11090,HB,14,WAS,168,12,180,2.84,33,4,58.4
Ryan Mathews,5537,HB,13,PHI,155,13,168,2.43,14,2,23.2
Doug Martin,7035,HB,8,TB,144,14,158,2.51,19,1,31.7
Tim Hightower,4463,HB,15,NO,133,22,155,2.36,9,4,19.8
Matt Asiata,6432,HB,16,MIN,121,32,153,2.03,11,5,21.3
Tevin Coleman,9506,HB,13,ATL,118,31,149,2.75,14,1,27.6
Darren Sproles,2347,HB,15,PHI,94,52,146,2.65,19,7,47.2
Theo Riddick,7980,HB,10,DET,92,53,145,2.73,14,14,52.7
Jacquizz Rodgers,6297,HB,10,TB,129,13,142,2.74,17,4,40.5
Christine Michael,7843,HB,9,SEA,117,20,137,2.68,21,3,46.9
Chris Ivory,6007,HB,11,JAX,117,20,137,2.19,15,3,28.7
Giovani Bernard,7818,HB,10,CIN,91,39,130,2.33,8,7,26.9
Paul Perkins,10783,HB,13,NYG,112,15,127,2.24,9,6,26.5
C.J. Anderson,8101,HB,7,DEN,110,16,126,2.39,13,5,34.2
Duke Johnson Jr.,9510,HB,16,CLV,73,53,126,2.68,12,21,70.3
Derrick Henry,10679,HB,15,TEN,110,13,123,2.64,15,12,57.9
Thomas Rawls,9993,HB,9,SEA,109,13,122,2.17,12,2,24.8
Ty Montgomery,9527,HB,14,GB,77,44,121,4.88,16,6,88.8
Kenneth Dixon,10768,HB,12,BLT,88,30,118,2.94,26,9,87.3
Chris Thompson,7936,HB,16,WAS,68,49,117,3.13,12,9,56.2
Charcandrick West,9047,HB,15,KC,88,28,116,2.34,11,4,30.3
DeAngelo Williams,2972,HB,9,PIT,98,18,116,2.49,11,6,36.5
Alfred Blue,8816,HB,14,HST,100,12,112,2.32,12,0,24.9
Jalen Richard,11395,HB,16,OAK,83,29,112,3.63,21,7,90.7
Mike Gillislee,7946,HB,15,BUF,101,9,110,3.35,16,3,57.8
Julian Edelman,5156,WR,16,NE,12,98,110,3.17,3,14,48.9
Larry Fitzgerald,1724,WR,16,ARZ,2,107,109,2.00,0,13,23.9
Antonio Brown,5718,WR,15,PIT,3,106,109,0.00,0,9,0.0
Matt Jones,9528,HB,7,WAS,99,8,107,2.85,12,0,31.9
Zach Zenner,9761,HB,11,DET,88,18,106,2.89,9,3,32.7
DeAndre Washington,10777,HB,14,OAK,87,17,104,3.30,9,1,31.7
Shaun Draughn,6440,HB,14,SF,74,29,103,1.97,11,6,32.6
Odell Beckham Jr.,8647,WR,16,NYG,1,101,102,1.00,0,28,27.5
Golden Tate,5585,WR,16,DET,10,91,101,1.50,3,22,37.1
Dwayne Washington,10870,HB,11,DET,90,10,100,2.09,4,2,12.5
Jarvis Landry,8698,WR,16,MIA,5,94,99,2.80,4,22,73.5
James White,8765,HB,16,NE,39,60,99,1.97,6,12,35.9
Jordy Nelson,4350,WR,16,GB,0,97,97,,0,4,4.1
Doug Baldwin,6615,WR,16,SEA,3,94,97,0.00,0,11,0.0
Mike Evans,8642,WR,16,TB,0,96,96,,0,2,2.1
Tyrod Taylor,6332,QB,15,BUF,94,0,94,2.89,20,16,110.8
Michael Thomas,10681,WR,15,NO,0,92,92,,0,20,21.7
T.Y. Hilton,7092,WR,16,IND,0,91,91,,0,6,6.6
Rex Burkhead,7971,HB,10,CIN,74,17,91,3.03,9,4,43.2
Cam Newton,6153,QB,15,CAR,90,0,90,1.78,6,1,13.8
Demaryius Thomas,5547,WR,16,DEN,0,90,90,,0,6,6.7
Michael Crabtree,4933,WR,16,OAK,0,89,89,,0,14,15.7
Stefon Diggs,9579,WR,13,MIN,3,84,87,1.00,1,8,10.3
Dennis Pitta,5638,TE,16,BLT,0,86,86,,0,4,4.7
Tyreek Hill,10799,WR,16,KC,24,62,86,4.13,6,13,91.1
Tavon Austin,7789,WR,15,LAR,28,58,86,3.50,10,6,65.1
Travis Kelce,7844,TE,16,KC,1,85,86,-1.00,0,11,-12.8
Terrelle Pryor,6944,WR,16,CLV,8,77,85,2.75,2,5,22.6
Brandin Cooks,8655,WR,16,NO,6,78,84,3.00,0,3,10.7
Amari Cooper,9437,WR,16,OAK,1,83,84,0.00,0,12,0.0
Wendell Smallwood,10787,HB,13,PHI,77,6,83,2.25,6,1,18.9
Kyle Rudolph,6195,TE,16,MIN,0,83,83,,0,6,7.2
Julio Jones,6158,WR,14,ATL,0,83,83,,0,7,8.4
Fozzy Whittaker,8547,HB,16,CAR,57,25,82,2.11,6,7,33.4
James Starks,5716,HB,9,GB,63,19,82,2.02,3,2,12.3
Dion Lewis,6301,HB,7,NE,64,17,81,2.14,8,5,34.4
Jeremy Langford,9539,HB,12,CHI,62,19,81,1.94,3,1,9.6
Emmanuel Sanders,5606,WR,16,DEN,1,79,80,1.00,0,12,15.0
Greg Olsen,3647,TE,16,CAR,0,80,80,,1,3,5.0
Pierre Garcon,4519,WR,16,WAS,0,79,79,,0,13,16.5
Zach Ertz,7816,TE,14,PHI,0,78,78,,0,3,3.8
DeAndre Hopkins,7808,WR,16,HST,0,78,78,,0,6,7.7
Mike Wallace,5007,WR,16,BLT,5,72,77,2.00,0,8,20.8
Cole Beasley,7330,WR,16,DAL,1,75,76,3.00,0,3,11.8
