player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
Arian Foster,5398,HB,16,HST,351,40,391,2.18,19,3,12.3
Adrian Peterson,3623,HB,16,MIN,348,40,388,3.93,50,7,57.8
Doug Martin,7035,HB,16,TB,319,49,368,3.15,47,14,52.2
Alfred Morris,7165,HB,16,WAS,335,11,346,2.99,48,2,43.2
Marshawn Lynch,3628,HB,16,SEA,315,23,338,2.77,50,5,45.0
Jamaal Charles,4387,HB,16,KC,285,35,320,2.22,11,5,11.1
Ray Rice,4369,HB,16,BLT,257,61,318,2.36,14,11,18.5
Trent Richardson,7009,HB,15,CLV,267,51,318,2.09,36,19,36.1
Chris Johnson,4338,HB,16,TEN,276,37,313,2.02,22,3,16.1
BenJarvus Green-Ellis,4599,HB,15,CIN,278,22,300,2.07,12,4,11.1
Stevan Ridley,6225,HB,16,NE,290,6,296,2.46,23,0,19.1
Steven Jackson,1745,HB,16,STR,258,38,296,2.69,17,5,20.0
Shonn Greene,4988,HB,16,NYJ,276,19,295,2.15,12,1,9.5
Matt Forte,4358,HB,15,CHI,248,44,292,2.41,16,1,14.0
Frank Gore,2282,HB,16,SF,258,28,286,2.64,24,11,32.3
Reggie Bush,2947,HB,16,MIA,227,35,262,2.06,28,7,27.5
Darren McFadden,4318,HB,12,OAK,216,42,258,1.94,14,6,15.0
LeSean McCoy,4976,HB,12,PHI,200,55,255,2.52,36,7,42.5
C.J. Spiller,5534,HB,16,BUF,207,43,250,3.58,43,13,80.3
Mikel Leshoure,6209,HB,14,DET,215,34,249,2.00,10,6,12.9
Ahmad Bradshaw,3866,HB,14,NYG,221,23,244,2.49,15,9,24.5
Michael Turner,1873,HB,16,ATL,222,19,241,2.27,29,3,30.1
Vick Ballard,7162,HB,16,IND,211,17,228,2.52,24,3,29.8
Ryan Mathews,5537,HB,12,SD,184,39,223,2.60,13,7,23.3
DeMarco Murray,6223,HB,10,DAL,161,35,196,2.48,20,6,33.0
Willis McGahee,1339,HB,10,DEN,167,26,193,2.37,12,6,22.1
DeAngelo Williams,2972,HB,16,CAR,174,13,187,3.11,12,4,26.7
Jonathan Dwyer,5711,HB,13,PIT,156,18,174,2.78,13,7,31.9
Mark Ingram II,6180,HB,16,NO,156,6,162,2.76,19,1,34.1
Knowshon Moreno,4935,HB,8,DEN,138,21,159,2.14,10,2,16.2
Alex Green,6248,HB,11,GB,135,18,153,2.10,11,0,15.1
Fred Jackson,3368,HB,10,BUF,115,34,149,2.40,19,8,43.5
Jacquizz Rodgers,6297,HB,16,ATL,94,53,147,2.72,11,16,50.0
Pierre Thomas,4080,HB,15,NO,105,39,144,2.78,16,11,52.1
Felix Jones,4336,HB,16,DAL,111,25,136,2.09,4,11,23.1
Joique Bell,5797,HB,16,DET,82,52,134,2.99,8,15,51.3
Isaac Redman,5233,HB,14,PIT,110,19,129,3.02,21,9,70.2
Bryce Brown,7213,HB,16,PHI,115,13,128,3.32,19,3,57.1
Cam Newton,6153,QB,16,CAR,127,1,128,2.59,13,5,36.4
Bilal Powell,6278,HB,14,NYJ,110,17,127,1.79,7,7,19.7
LaRod Stephens-Howling,5164,HB,14,ARZ,110,17,127,2.34,21,5,47.8
Michael Bush,3716,HB,13,CHI,114,9,123,2.30,9,4,24.3
Darren Sproles,2347,HB,13,NO,48,75,123,1.88,5,17,33.5
Calvin Johnson,3618,WR,16,DET,0,122,122,,1,12,10.7
Daryl Richardson,7233,HB,16,STR,98,24,122,2.78,10,4,31.9
Wes Welker,2204,WR,16,NE,2,118,120,2.00,0,7,11.7
Rashad Jennings,5174,HB,10,JAX,101,19,120,1.93,4,6,16.1
Brandon Marshall,3064,WR,16,CHI,1,118,119,0.00,0,17,0.0
