player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
LaDainian Tomlinson,777,HB,16,SD,315,60,375,2.37,28,11,24.6
Clinton Portis,1058,HB,16,WAS,324,47,371,2.35,24,9,20.9
Brian Westbrook,1094,HB,15,PHI,278,90,368,2.36,27,15,26.9
Edgerrin James,439,HB,16,ARZ,323,24,347,2.09,20,7,16.3
Willie Parker,2142,HB,15,PIT,321,23,344,1.66,19,5,11.6
Thomas Jones,585,HB,16,NYJ,310,28,338,1.87,26,3,16.0
Willis McGahee,1339,HB,15,BLT,294,43,337,2.55,26,11,28.0
Jamal Lewis,583,HB,15,CLV,298,30,328,2.59,28,4,25.2
LenDale White,2990,HB,16,TEN,303,20,323,2.33,15,1,11.5
Frank Gore,2282,HB,15,SF,260,53,313,2.37,18,13,23.5
Joseph Addai,2975,HB,15,IND,261,40,301,2.09,26,7,22.9
Marshawn Lynch,3628,HB,13,BUF,280,18,298,2.31,41,8,38.1
Steven Jackson,1745,HB,12,STR,237,38,275,2.46,16,9,22.4
DeShaun Foster,1041,HB,16,CAR,247,25,272,1.77,26,8,22.1
Earnest Graham,1613,HB,15,TB,222,49,271,2.55,27,7,31.9
Warrick Dunn,236,HB,16,ATL,228,37,265,1.63,21,5,16.0
Adrian Peterson,3623,HB,14,MIN,238,19,257,3.05,40,6,54.6
Marion Barber III,2326,HB,16,DAL,204,44,248,2.74,35,11,50.8
Justin Fargas,1410,HB,14,OAK,222,23,245,2.52,17,3,20.6
Fred Taylor,333,HB,15,JAX,222,9,231,3.12,35,4,52.6
Reggie Bush,2947,HB,12,NO,157,73,230,1.46,12,13,15.9
Kenny Watson,1001,HB,16,CIN,178,52,230,1.98,8,9,14.7
Brandon Jacobs,2327,HB,11,NYG,202,23,225,2.57,23,7,34.3
Shaun Alexander,597,HB,13,SEA,207,14,221,2.04,17,2,17.5
Ryan Grant,2609,HB,14,GB,189,30,219,2.43,22,1,25.5
Cedric Benson,2221,HB,11,CHI,196,17,213,1.65,12,4,12.4
Ron Dayne,589,HB,13,HST,194,17,211,2.06,11,2,12.7
Maurice Jones-Drew,3005,HB,15,JAX,167,40,207,2.12,18,12,30.7
Adrian Peterson,1177,HB,16,CHI,151,51,202,2.02,13,10,23.0
Laurence Maroney,2966,HB,13,NE,185,4,189,2.12,17,2,21.3
Larry Johnson,1343,HB,8,KC,158,30,188,1.97,15,4,19.9
Julius Jones,1764,HB,16,DAL,164,23,187,1.87,13,8,21.0
Chester Taylor,1182,HB,14,MIN,157,29,186,2.78,21,4,37.3
Kevin Jones,1751,HB,13,DET,153,32,185,2.27,17,7,29.5
Rudi Johnson,857,HB,11,CIN,170,13,183,1.79,11,2,12.7
Selvin Young,4109,HB,15,DEN,140,35,175,2.66,27,7,51.8
Travis Henry,825,HB,12,DEN,167,7,174,2.46,23,0,32.5
Lamont Jordan,819,HB,12,OAK,145,27,172,1.79,10,5,15.6
DeAngelo Williams,2972,HB,16,CAR,144,23,167,2.83,17,2,32.2
Maurice Morris,1061,HB,14,SEA,140,23,163,2.21,12,3,20.3
Ronnie Brown,2219,HB,7,MIA,119,39,158,2.76,18,15,57.6
Jesse Chatman,2861,HB,12,MIA,128,27,155,2.39,20,6,40.1
