player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
Arian Foster,5398,HB,16,HST,327,66,393,2.59,22,18,26.3
Steven Jackson,1745,HB,16,STR,330,46,376,2.65,18,7,17.6
Ray Rice,4369,HB,16,BLT,307,63,370,2.28,3,13,9.9
Chris Johnson,4338,HB,16,TEN,316,44,360,2.83,29,4,25.9
Cedric Benson,2221,HB,16,CIN,322,28,350,2.33,20,4,16.0
Rashard Mendenhall,4337,HB,16,PIT,324,23,347,2.55,30,5,25.7
Michael Turner,1873,HB,16,ATL,334,12,346,2.82,33,5,31.0
Maurice Jones-Drew,3005,HB,14,JAX,301,34,335,2.85,19,7,22.1
Peyton Hillis,4541,HB,16,CLV,270,61,331,2.91,16,11,23.8
Ahmad Bradshaw,3866,HB,16,NYG,276,47,323,3.00,34,8,39.1
Adrian Peterson,3623,HB,15,MIN,283,36,319,3.10,29,7,35.0
Matt Forte,4358,HB,16,CHI,237,51,288,2.60,17,8,22.6
LeSean McCoy,4976,HB,15,PHI,207,78,285,2.98,9,10,19.9
Jamaal Charles,4387,HB,16,KC,231,45,276,3.09,15,7,24.6
LaDainian Tomlinson,777,HB,15,NYJ,219,52,271,2.25,13,5,15.0
Darren McFadden,4318,HB,13,OAK,222,47,269,3.45,24,12,46.2
Thomas Jones,585,HB,16,KC,245,14,259,2.10,9,2,8.9
Fred Jackson,3368,HB,16,BUF,222,31,253,2.91,23,9,36.8
Frank Gore,2282,HB,11,SF,203,46,249,2.51,9,11,20.1
BenJarvus Green-Ellis,4599,HB,16,NE,229,12,241,2.67,12,0,13.3
Ronnie Brown,2219,HB,16,MIA,200,33,233,2.15,10,5,13.8
Felix Jones,4336,HB,16,DAL,185,48,233,2.71,21,8,33.7
Brandon Jackson,3679,HB,16,GB,190,43,233,2.68,13,8,24.2
Jahvid Best,5555,HB,16,DET,171,58,229,1.77,3,9,9.3
Knowshon Moreno,4935,HB,13,DEN,182,37,219,2.49,19,6,28.5
Mike Tolbert,4740,HB,15,SD,182,24,206,2.91,16,3,26.8
LeGarrette Blount,5863,HB,13,TB,201,5,206,3.68,35,0,62.5
Shonn Greene,4988,HB,15,NYJ,185,16,201,2.51,9,2,13.7
Marshawn Lynch,3628,HB,12,SEA,165,21,186,2.67,22,7,41.6
Jonathan Stewart,4327,HB,14,CAR,178,8,186,2.72,23,4,39.5
Ryan Torain,4453,HB,10,WAS,164,18,182,3.27,18,2,35.9
Ryan Mathews,5537,HB,12,SD,158,22,180,2.83,15,6,33.0
Ricky Williams,440,HB,16,MIA,159,19,178,2.54,9,6,21.4
Michael Bush,3716,HB,14,OAK,158,18,176,2.34,10,5,20.0
Tim Hightower,4463,HB,16,ARZ,153,21,174,2.93,9,3,20.2
Cadillac Williams,2222,HB,16,TB,125,46,171,2.61,8,10,27.5
Brandon Jacobs,2327,HB,16,NYG,148,7,155,3.26,14,1,31.5
Justin Forsett,4547,HB,16,SEA,118,33,151,2.72,12,1,23.4
Donald Brown,4950,HB,13,IND,129,20,149,2.87,6,4,19.2
Mike Goodson,5034,HB,16,CAR,103,40,143,2.80,13,10,45.0
Chris Ivory,6007,HB,12,NO,137,1,138,3.32,22,0,52.9
Joseph Addai,2975,HB,8,IND,116,19,135,2.56,13,2,28.4
Chester Taylor,1182,HB,16,CHI,112,20,132,1.89,4,5,12.9
Jason Snelling,3860,HB,14,ATL,87,44,131,2.38,7,12,34.5
Danny Woodhead,4914,HB,14,NE,97,34,131,2.86,8,8,34.9
Marion Barber III,2326,HB,13,DAL,113,11,124,2.24,8,6,25.3
Beanie Wells,4954,HB,13,ARZ,116,5,121,2.27,4,0,7.5
Roddy White,2244,WR,16,ATL,1,115,116,3.00,0,5,12.9
Maurice Morris,1061,HB,11,DET,90,25,115,2.26,4,5,17.7
Willis McGahee,1339,HB,15,BLT,100,14,114,2.10,8,5,23.9
Pierre Thomas,4080,HB,6,NO,83,29,112,2.42,6,4,21.6
Reggie Wayne,800,WR,16,IND,0,111,111,,0,5,4.5
Rashad Jennings,5174,HB,13,JAX,84,26,110,3.55,6,7,41.9
Darren Sproles,2347,HB,16,SD,50,59,109,3.12,5,7,34.3
Keiland Williams,5794,HB,15,WAS,65,39,104,2.54,3,7,24.4
Toby Gerhart,5576,HB,15,MIN,81,21,102,2.77,8,5,35.2
Michael Vick,773,QB,12,PHI,100,0,100,3.78,19,10,109.6
John Kuhn,2686,HB,16,GB,84,15,99,2.18,4,1,11.0
DeAngelo Williams,2972,HB,6,CAR,87,12,99,2.53,8,3,28.1
Santana Moss,786,WR,16,WAS,5,93,98,2.20,1,12,29.2
C.J. Spiller,5534,HB,14,BUF,74,24,98,2.65,4,4,21.6
Jason Witten,1384,TE,16,DAL,0,94,94,,0,13,13.8
Brian Westbrook,1094,HB,14,SF,76,16,92,2.51,5,2,19.1
Danny Amendola,4717,WR,16,STR,7,85,92,2.00,0,7,15.2
Larry Fitzgerald,1724,WR,16,ARZ,0,90,90,,0,4,4.4
Percy Harvin,4945,WR,14,MIN,18,71,89,2.56,2,10,34.5
Andre Johnson,1319,WR,13,HST,2,86,88,2.50,0,1,2.8
Brandon Marshall,3064,WR,14,MIA,2,86,88,3.00,1,8,30.7
