player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
Maurice Jones-Drew,3005,HB,16,JAX,343,43,386,2.78,35,9,31.7
Ray Rice,4369,HB,16,BLT,291,76,367,2.48,13,12,16.9
Arian Foster,5398,HB,13,HST,278,53,331,2.50,19,10,21.9
LeSean McCoy,4976,HB,15,PHI,273,48,321,2.51,35,8,33.6
Chris Johnson,4338,HB,16,TEN,262,57,319,2.11,19,7,17.2
Michael Turner,1873,HB,16,ATL,301,17,318,3.05,55,5,57.6
Marshawn Lynch,3628,HB,15,SEA,285,28,313,2.53,28,5,26.7
Steven Jackson,1745,HB,15,STR,260,42,302,2.55,17,3,16.9
Frank Gore,2282,HB,16,SF,282,17,299,2.54,18,3,17.8
Michael Bush,3716,HB,16,OAK,256,37,293,2.37,14,4,14.5
Cedric Benson,2221,HB,15,CIN,273,15,288,2.06,10,1,7.9
Shonn Greene,4988,HB,16,NYJ,253,30,283,2.25,15,2,13.5
Ryan Mathews,5537,HB,14,SD,222,50,272,3.20,23,4,31.7
Willis McGahee,1339,HB,15,DEN,249,12,261,2.79,23,2,26.7
Reggie Bush,2947,HB,15,MIA,216,43,259,2.53,20,9,28.3
Beanie Wells,4954,HB,14,ARZ,245,10,255,2.64,20,0,20.7
Matt Forte,4358,HB,12,CHI,203,52,255,2.68,29,10,41.1
Rashard Mendenhall,4337,HB,15,PIT,228,18,246,2.47,22,6,28.1
Adrian Peterson,3623,HB,12,MIN,208,18,226,3.13,28,2,41.5
Fred Jackson,3368,HB,10,BUF,170,39,209,3.75,28,10,68.1
Ahmad Bradshaw,3866,HB,12,NYG,171,34,205,2.53,19,13,39.4
Roy Helu,6257,HB,15,WAS,151,49,200,2.44,8,6,17.1
LeGarrette Blount,5863,HB,14,TB,184,15,199,2.90,27,5,46.7
BenJarvus Green-Ellis,4599,HB,16,NE,181,9,190,2.06,13,2,16.2
DeMarco Murray,6223,HB,13,DAL,164,26,190,3.01,15,5,31.7
Jonathan Stewart,4327,HB,16,CAR,142,47,189,2.96,24,17,64.2
Ben Tate,5583,HB,15,HST,175,13,188,3.34,22,0,39.1
Peyton Hillis,4541,HB,10,CLV,161,22,183,2.39,9,1,13.0
Daniel Thomas,6214,HB,13,MIA,165,12,177,1.94,10,3,14.2
Mike Tolbert,4740,HB,15,SD,119,54,173,2.35,9,12,28.6
Darren Sproles,2347,HB,16,NO,87,86,173,3.67,13,7,42.4
DeAngelo Williams,2972,HB,16,CAR,156,16,172,2.88,16,2,30.2
Brandon Jacobs,2327,HB,14,NYG,152,15,167,2.56,11,5,24.5
James Starks,5716,HB,13,GB,133,29,162,2.67,17,8,41.2
Pierre Thomas,4080,HB,16,NO,110,50,160,2.87,16,11,48.5
Dexter McCluster,5561,HB,16,KC,114,46,160,2.14,10,3,17.4
Felix Jones,4336,HB,12,DAL,127,33,160,2.98,16,7,42.9
Thomas Jones,585,HB,16,KC,153,5,158,1.42,4,0,3.6
Jackie Battle,3885,HB,15,KC,149,9,158,2.65,6,2,13.4
Ryan Grant,2609,HB,15,GB,134,19,153,2.46,10,3,20.9
Donald Brown,4950,HB,13,IND,134,16,150,3.10,11,2,26.8
C.J. Spiller,5534,HB,16,BUF,107,39,146,2.93,6,4,20.0
Percy Harvin,4945,WR,16,MIN,52,87,139,2.27,4,9,21.2
Joseph Addai,2975,HB,12,IND,118,15,133,2.18,3,0,4.9
Mark Ingram II,6180,HB,10,NO,122,11,133,2.06,7,3,15.5
Darren McFadden,4318,HB,7,OAK,113,19,132,2.88,8,3,24.0
Toby Gerhart,5576,HB,16,MIN,109,23,132,2.97,15,4,42.8
Isaac Redman,5233,HB,16,PIT,110,18,128,3.06,15,4,45.5
Kendall Hunter,6267,HB,15,SF,112,16,128,2.46,11,0,21.2
Wes Welker,2204,WR,16,NE,4,122,126,1.50,1,10,13.1
Bernard Scott,5133,HB,16,CIN,112,13,125,2.36,6,0,11.3
Cam Newton,6153,QB,16,CAR,122,1,123,2.43,18,18,71.3
Ricky Williams,440,HB,16,BLT,108,13,121,2.56,6,1,14.8
Tim Tebow,5550,QB,14,DEN,120,0,120,3.13,13,9,57.3
Marion Barber III,2326,HB,11,CHI,114,5,119,2.82,14,1,35.5
