player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
Chris Johnson,4338,HB,16,TEN,358,50,408,2.99,36,11,34.5
Steven Jackson,1745,HB,15,STR,324,51,375,2.94,35,8,33.8
Maurice Jones-Drew,3005,HB,16,JAX,312,53,365,2.97,33,6,31.8
Adrian Peterson,3623,HB,16,MIN,314,43,357,2.91,38,8,37.5
Thomas Jones,585,HB,16,NYJ,331,10,341,2.11,11,0,6.8
Ray Rice,4369,HB,16,BLT,254,78,332,2.83,28,24,44.3
Cedric Benson,2221,HB,13,CIN,301,17,318,2.57,13,4,13.7
Matt Forte,4358,HB,16,CHI,258,57,315,2.11,15,11,17.4
Ryan Grant,2609,HB,16,GB,282,25,307,2.74,20,3,20.6
Fred Jackson,3368,HB,16,BUF,237,46,283,2.99,27,12,41.2
Frank Gore,2282,HB,14,SF,229,52,281,2.69,18,2,19.1
Ricky Williams,440,HB,16,MIA,241,35,276,2.68,13,2,14.6
Knowshon Moreno,4935,HB,16,DEN,247,28,275,2.44,14,5,16.9
Joseph Addai,2975,HB,15,IND,219,51,270,2.24,7,10,14.1
Rashard Mendenhall,4337,HB,15,PIT,242,25,267,2.96,21,4,27.7
Kevin Smith,4378,HB,13,DET,217,40,257,2.28,13,3,14.2
DeAngelo Williams,2972,HB,13,CAR,216,29,245,2.94,16,8,28.8
LaDainian Tomlinson,777,HB,14,SD,223,20,243,1.91,5,2,5.5
Brandon Jacobs,2327,HB,15,NYG,224,18,242,2.58,11,2,13.8
Marion Barber III,2326,HB,15,DAL,214,26,240,2.79,9,0,10.4
Jonathan Stewart,4327,HB,16,CAR,221,18,239,3.35,31,4,49.0
Cadillac Williams,2222,HB,16,TB,209,29,238,2.41,11,3,14.2
Jamaal Charles,4387,HB,15,KC,190,40,230,3.62,18,3,33.0
Jerome Harrison,3090,HB,14,CLV,194,34,228,2.56,11,2,14.6
Julius Jones,1764,HB,14,SEA,177,35,212,2.51,7,2,10.6
Laurence Maroney,2966,HB,15,NE,194,14,208,2.35,17,2,21.5
Tim Hightower,4463,HB,16,ARZ,142,63,205,3.00,11,5,23.4
LeSean McCoy,4976,HB,16,PHI,155,40,195,2.25,7,5,13.8
Beanie Wells,4954,HB,16,ARZ,176,12,188,3.09,16,5,34.5
Pierre Thomas,4080,HB,14,NO,147,39,186,3.03,13,16,47.2
Ahmad Bradshaw,3866,HB,15,NYG,163,21,184,2.94,17,7,38.4
Michael Turner,1873,HB,11,ATL,178,5,183,3.34,22,0,40.1
Mike Bell,3225,HB,13,NO,172,4,176,2.24,7,0,8.9
Steve Slaton,4403,HB,11,HST,131,44,175,2.12,10,5,18.2
Jason Snelling,3860,HB,14,ATL,142,30,172,3.23,16,5,39.4
Ronnie Brown,2219,HB,9,MIA,147,14,161,3.02,18,1,35.6
Justin Forsett,4547,HB,16,SEA,114,41,155,3.19,19,9,57.7
Jamal Lewis,583,HB,9,CLV,143,8,151,2.34,5,3,12.4
Correll Buckhalter,869,HB,14,DEN,120,31,151,2.62,7,8,26.0
Marshawn Lynch,3628,HB,13,BUF,120,28,148,2.83,9,2,21.0
Justin Fargas,1410,HB,12,OAK,129,17,146,2.63,5,1,10.8
Larry Johnson,1343,HB,7,KC,132,12,144,2.23,3,2,7.7
Michael Bush,3716,HB,15,OAK,123,17,140,3.44,7,2,22.1
Darren Sproles,2347,HB,16,SD,93,45,138,2.08,5,7,18.0
Chester Taylor,1182,HB,16,MIN,93,44,137,2.18,2,3,8.0
Felix Jones,4336,HB,14,DAL,116,19,135,3.34,13,1,34.6
Derrick Ward,1949,HB,14,TB,114,20,134,2.22,1,1,3.3
