year,policy,trials,unique_rosters,forecast_ev,forecast_p10,forecast_p90,actual_points,actual_playoff_points,actual_waiver_starts,actual_cap_feasible,actual_cap_overage,forecast_salary_spend,starter_forecast_spend,bench_forecast_spend,bench_mean_price,bench_le5,bench_le10,top3_spend_share,stars_ge40,bench_actual_max4_ppg,bench_sustained_12_hits,bench_sustained_15_hits,bench_dead_below10
2022,bench0,250,250,1609.3087270507813,1444.4844077148437,1778.7044262695313,1448.915513671875,369.7717589111328,39.868,0.032,47.776,295.4026961669922,268.00250384521485,27.400191761016846,5.480038355350494,2.968,4.256,0.5928202220201493,2.34,12.603713293743134,2.052,1.444,1.588
2022,current_bench025,250,250,1608.0918325195312,1443.3135688476561,1775.8658129882813,1445.4801518554686,370.71807983398435,40.224,0.048,45.504,295.48582434082033,268.14109216308594,27.344731513977052,5.468946304321289,2.968,4.236,0.5874945262670517,2.364,12.582713294410706,2.0,1.4,1.524
2022,hurdle_plus1,250,250,1608.9688002929688,1444.06458984375,1778.337697265625,1445.9421552734375,370.24047839355467,39.344,0.028,49.968,295.2819383544922,264.61188134765627,30.67005567932129,6.13401113319397,2.624,4.036,0.5744190981388092,2.36,13.37842665309906,2.2,1.636,1.328
2022,hurdle_plus2,250,250,1599.2588452148439,1433.7064609375,1767.9601499023438,1460.171189453125,370.5855997314453,41.616,0.06,53.396,294.517650390625,265.0276781616211,29.489971214294435,5.897994261741638,2.948,4.024,0.5869877512454986,2.46,12.999186694717407,2.188,1.572,1.556
2022,hurdle_plus3,250,250,1539.9289975585937,1375.6340209960938,1709.3467041015624,1457.6380043945312,367.23240405273435,55.244,0.1,30.764,291.05733837890625,272.48198712158205,18.575351863861084,3.7150703744888305,4.168,4.636,0.7478444395065308,2.684,8.87557331199646,1.104,0.744,2.94
2022,sustained_option025,250,250,1625.1761591796876,1460.0741596679688,1795.571345703125,1487.384716796875,402.6845607910156,36.584,0.012,60.5,296.6632105712891,266.9127131958008,29.750495960235597,5.950099192142487,2.676,4.112,0.5781463627815246,2.096,16.559813451766967,2.608,2.344,0.74
2022,sustained_option050,250,249,1623.7279677734375,1459.9396611328125,1791.4896416015624,1472.2756811523439,406.47104418945315,37.4,0.016,61.28,296.39583422851564,263.37768536376956,33.01814939880371,6.603629862308503,2.428,3.876,0.5669628095626831,1.768,17.271100119400025,2.832,2.544,0.568
2023,bench0,250,250,1546.2383291015626,1403.7371235351563,1688.8354340820313,1714.9442416992188,481.8888829345703,57.992,0.172,21.756,294.990103515625,261.2630210571289,33.72708151245117,6.745416310310364,2.592,3.696,0.6172321026325226,2.296,12.854046718406677,2.196,1.756,2.284
2023,current_bench025,250,250,1546.1385185546876,1402.9484018554688,1688.9783579101563,1703.7297587890625,478.6938404541016,57.256,0.176,23.688,294.78105529785154,258.0214368286133,36.75961811447144,7.351923605918884,2.412,3.52,0.6053408169746399,2.264,12.937900040340425,2.244,1.792,2.144
2023,hurdle_plus1,250,250,1542.7616567382813,1402.5300180664062,1684.1961630859375,1698.2481630859374,479.9677629394531,57.348,0.152,22.908,294.89869372558593,254.68636547851563,40.21232707977295,8.042465429782867,2.192,3.296,0.5959582051038742,2.248,13.714613405799867,2.288,1.892,1.912
