policy,period,comparisons,roster_changed_rate,roster_jaccard,mean_forecast_ev_effect,mcse_forecast_ev_effect,mean_forecast_p10_effect,mcse_forecast_p10_effect,mean_forecast_p90_effect,mcse_forecast_p90_effect,mean_actual_points_effect,mcse_actual_points_effect,mean_actual_playoff_points_effect,mcse_actual_playoff_points_effect,mean_actual_waiver_starts_effect,mcse_actual_waiver_starts_effect,mean_actual_cap_feasible_effect,mcse_actual_cap_feasible_effect,mean_actual_cap_overage_effect,mcse_actual_cap_overage_effect,mean_forecast_salary_spend_effect,mcse_forecast_salary_spend_effect,mean_starter_forecast_spend_effect,mcse_starter_forecast_spend_effect,mean_bench_forecast_spend_effect,mcse_bench_forecast_spend_effect,mean_bench_mean_price_effect,mcse_bench_mean_price_effect,mean_bench_le5_effect,mcse_bench_le5_effect,mean_bench_le10_effect,mcse_bench_le10_effect,mean_top3_spend_share_effect,mcse_top3_spend_share_effect,mean_stars_ge40_effect,mcse_stars_ge40_effect,mean_bench_actual_max4_ppg_effect,mcse_bench_actual_max4_ppg_effect,mean_bench_sustained_12_hits_effect,mcse_bench_sustained_12_hits_effect,mean_bench_sustained_15_hits_effect,mcse_bench_sustained_15_hits_effect,mean_bench_dead_below10_effect,mcse_bench_dead_below10_effect
bench0,development_2022_2024,750,0.8626666666666667,0.618140001518949,0.40286767578125,0.6144356676478825,0.6035167643229167,0.6928813296901309,1.18668896484375,0.810879871974049,6.5851201171875,3.1421441226690408,0.90733447265625,1.4803020037016437,-0.03866666666666667,0.2663099928893267,-0.004,0.011081925769995735,0.5693333333333334,0.7351095872899627,0.13265043131510418,0.11346433182142122,1.493462890625,0.38558334201815886,-1.3608132247924805,0.37342841991012315,-0.27216264231999715,0.07468568362261525,0.07066666666666667,0.03227757523769468,0.092,0.030150254198188748,0.0055064353942871095,0.0018699581458071362,0.02,0.019999999999999997,0.025464444859822587,0.09495730517146829,0.010666666666666666,0.03406621126189988,0.048,0.03317555896297096,0.07333333333333333,0.03226963246842047
bench0,temporal_check_2025,250,0.86,0.6185163251265418,2.258701171875,1.460690964779503,0.71478125,1.3665955847289455,2.522,2.051918635333697,13.268,5.158543433375753,-1.003361328125,1.7852340636013915,-0.08,0.4828696016616032,-0.02,0.016476830513636426,2.136,1.0394265950928643,-0.1657845458984375,0.136169389168437,2.9990819091796874,0.6376432542153182,-3.164866180419922,0.6311168787713636,-0.6329732360839844,0.1262233732967901,0.14,0.04910442933096442,0.196,0.050602157199599825,0.013597346901893615,0.00225954138793424,0.096,0.035780679536761874,-0.16071334848403926,0.11195044364210023,-0.06,0.0583714734751715,0.024,0.05130521318149252,0.08,0.04749128011274268
hurdle_plus1,development_2022_2024,750,0.8,0.639252712142805,-1.39620947265625,0.5940014570568439,-0.5918284505208333,0.6524124094442485,-0.91151220703125,0.7934772966004302,-2.918236328125,2.8854657268982473,-1.3803723551432292,1.3032806601931886,-0.17866666666666667,0.23701172811530682,-0.018666666666666668,0.009597012836939159,1.7653333333333334,0.6542085162035066,-0.066047607421875,0.10672973853733175,-2.9903827311197917,0.3713329539162214,2.924333838144938,0.3661394922833387,0.5848667766253154,0.07322789832927624,-0.236,0.032110955835138184,-0.192,0.02887451173061378,-0.0098293532927831,0.0016564679431330907,-0.025333333333333333,0.018512491923483185,0.5459933517456055,0.0947401859226833,0.09466666666666666,0.03381350635012081,0.11333333333333333,0.03357809558610252,-0.152,0.03192871454723905
hurdle_plus1,temporal_check_2025,250,0.72,0.7007660032434025,-1.8601650390625,1.2838044291527784,-0.46206982421875,1.163328128256286,-2.88151806640625,1.7331726278217279,-0.0481572265625,3.8417734853454433,2.0387969970703126,1.4813440536436018,-0.508,0.4048398761253698,0.0,0.01499665290635128,1.496,0.8858956940424146,-0.0540106201171875,0.11810693247541375,-2.482123291015625,0.6252665723818874,2.4281156311035157,0.6021305310409168,0.48562314224243164,0.1204261045030724,-0.212,0.04772141378179542,-0.212,0.0456570065706895,-0.005297206282615661,0.0018625448553597824,-0.044,0.02848687431137591,0.24367332601547242,0.10054482101165632,0.156,0.05270452607009281,0.076,0.049342015951444565,-0.084,0.046953108283797784
hurdle_plus2,development_2022_2024,750,0.988,0.4017380682090926,-25.733559733072916,1.1415960979027184,-23.062629720052083,1.1351182734399725,-28.26315625,1.3951825345526319,10.12410400390625,3.9879183030564693,-2.9347188313802084,1.6316113881517347,2.998666666666667,0.34541951214575767,0.056,0.014955682938549928,-0.7613333333333333,0.9257934483322559,-1.5462963053385417,0.17988152581477077,-0.5986868286132813,0.5326381369615169,-0.9476104977925619,0.5540139837078613,-0.18952209122975666,0.11080279661360683,0.3293333333333333,0.04937805740441471,-0.06133333333333333,0.04071411212313704,0.03269099851449331,0.0030876480807261915,0.20533333333333334,0.024615554642070228,-0.07564880148569744,0.12788360203407664,-0.15066666666666667,0.04352052274178404,0.016,0.040552657422566564,0.04666666666666667,0.04471870577836101
hurdle_plus2,temporal_check_2025,250,0.924,0.5695939407341885,-2.86607958984375,1.5195188631609624,-0.7675673828125,1.4564877205975235,-5.016228515625,1.9911587063448448,-1.7699248046875,5.114152151500267,0.49711669921875,1.9344901206646954,0.332,0.4667833015462417,-0.024,0.017859784084646734,2.42,1.0959501938086589,-0.0085133056640625,0.14397162460409998,-4.01352001953125,0.7487925498316547,4.005007926940918,0.7221964017434883,0.8010016155242919,0.1444392776004308,-0.232,0.055615432257790504,-0.384,0.05212527387656422,-0.009043263792991639,0.002235442241925515,-0.088,0.03541242946540904,-0.09846663923263554,0.13543641770366216,0.084,0.06933256100898233,0.032,0.05776896235910935,0.016,0.06024528177296223
hurdle_plus3,development_2022_2024,750,1.0,0.2531056834962448,-50.848130045572915,1.051477987858455,-49.49265852864583,1.1108871428570226,-52.288791015625,1.2914678144787182,6.910295572916667,4.741305482224766,-5.364157145182292,1.7679958061242347,10.088,0.4048486550142468,0.21066666666666667,0.017836455603462496,-15.310666666666666,0.8696234673291284,-3.2914234619140625,0.21729037162695108,5.393452534993489,0.5932548281078677,-8.6848763033549,0.5906170515768947,-1.7369752537409464,0.1181234101369182,1.116,0.0489299472907754,0.36,0.04345554639725035,0.11229237933953604,0.0035621616688231495,0.364,0.027069542379039063,-2.0986999182065325,0.13134574830596532,-0.6933333333333334,0.044320848766304925,-0.412,0.04167588505057275,0.6466666666666666,0.0489019011421966
hurdle_plus3,temporal_check_2025,250,0.992,0.4635709191214104,-19.17445361328125,1.892528887709025,-15.64974365234375,1.7188032410373284,-22.184556640625,2.3291602362320045,-0.62584814453125,5.138221004077951,-2.1330418701171876,2.0670267263747775,2.904,0.6014132753031342,-0.032,0.02111129429921225,1.776,1.1843792945053593,-0.451364501953125,0.1492492529532396,-2.276275085449219,0.7537295200390789,1.8249144515991211,0.7379188546396789,0.3649829063415527,0.14758376794980496,0.144,0.06620110531842746,-0.296,0.057539370143110384,0.008066717147827149,0.0023984309788139557,0.072,0.036887759857563006,-0.9558932770729064,0.16428425286907294,-0.2,0.07455355747197384,-0.032,0.06582732675562,0.356,0.07206824075347756
sustained_option025,development_2022_2024,750,1.0,0.4103726516231159,13.5285517578125,0.6832223645543475,13.85118310546875,0.7705491198132163,13.980349283854167,0.9238786485469874,32.07189599609375,3.753468186973037,25.715575561523437,1.8282973807334668,-1.972,0.30598949634523276,-0.032,0.011101506010088623,8.072,0.8960618104435046,1.276083211263021,0.10956799146663558,0.22676806640625,0.41080521252831786,1.0493141797383627,0.40415283095564447,0.20986283016204835,0.08083056538862961,-0.30533333333333335,0.03841725493749138,-0.092,0.03591643369222199,-0.0031805663903554282,0.001898732749687023,-0.084,0.02278781207514731,2.6515800919850667,0.13225826560243514,0.368,0.044219624228267536,0.7653333333333333,0.04438570810980536,-0.24133333333333334,0.043995360573196605
sustained_option025,temporal_check_2025,250,1.0,0.40253421461504646,2.30296923828125,1.5014422315699492,0.9753349609375,1.4718873875363214,3.54012353515625,2.0550981701745656,2.79519482421875,5.217514981163546,4.195278076171875,1.9776926815394527,0.884,0.5769276889116449,-0.064,0.01651383744952205,12.44,1.1474266651107727,0.6863096923828125,0.12985441519403845,1.1027293701171874,0.697576355111292,-0.41641922760009764,0.676487755377495,-0.0832838306427002,0.1352975497952083,0.172,0.05518919631194345,-0.192,0.060358234449521916,0.008552230834960938,0.0022463363984294156,0.072,0.035557295807478975,-0.24217343492507928,0.1471543187431243,0.124,0.07271620580273273,-0.484,0.07285745559200763,0.32,0.07351201306083943
