pos,experience_cohort,outcome,events,n,rate,ci95_low,ci95_high,avg_pred_ppg,avg_raw_year_exp,projection_scope
RB,above_threshold,current_ppg_cliff_30,21,92,0.22826086956521738,0.1544207850299761,0.32388508632442525,8.804912395815402,9.195652173913043,all
RB,above_threshold,current_ppg_cliff_50,7,92,0.07608695652173914,0.03734308465448332,0.1488140746583829,8.804912395815402,9.195652173913043,all
RB,above_threshold,extended_absence_8,17,109,0.1559633027522936,0.09971462165945087,0.23563687991443671,8.607273634502674,9.311926605504587,all
RB,above_threshold,current_any_bust,38,109,0.3486238532110092,0.2657007137722144,0.4418539469202962,8.607273634502674,9.311926605504587,all
RB,above_threshold,next_no_appearance,31,101,0.3069306930693069,0.22543494459305358,0.4025753108780571,8.483209650482008,9.405940594059405,all
RB,above_threshold,next_ppg_cliff_30,17,101,0.16831683168316833,0.10782685390786728,0.2531138413886562,8.483209650482008,9.405940594059405,all
RB,above_threshold,next_no_useful,59,101,0.5841584158415841,0.4866793827602203,0.6754699930600646,8.483209650482008,9.405940594059405,all
RB,threshold_or_below,current_ppg_cliff_30,211,1039,0.2030798845043311,0.17973244260441723,0.2286149037231554,9.490834523348315,2.739172281039461,all
RB,threshold_or_below,current_ppg_cliff_50,85,1039,0.08180943214629452,0.06664407273493246,0.10005583643631656,9.490834523348315,2.739172281039461,all
RB,threshold_or_below,extended_absence_8,267,1306,0.20444104134762633,0.18344996536302197,0.22716579153460595,9.031969904508914,2.6791730474732005,all
RB,threshold_or_below,current_any_bust,478,1306,0.3660030627871363,0.3403055893252234,0.3924865284392452,9.031969904508914,2.6791730474732005,all
RB,threshold_or_below,next_no_appearance,181,1229,0.14727420667209112,0.12856079580452204,0.16818584220639513,9.075870749943164,2.698128559804719,all
RB,threshold_or_below,next_ppg_cliff_30,223,1229,0.18144833197721724,0.1609050188014207,0.20397689303542835,9.075870749943164,2.698128559804719,all
RB,threshold_or_below,next_no_useful,536,1229,0.43612693246541906,0.4086431152347751,0.46400881344770933,9.075870749943164,2.698128559804719,all
TE,above_threshold,current_ppg_cliff_30,12,63,0.19047619047619047,0.1124608184449851,0.30407020415172115,8.008407826928455,10.746031746031745,all
TE,above_threshold,current_ppg_cliff_50,1,63,0.015873015873015872,0.0028074219075510873,0.0845872544616561,8.008407826928455,10.746031746031745,all
