player,season,pos,next_pred_ppg,recorded_next_y_act,validation_rows,raw_year_exp,pred_ppg,input_current_y_act,input_next_y_act,true_current_games,true_current_ppg,true_current_points,next_season,true_next_games,true_next_ppg,true_next_points,true_no_appearance,true_no_useful,recorded_no_useful,recorded_minus_true_ppg,carried_forward_current_ppg,threshold,above_threshold,experience_cohort,exp_below,excess_exp,further_excess_exp
Adam Thielen,2017,WR,9.040453829745239,17.453333333333333,3,3.0,9.247158983300588,15.306666666666668,19.986666666666668,15.0,15.306666666666668,229.60000000000002,2018,15.0,19.986666666666668,299.8,False,False,False,-2.533333333333335,False,9.0,False,threshold_or_below,3.0,0.0,0.0
Adam Thielen,2018,WR,12.170486451996146,10.580000000000002,2,4.0,12.254594767652225,19.986666666666668,11.38,15.0,19.986666666666668,299.8,2019,10.0,11.38,113.80000000000001,False,False,False,-0.7999999999999989,False,9.0,False,threshold_or_below,4.0,0.0,0.0
Adam Thielen,2019,WR,12.717217637465952,16.021428571428572,2,5.0,13.066101395433467,11.38,17.307142857142857,10.0,11.38,113.80000000000001,2020,14.0,17.307142857142857,242.3,False,False,False,-1.2857142857142847,False,9.0,False,threshold_or_below,5.0,0.0,0.0
Adam Thielen,2020,WR,13.029670373154698,14.503846153846155,2,6.0,12.394966468882906,17.307142857142857,15.36923076923077,14.0,17.307142857142857,242.3,2021,13.0,15.36923076923077,199.8,False,False,False,-0.865384615384615,False,9.0,False,threshold_or_below,6.0,0.0,0.0
Adam Thielen,2021,WR,11.579232304797845,9.65625,2,7.0,10.95664558632799,15.36923076923077,10.5625,13.0,15.36923076923077,199.8,2022,16.0,10.5625,169.0,False,False,False,-0.90625,False,9.0,False,threshold_or_below,7.0,0.0,0.0
Adam Thielen,2022,WR,9.789259695233177,12.765625,2,8.0,9.645547562164836,10.5625,14.125,16.0,10.5625,169.0,2023,16.0,14.125,226.0,False,False,False,-1.359375,False,9.0,False,threshold_or_below,8.0,0.0,0.0
Adam Thielen,2023,WR,6.736845916915936,13.649999999999999,2,9.0,6.719999654752346,14.125,14.455555555555556,16.0,14.125,226.0,2024,9.0,14.455555555555556,130.1,False,False,False,-0.8055555555555571,False,9.0,False,threshold_or_below,9.0,0.0,0.0
Adam Thielen,2024,WR,6.069520509448225,2.023076923076923,2,10.0,6.65576240828325,14.455555555555556,2.330769230769231,9.0,14.455555555555556,130.1,2025,13.0,2.330769230769231,30.3,False,True,True,-0.30769230769230793,False,9.0,True,above_threshold,9.0,1.0,0.0
Adam Trautman,2021,TE,7.47624035571165,3.809090909090909,1,1.0,6.125491231006283,5.55,3.809090909090909,10.0,5.55,55.5,2022,11.0,3.809090909090909,41.9,False,True,True,0.0,False,8.0,False,threshold_or_below,1.0,0.0,0.0
Adam Trautman,2022,TE,6.036367872467597,3.8200000000000003,1,2.0,4.694970303841235,3.809090909090909,3.8200000000000003,11.0,3.809090909090909,41.9,2023,15.0,3.8200000000000003,57.300000000000004,False,True,True,0.0,False,8.0,False,threshold_or_below,2.0,0.0,0.0
Adam Trautman,2023,TE,5.154694053818986,3.369230769230769,1,3.0,4.117526433679655,3.8200000000000003,3.369230769230769,15.0,3.8200000000000003,57.300000000000004,2024,13.0,3.369230769230769,43.8,False,True,True,0.0,False,8.0,False,threshold_or_below,3.0,0.0,0.0
Adonai Mitchell,2024,WR,8.39161744926098,4.96,3,0.0,7.877279168144458,3.3625000000000003,5.926666666666667,16.0,3.3625000000000003,53.800000000000004,2025,15.0,5.926666666666667,88.9,False,False,True,-0.9666666666666668,False,9.0,False,threshold_or_below,0.0,0.0,0.0
Adrian Peterson,2017,RB,8.99047957738985,12.666666666666666,2,10.0,9.17170832730185,8.09,12.733333333333333,10.0,8.09,80.9,2018,15.0,12.733333333333333,191.0,False,False,False,-0.06666666666666643,False,7.0,True,above_threshold,7.0,3.0,2.0
Adrian Peterson,2018,RB,8.052323590751433,9.942857142857141,2,11.0,8.150420483366018,12.733333333333333,10.085714285714285,15.0,12.733333333333333,191.0,2019,14.0,10.085714285714285,141.2,False,False,False,-0.14285714285714413,False,7.0,True,above_threshold,7.0,4.0,3.0
Adrian Peterson,2019,RB,7.62679910413252,7.48,2,12.0,7.697145472749683,10.085714285714285,7.48,14.0,10.085714285714285,141.2,2020,15.0,7.48,112.2,False,False,False,0.0,False,7.0,True,above_threshold,7.0,5.0,4.0
Adrian Peterson,2020,RB,6.636208444361875,6.65,2,13.0,6.751231395093458,7.48,6.65,15.0,7.48,112.2,2021,4.0,6.65,26.6,False,True,False,0.0,False,7.0,True,above_threshold,7.0,6.0,5.0
Aj Brown,2019,WR,8.069483721634002,14.876923076923077,3,0.0,7.635858390203282,12.979999999999999,16.26153846153846,15.0,12.979999999999999,194.7,2020,13.0,16.26153846153846,211.4,False,False,False,-1.3846153846153832,False,9.0,False,threshold_or_below,0.0,0.0,0.0
Aj Brown,2020,WR,13.541652283132157,11.799999999999999,3,1.0,13.214950149028919,16.26153846153846,13.674999999999999,13.0,16.26153846153846,211.4,2021,12.0,13.674999999999999,164.1,False,False,False,-1.875,False,9.0,False,threshold_or_below,1.0,0.0,0.0
Aj Brown,2021,WR,14.211259218955085,16.25625,2,2.0,14.228336692013656,13.674999999999999,18.00625,12.0,13.674999999999999,164.1,2022,16.0,18.00625,288.1,False,False,False,-1.75,False,9.0,False,threshold_or_below,2.0,0.0,0.0
Aj Brown,2022,WR,12.826765285717572,15.700000000000001,2,3.0,12.821348163975975,18.00625,18.16875,16.0,18.00625,288.1,2023,16.0,18.16875,290.7,False,False,False,-2.4687499999999982,False,9.0,False,threshold_or_below,3.0,0.0,0.0
Aj Brown,2023,WR,14.901449595783113,15.857692307692307,2,4.0,14.19064050179693,18.16875,16.684615384615384,16.0,18.16875,290.7,2024,13.0,16.684615384615384,216.9,False,False,False,-0.8269230769230766,False,9.0,False,threshold_or_below,4.0,0.0,0.0
Aj Brown,2024,WR,15.60395183129447,13.686666666666667,2,5.0,14.707325156601716,16.684615384615384,14.620000000000001,13.0,16.684615384615384,216.9,2025,15.0,14.620000000000001,219.3,False,False,False,-0.9333333333333336,False,9.0,False,threshold_or_below,5.0,0.0,0.0
Aj Dillon,2020,RB,7.216941919760462,10.525,3,0.0,6.861270289105406,5.0,11.18125,8.0,5.0,40.0,2021,16.0,11.18125,178.9,False,False,False,-0.65625,False,7.0,False,threshold_or_below,0.0,0.0,0.0
Aj Dillon,2021,RB,7.776125730105761,9.83125,3,1.0,7.561178412142186,11.18125,10.26875,16.0,11.18125,178.9,2022,16.0,10.26875,164.3,False,False,False,-0.4375,False,7.0,False,threshold_or_below,1.0,0.0,0.0
Aj Dillon,2022,RB,9.967402123814045,7.24,2,2.0,10.277122014006329,10.26875,7.840000000000001,16.0,10.26875,164.3,2023,15.0,7.840000000000001,117.60000000000001,False,False,False,-0.6000000000000005,False,7.0,False,threshold_or_below,2.0,0.0,0.0
Aj Dillon,2023,RB,8.20487792587841,7.24,2,3.0,8.954641010443222,7.840000000000001,7.840000000000001,15.0,7.840000000000001,117.60000000000001,2024,0.0,0.0,0.0,True,True,False,7.24,True,7.0,False,threshold_or_below,3.0,0.0,0.0
Aj Dillon,2024,RB,5.453068501993048,1.36,2,4.0,5.4119069338013235,7.840000000000001,1.7600000000000002,,,,2025,5.0,1.7600000000000002,8.8,False,True,True,-0.40000000000000013,False,7.0,False,threshold_or_below,4.0,0.0,0.0
Aj Green,2017,WR,14.930306838183089,15.822222222222223,2,6.0,14.107151817231525,15.06,16.711111111111112,15.0,15.06,225.9,2018,9.0,16.711111111111112,150.4,False,False,False,-0.8888888888888893,False,9.0,False,threshold_or_below,6.0,0.0,0.0
Aj Green,2018,WR,13.643295051212082,15.822222222222223,2,7.0,13.161004655305932,16.711111111111112,16.711111111111112,9.0,16.711111111111112,150.4,2019,0.0,0.0,0.0,True,True,False,15.822222222222223,True,9.0,False,threshold_or_below,7.0,0.0,0.0
Aj Green,2019,WR,9.211229260332951,6.703333333333334,2,8.0,9.334677394323338,16.711111111111112,7.420000000000001,,,,2020,15.0,7.420000000000001,111.30000000000001,False,False,False,-0.7166666666666668,False,9.0,False,threshold_or_below,8.0,0.0,0.0
Aj Green,2020,WR,7.750853618425169,9.366666666666667,2,9.0,8.123933703802276,7.420000000000001,10.033333333333333,15.0,7.420000000000001,111.30000000000001,2021,15.0,10.033333333333333,150.5,False,False,False,-0.6666666666666661,False,9.0,False,threshold_or_below,9.0,0.0,0.0
Aj Green,2021,WR,6.438370004086661,3.0791666666666666,2,10.0,6.2093441491513905,10.033333333333333,3.475,15.0,10.033333333333333,150.5,2022,12.0,3.475,41.7,False,True,True,-0.3958333333333335,False,9.0,True,above_threshold,9.0,1.0,0.0
