threshold_label,projection_scope,model_spec,pos,threshold,outcome,n,events,above_threshold_n,above_threshold_events,status,excess_year_log_odds,cluster_se,odds_ratio_per_excess_year,or_ci95_low,or_ci95_high,p_value,avg_marginal_risk_pp_per_year
primary,all,ppg_plus_season,RB,7,current_ppg_cliff_30,1131,232,92,21,ok,0.04002549242150063,0.11872328950032177,1.0408373073175416,0.8247523207461075,1.3135365285471297,0.7360169359119892,0.638651987875896
primary,all,ppg_plus_season,RB,7,current_ppg_cliff_50,1131,92,92,7,ok,-0.06814654596526558,0.17165731348953345,0.9341235715057719,0.6672470709742678,1.3077417418537456,0.6913735070424485,-0.37107753354874423
primary,all,ppg_plus_season,RB,7,extended_absence_8,1415,284,109,17,ok,0.07683225151091344,0.12763758452376991,1.0798609161612378,0.8408538509821676,1.3868041359274432,0.5472032089426679,1.0741023426221146
primary,all,ppg_plus_season,RB,7,current_any_bust,1415,516,109,38,ok,0.05724173555691832,0.11308919027056608,1.058911756081751,0.8483914981568155,1.3216706079731122,0.6127411609405149,1.234757227302621
primary,all,ppg_plus_season,RB,7,next_no_appearance,1330,212,101,31,ok,0.08361071861601772,0.07766736748607019,1.0872055825267317,0.9336839123340752,1.2659701672725843,0.281693355968303,1.6190619556172938
primary,all,ppg_plus_season,RB,7,next_ppg_cliff_30,1330,240,101,17,ok,-0.07903656598346497,0.10574199535125568,0.9240061366342346,0.7510441228060056,1.1368005082682162,0.45479361955718534,-1.0535282919400026
primary,all,ppg_plus_season,RB,7,next_no_useful,1330,595,101,59,ok,0.047262207503983904,0.1037339665224283,1.0483968705693247,0.8555109665279494,1.2847713719911094,0.6486706241022943,1.1019895981344416
primary,all,ppg_plus_season,WR,9,current_ppg_cliff_30,1667,300,91,23,ok,0.2850826211335649,0.10667090147237111,1.329871899106379,1.0789708328357115,1.6391168456192133,0.007527862055639597,5.070380361108571
primary,all,ppg_plus_season,WR,9,current_ppg_cliff_50,1667,96,91,9,ok,0.4048676884909723,0.130311735007841,1.4991041382035628,1.1612031755464196,1.935331615090997,0.0018904974564144354,3.346788447443468
primary,all,ppg_plus_season,WR,9,extended_absence_8,2015,348,109,18,ok,0.020869877682785275,0.10549846700956729,1.0210891765029766,0.8303507163211736,1.2556418461235452,0.8431846298881572,0.251448846320555
primary,all,ppg_plus_season,WR,9,current_any_bust,2015,648,109,41,ok,0.19491377129107385,0.10646845072201762,1.215206196310448,0.9863299039825301,1.4971928698386727,0.06714255786540868,4.300816651290469
primary,all,ppg_plus_season,WR,9,next_no_appearance,1888,262,101,34,ok,0.2560510458027585,0.07901127919868223,1.291818668177639,1.1064856798408953,1.5081943687623773,0.0011924086652917746,5.07480861875441
primary,all,ppg_plus_season,WR,9,next_ppg_cliff_30,1888,256,101,22,ok,0.057233177802360896,0.10166599949654566,1.058902694213619,0.8675933358325676,1.292396874783338,0.5734668995099066,0.898707860263171
primary,all,ppg_plus_season,WR,9,next_no_useful,1888,685,101,63,ok,0.3190296116019761,0.12895863620878867,1.3757920637098582,1.0685159088607317,1.7714324951747025,0.013365046033741631,6.542287581776324
primary,all,ppg_plus_season,TE,8,current_ppg_cliff_30,654,138,63,12,ok,-0.0037040826796200625,0.10665298429791666,0.996302768972323,0.8083631067182028,1.2279372960151027,0.9722948553723593,-0.06085926627100092
primary,all,ppg_plus_season,TE,8,current_ppg_cliff_50,654,33,63,1,ok,-0.8640351328544941,0.5197535614946678,0.4214580074929555,0.15217073782330473,1.1672865270994879,0.09643382785568706,-0.6963280686760738
primary,all,ppg_plus_season,TE,8,extended_absence_8,776,122,73,10,ok,-0.052100929613452945,0.1131113973050461,0.9492330562824621,0.7604847133062147,1.1848277544226353,0.6450740654142508,-0.5780178585358773
primary,all,ppg_plus_season,TE,8,current_any_bust,776,260,73,22,ok,-0.02978055230150177,0.06753145479293482,0.9706585189560873,0.850320277256368,1.1080271582632883,0.6592217796720794,-0.6323558488900263
primary,all,ppg_plus_season,TE,8,next_no_appearance,727,80,67,18,ok,0.22978123083986646,0.07957581203774927,1.2583246971784292,1.0766050730600591,1.4707166844650894,0.003882224046544349,4.265770714756683
primary,all,ppg_plus_season,TE,8,next_ppg_cliff_30,727,114,67,6,ok,-0.19978606108579341,0.18777682147940683,0.8189059301842547,0.5667547371481367,1.1832400834713415,0.287349150684749,-1.822149628256408
primary,all,ppg_plus_season,TE,8,next_no_useful,727,240,67,29,ok,0.09708332466576687,0.08183834715477246,1.1019521895935789,0.9386432140113447,1.2936743269689333,0.23551111410593328,2.277314090268017
primary,all,ppg_only,RB,7,current_ppg_cliff_30,1131,232,92,21,ok,0.028264529024967545,0.12118263166871933,1.028667760913584,0.8111896305773869,1.3044512928374012,0.8155757386483907,0.4584273547596723
primary,all,ppg_only,RB,7,current_ppg_cliff_50,1131,92,92,7,ok,-0.08042799075924949,0.1644371774290866,0.9227213456550313,0.668496005002377,1.2736271800523389,0.6247632929785314,-0.43834370431568803
primary,all,ppg_only,RB,7,extended_absence_8,1415,284,109,17,ok,0.05514198486874502,0.12352421953950707,1.0566906381062693,0.8294723647744374,1.346151061904366,0.6553038117132646,0.7934437003205246
primary,all,ppg_only,RB,7,current_any_bust,1415,516,109,38,ok,0.042172736606158036,0.11071345960507112,1.0430746403634084,0.8396033977134859,1.2958555293275915,0.7032641826969557,0.9256957951054088
primary,all,ppg_only,RB,7,next_no_appearance,1330,212,101,31,ok,0.0684167911888176,0.07535760193831274,1.0708115202902806,0.923777434035972,1.2412484541614508,0.36393369129764863,1.3299758107706183
primary,all,ppg_only,RB,7,next_ppg_cliff_30,1330,240,101,17,ok,-0.08794194091325873,0.10483900553358312,0.9158140465069812,0.7457041108118153,1.1247294411001953,0.40156558112311214,-1.1787112866844291
primary,all,ppg_only,RB,7,next_no_useful,1330,595,101,59,ok,0.0262577659811889,0.0983777569959471,1.02660553835473,0.8465697880641077,1.2449285885699424,0.7895403442935637,0.6157569382164677
primary,all,ppg_only,WR,9,current_ppg_cliff_30,1667,300,91,23,ok,0.27472299285524726,0.11278149229284654,1.3161660369703803,1.0551376875740563,1.641769654590916,0.014855316407492753,4.930942696180619
primary,all,ppg_only,WR,9,current_ppg_cliff_50,1667,96,91,9,ok,0.3730314116792687,0.13425655041916854,1.4521299529567178,1.1161536937130674,1.8892392796364867,0.005461103120371366,2.9971819749226456
primary,all,ppg_only,WR,9,extended_absence_8,2015,348,109,18,ok,-0.006273334049785164,0.09862466060587308,0.9937463022271662,0.8190766016150373,1.2056646609645214,0.9492822272346311,-0.07405646852218287
primary,all,ppg_only,WR,9,current_any_bust,2015,648,109,41,ok,0.17867092928674128,0.10579932444427309,1.195627233518494,0.9717120661720159,1.4711399922845334,0.09126314513095465,3.92871311383911
primary,all,ppg_only,WR,9,next_no_appearance,1888,262,101,34,ok,0.2689185203819558,0.08225741892766648,1.3085485166693382,1.113706875856694,1.537477461616979,0.0010784014595867566,5.3437155539717
primary,all,ppg_only,WR,9,next_ppg_cliff_30,1888,256,101,22,ok,0.055530829408266376,0.1024166918054568,1.057101606387068,0.8648442150046398,1.292098376607774,0.5876773784796239,0.8885236484750998
primary,all,ppg_only,WR,9,next_no_useful,1888,685,101,63,ok,0.3274928069642755,0.13397131999373735,1.387485071032395,1.0670619384342155,1.8041265956525856,0.014505333520788198,6.725668261482588
primary,all,ppg_only,TE,8,current_ppg_cliff_30,654,138,63,12,ok,-0.04517025810850685,0.1003658969704195,0.9558347293654625,0.7851445671581749,1.1636328748576685,0.6526701771422558,-0.7425065778431518
primary,all,ppg_only,TE,8,current_ppg_cliff_50,654,33,63,1,ok,-0.9348853087247913,0.527522649902328,0.3926308942872185,0.1396201577576385,1.1041315353358925,0.07635832231862907,-0.7075292615398449
primary,all,ppg_only,TE,8,extended_absence_8,776,122,73,10,ok,-0.021213569367236708,0.11029083303471268,0.9790098557252269,0.7886886873334357,1.2152580771098587,0.847474250564463,-0.2443320844454754
primary,all,ppg_only,TE,8,current_any_bust,776,260,73,22,ok,-0.03956155685391056,0.06437381409172567,0.9612107830576787,0.8472713814888231,1.0904725329478675,0.5388454844892563,-0.8449060876769239
primary,all,ppg_only,TE,8,next_no_appearance,727,80,67,18,ok,0.24977170292658132,0.06964180701146475,1.2837323109017862,1.1199384866716584,1.4714813944387541,0.000335120939966712,4.699841025697084
primary,all,ppg_only,TE,8,next_ppg_cliff_30,727,114,67,6,ok,-0.2269801191048671,0.18793297989258664,0.7969366259461341,0.5513812641312521,1.151849050901421,0.22713512162985416,-2.0759232245801407
primary,all,ppg_only,TE,8,next_no_useful,727,240,67,29,ok,0.09658398623814575,0.07271013006490351,1.1014020798768043,0.9551108531040113,1.2701002586396593,0.18406484802438783,2.3187351106307865
primary,starter_or_elite,ppg_plus_season,RB,7,current_ppg_cliff_30,675,120,50,10,ok,0.13509573930374477,0.18771220006592054,1.1446463667517461,0.7922960370722678,1.6536941289767733,0.4717121247633487,1.8875711980725205
primary,starter_or_elite,ppg_plus_season,RB,7,current_ppg_cliff_50,675,45,50,3,ok,-0.2624374104368771,0.31851524553592836,0.7691745051582424,0.4120019108379005,1.4359870763274198,0.4099737239779637,-0.887702312337208
primary,starter_or_elite,ppg_plus_season,RB,7,extended_absence_8,778,103,58,8,ok,-0.10995422031455805,0.2213124659822441,0.8958751472402,0.5805805930446774,1.3823959826726215,0.6193103786222302,-1.0908327149540673
primary,starter_or_elite,ppg_plus_season,RB,7,current_any_bust,778,223,58,18,ok,0.03144946943044992,0.17306611443888,1.0319492292958627,0.7350916344128446,1.4486890640442818,0.8558029452014536,0.603804512371345
primary,starter_or_elite,ppg_plus_season,RB,7,next_no_appearance,735,67,53,12,ok,0.0027030957906806694,0.19696048700825652,1.0027067524481303,0.6815814912135009,1.4751293049566316,0.9890501352411444,0.039311742597362
primary,starter_or_elite,ppg_plus_season,RB,7,next_ppg_cliff_30,735,156,53,10,ok,-0.24647893403425347,0.20384394925141536,0.7815478254233098,0.5241312889738676,1.1653893142303107,0.22660329558817216,-3.4609291021167055
primary,starter_or_elite,ppg_plus_season,RB,7,next_no_useful,735,289,53,27,ok,-0.12249231222527199,0.15448991304083734,0.8847127063893253,0.6535785581220305,1.1975860638631637,0.42784642083779956,-2.913229156057311
primary,starter_or_elite,ppg_plus_season,WR,9,current_ppg_cliff_30,1005,178,63,17,ok,0.20579306582754417,0.13590990398436134,1.2284989592747584,0.9412087307501684,1.6034803371790702,0.12997831334093132,3.7176065424211333
primary,starter_or_elite,ppg_plus_season,WR,9,current_ppg_cliff_50,1005,49,63,5,ok,0.24310482988425688,0.20028812112829925,1.275202296421049,0.8611729811046644,1.888286015094894,0.2248334348328509,1.3978280182981617
primary,starter_or_elite,ppg_plus_season,WR,9,extended_absence_8,1109,104,72,9,ok,-0.060624554602046944,0.16705939488619553,0.9411765338488378,0.6783709826884264,1.3057947501781095,0.7166853990680577,-0.5895269044743757
primary,starter_or_elite,ppg_plus_season,WR,9,current_any_bust,1109,282,72,26,ok,0.13951064071941793,0.12719262746876114,1.1497110394055567,0.8960250497216705,1.475221562769482,0.2727090063151467,3.0054400639401155
primary,starter_or_elite,ppg_plus_season,WR,9,next_no_appearance,1045,87,67,17,ok,0.1593026833197319,0.12196625929587877,1.172692847530841,0.9233460602494515,1.4893749741873217,0.19151143833501505,2.797564203052789
primary,starter_or_elite,ppg_plus_season,WR,9,next_ppg_cliff_30,1045,171,67,16,ok,0.0014558532026876648,0.12671562047018486,1.001456913471431,0.7812135282049829,1.2837923478413826,0.990833196143463,0.024013337995184573
primary,starter_or_elite,ppg_plus_season,WR,9,next_no_useful,1045,308,67,37,ok,0.22914448998877518,0.14169197020334562,1.2575237254725635,0.9525889680086105,1.6600716292487039,0.10583475727720797,5.092483204891521
primary,starter_or_elite,ppg_plus_season,TE,8,current_ppg_cliff_30,375,75,42,7,ok,-0.07990014846719402,0.11565630946664969,0.9232085255708206,0.7359548442756086,1.1581063543722858,0.48966531474143216,-1.1381262212006356
primary,starter_or_elite,ppg_plus_season,TE,8,current_ppg_cliff_50,375,14,42,0,failed:LinAlgError,,,,,,,
primary,starter_or_elite,ppg_plus_season,TE,8,extended_absence_8,420,45,45,3,ok,-0.1124893019811452,0.19664513744613285,0.8936069068809188,0.6077973421717047,1.3138150640344441,0.5672934374665797,-0.7482072431543413
primary,starter_or_elite,ppg_plus_season,TE,8,current_any_bust,420,120,45,10,ok,-0.09114716385823274,0.10482288928584953,0.9128833575765142,0.743341269453302,1.1210947902207422,0.3845546103592009,-1.6151615625858866
primary,starter_or_elite,ppg_plus_season,TE,8,next_no_appearance,395,28,42,9,ok,0.3348418032860083,0.10976430535173366,1.3977192531388143,1.127162896787252,1.7332180789159382,0.0022842055362650407,4.892132976778131
primary,starter_or_elite,ppg_plus_season,TE,8,next_ppg_cliff_30,395,66,42,3,ok,-0.2990406777295057,0.27080903025281944,0.7415292450954537,0.4361250010685791,1.2607982114865481,0.26948501620742615,-1.9039998829746152
primary,starter_or_elite,ppg_plus_season,TE,8,next_no_useful,395,108,42,14,ok,0.11739886150187114,0.11837818453304419,1.1245678870847953,0.891702804988014,1.4182448744000078,0.321330635211571,2.57191602954313
primary_-1,all,ppg_plus_season,RB,6,current_ppg_cliff_30,1131,232,145,28,ok,0.01761334328321077,0.09393688608887873,1.0177693729358,0.846620316480134,1.223517173309457,0.851267145294268,0.27423962713487643
primary_-1,all,ppg_plus_season,RB,6,current_ppg_cliff_50,1131,92,145,9,ok,-0.0685143387910256,0.13567131095609428,0.9337800707302313,0.715745867800326,1.218232978658572,0.6135571443675233,-0.3819172496317729
primary_-1,all,ppg_plus_season,RB,6,extended_absence_8,1415,284,175,30,ok,0.04888562090777055,0.0978016446623319,1.0501002343592019,0.8669225799850979,1.271982674877618,0.6171845255509312,0.6720571435744012
primary_-1,all,ppg_plus_season,RB,6,current_any_bust,1415,516,175,58,ok,0.032800967475572415,0.08417502647482711,1.0333448495385062,0.8761814415684107,1.2186991499800968,0.6967763225566781,0.7003356884902623
