player,pos,template_pool_key,target_capped_year_exp,template_count,weighted_played_games,template_extended_absence_prob,raw_template_perf_cliff_prob,weighted_template_raw_exp,min_template_raw_exp,max_template_raw_exp
Justice Hill,RB,2026|beta|final_ensemble|RB|justice_hill,7.0,80,10.831783584845123,0.2574285529970911,0.24035253979507018,5.095111187763637,2.0,14.0
Marshawn Lloyd,RB,2026|beta|final_ensemble|RB|marshawn_lloyd,2.0,80,8.899680967278746,0.4653950539446669,0.037275912267005606,1.0864265674013505,0.0,4.0
Jordan James,RB,2026|beta|final_ensemble|RB|jordan_james,1.0,80,8.321407166358107,0.5665224418363608,0.024214476077084462,0.6004928102126118,0.0,4.0
Zach Charbonnet,RB,2026|beta|final_ensemble|RB|zach_charbonnet,3.0,80,10.812562412739899,0.2701708861130979,0.13303720949521852,2.5216692844254056,0.0,10.0
Brock Bowers,TE,2026|beta|final_ensemble|TE|brock_bowers,2.0,80,12.439092903680205,0.10305559859553555,0.171563566055842,2.6166760399231856,0.0,5.0
Trey Mcbride,TE,2026|beta|final_ensemble|TE|trey_mcbride,4.0,80,12.544630044527503,0.13333406781857265,0.14626958929872969,3.936356770816628,1.0,7.0
Colston Loveland,TE,2026|beta|final_ensemble|TE|colston_loveland,1.0,80,12.433625834752789,0.1349624623538869,0.1381771880206837,2.118641320045491,0.0,6.0
Tyler Warren,TE,2026|beta|final_ensemble|TE|tyler_warren,1.0,80,13.044506538171817,0.08235384028817984,0.17238368678715246,1.97293738466581,0.0,7.0
Sam Laporta,TE,2026|beta|final_ensemble|TE|sam_laporta,3.0,80,12.527929458605774,0.13455363832668138,0.18711133925349488,3.2570284898217428,1.0,8.0
Harold Fannin,TE,2026|beta|final_ensemble|TE|harold_fannin,1.0,80,12.965394696027287,0.1027131036114728,0.14638311349011687,1.9278297650520537,0.0,7.0
Kyle Pitts,TE,2026|beta|final_ensemble|TE|kyle_pitts,5.0,80,12.733054829616533,0.11430305140031165,0.19964333573128537,4.781095454654013,0.0,8.0
George Kittle,TE,2026|beta|final_ensemble|TE|george_kittle,9.0,80,13.080663598328803,0.0698795863296086,0.16204065587070984,8.747779347283885,4.0,16.0
Travis Kelce,TE,2026|beta|final_ensemble|TE|travis_kelce,10.0,80,13.108836787896621,0.0722098983151664,0.17256903987086944,9.293374563001294,4.0,16.0
Tucker Kraft,TE,2026|beta|final_ensemble|TE|tucker_kraft,3.0,80,12.831673948506987,0.1040044083127126,0.20498946603315593,3.3031176694584485,2.0,8.0
Dalton Kincaid,TE,2026|beta|final_ensemble|TE|dalton_kincaid,3.0,80,12.429616049443462,0.12257814508245642,0.2577165138772387,3.420000836289917,1.0,10.0
Mark Andrews,TE,2026|beta|final_ensemble|TE|mark_andrews,8.0,80,13.034607621116034,0.09013936500182235,0.13487880715274114,7.575149862310516,3.0,16.0
