study,league,period,positions,method,event,n,brier_delta,average_precision_delta
receiver_profiles,dk,development_2017_2022,WR/TE,production,plus5,396,0.0,0.0
receiver_profiles,dk,development_2017_2022,WR/TE,production,legacy_impact,396,0.0,0.0
receiver_profiles,dk,development_2017_2022,WR/TE,usage_air_value_disp_w100,plus5,396,-4.694654367864981e-06,-0.016632330952670082
receiver_profiles,dk,development_2017_2022,WR/TE,usage_air_value_disp_w100,legacy_impact,396,0.00033844392354620556,-0.009098988375477568
receiver_profiles,dk,development_2017_2022,WR/TE,usage_air_value_disp_w150,plus5,396,-0.00016668108259537684,-0.011141658202936722
receiver_profiles,dk,development_2017_2022,WR/TE,usage_air_value_disp_w150,legacy_impact,396,-3.503574257074371e-05,0.004169068654663932
receiver_profiles,dk,development_2017_2022,WR/TE,usage_air_value_w100,plus5,396,-3.3637118696971946e-05,-0.011902058759748924
receiver_profiles,dk,development_2017_2022,WR/TE,usage_air_value_w100,legacy_impact,396,0.0005152952596704785,-0.008268150902880633
receiver_profiles,dk,development_2017_2022,WR/TE,usage_depth_w100,plus5,396,-2.9545422483040484e-05,-0.01709260000000612
receiver_profiles,dk,development_2017_2022,WR/TE,usage_depth_w100,legacy_impact,396,-0.00047255062305179285,0.001981040680806345
receiver_profiles,dk,temporal_2023_2025,WR/TE,production,plus5,198,0.0,0.0
receiver_profiles,dk,temporal_2023_2025,WR/TE,production,legacy_impact,198,0.0,0.0
receiver_profiles,dk,temporal_2023_2025,WR/TE,usage_air_value_disp_w100,plus5,198,-0.001621555053665208,0.04572227921116259
receiver_profiles,dk,temporal_2023_2025,WR/TE,usage_air_value_disp_w100,legacy_impact,198,-0.0003829746910993248,-0.0064867549425104976
receiver_profiles,dk,temporal_2023_2025,WR/TE,usage_air_value_disp_w150,plus5,198,-0.0018324308131031919,0.058351264475329595
receiver_profiles,dk,temporal_2023_2025,WR/TE,usage_air_value_disp_w150,legacy_impact,198,-0.00036248130822891245,-0.004374123435322341
receiver_profiles,dk,temporal_2023_2025,WR/TE,usage_air_value_w100,plus5,198,-0.0017074889597832876,0.03886555176992909
receiver_profiles,dk,temporal_2023_2025,WR/TE,usage_air_value_w100,legacy_impact,198,-0.0003486927260419881,-0.01048172655539975
receiver_profiles,dk,temporal_2023_2025,WR/TE,usage_depth_w100,plus5,198,-0.001943882189346685,0.07882386662159033
receiver_profiles,dk,temporal_2023_2025,WR/TE,usage_depth_w100,legacy_impact,198,0.00017309101190243759,-0.013745927626414634
receiver_profiles,beta,development_2017_2022,WR/TE,production,plus5,396,0.0,0.0
receiver_profiles,beta,development_2017_2022,WR/TE,production,legacy_impact,396,0.0,0.0
receiver_profiles,beta,development_2017_2022,WR/TE,usage_air_value_disp_w100,plus5,396,-2.1949812982341443e-06,-0.0007749652558499964
receiver_profiles,beta,development_2017_2022,WR/TE,usage_air_value_disp_w100,legacy_impact,396,0.00039992326829541014,-0.0209022473604078
receiver_profiles,beta,development_2017_2022,WR/TE,usage_air_value_disp_w150,plus5,396,0.0001332769156309338,-0.0010868851522203293
receiver_profiles,beta,development_2017_2022,WR/TE,usage_air_value_disp_w150,legacy_impact,396,0.0002169462715186088,-0.018447363225158164
receiver_profiles,beta,development_2017_2022,WR/TE,usage_air_value_w100,plus5,396,5.426616940250317e-05,-0.0017482866440167374
receiver_profiles,beta,development_2017_2022,WR/TE,usage_air_value_w100,legacy_impact,396,0.00030156651096749365,-0.019498705839164965
receiver_profiles,beta,development_2017_2022,WR/TE,usage_depth_w100,plus5,396,2.283734854106878e-05,-0.0017495134801331913
receiver_profiles,beta,development_2017_2022,WR/TE,usage_depth_w100,legacy_impact,396,0.000198377348744172,-0.01366269065467307
receiver_profiles,beta,temporal_2023_2025,WR/TE,production,plus5,198,0.0,0.0
receiver_profiles,beta,temporal_2023_2025,WR/TE,production,legacy_impact,198,0.0,0.0
receiver_profiles,beta,temporal_2023_2025,WR/TE,usage_air_value_disp_w100,plus5,198,-0.00024852390921779877,-0.007903245315969878
receiver_profiles,beta,temporal_2023_2025,WR/TE,usage_air_value_disp_w100,legacy_impact,198,-0.0002462425007452862,-0.002720453236104481
receiver_profiles,beta,temporal_2023_2025,WR/TE,usage_air_value_disp_w150,plus5,198,8.708332238788197e-07,-0.017062884878079637
receiver_profiles,beta,temporal_2023_2025,WR/TE,usage_air_value_disp_w150,legacy_impact,198,0.00024184167017857194,-0.009007805735486152
receiver_profiles,beta,temporal_2023_2025,WR/TE,usage_air_value_w100,plus5,198,5.522869554822063e-05,-0.013282029771996023
receiver_profiles,beta,temporal_2023_2025,WR/TE,usage_air_value_w100,legacy_impact,198,0.0001865242896684216,-0.004581569823763648
receiver_profiles,beta,temporal_2023_2025,WR/TE,usage_depth_w100,plus5,198,0.00026344412623810487,-0.014676054031369401
receiver_profiles,beta,temporal_2023_2025,WR/TE,usage_depth_w100,legacy_impact,198,-0.0006635821214936721,0.01077693592533549
rb_roles,dk,development_2017_2022,RB,production,plus5,216,0.0,0.0
rb_roles,dk,development_2017_2022,RB,production,legacy_impact,216,0.0,0.0
rb_roles,dk,development_2017_2022,RB,rb_dual_role_w050,plus5,216,-0.0002776902620082178,0.0007471976726418916
rb_roles,dk,development_2017_2022,RB,rb_dual_role_w050,legacy_impact,216,-0.0001416802037684517,0.0037038145106519926
rb_roles,dk,development_2017_2022,RB,rb_dual_role_w100,plus5,216,0.0003123293416438244,-0.002198962364290735
rb_roles,dk,development_2017_2022,RB,rb_dual_role_w100,legacy_impact,216,0.0002745655691291371,0.00874424969183668
rb_roles,dk,development_2017_2022,RB,rb_passing_down_w050,plus5,216,-0.0005228821095112912,0.011719687156153069
rb_roles,dk,development_2017_2022,RB,rb_passing_down_w050,legacy_impact,216,-0.00019889030141942432,0.009784952822841808
rb_roles,dk,development_2017_2022,RB,rb_scoring_role_w050,plus5,216,0.0008994201563586324,-0.01928976689923384
rb_roles,dk,development_2017_2022,RB,rb_scoring_role_w050,legacy_impact,216,0.0003518799652521831,-0.008183573055104032
rb_roles,dk,temporal_2023_2025,RB,production,plus5,108,0.0,0.0
rb_roles,dk,temporal_2023_2025,RB,production,legacy_impact,108,0.0,0.0
rb_roles,dk,temporal_2023_2025,RB,rb_dual_role_w050,plus5,108,0.00029984238666214136,-0.004812216166875993
rb_roles,dk,temporal_2023_2025,RB,rb_dual_role_w050,legacy_impact,108,0.0006151595300295798,-0.0020779468917125343
rb_roles,dk,temporal_2023_2025,RB,rb_dual_role_w100,plus5,108,0.0005969166187212716,-0.013031208360130164
rb_roles,dk,temporal_2023_2025,RB,rb_dual_role_w100,legacy_impact,108,0.0010261505463658172,-0.016314572634454794
rb_roles,dk,temporal_2023_2025,RB,rb_passing_down_w050,plus5,108,0.0005013606727262143,-0.008881777196444118
rb_roles,dk,temporal_2023_2025,RB,rb_passing_down_w050,legacy_impact,108,-9.508007182340572e-05,-0.010258007516583068
rb_roles,dk,temporal_2023_2025,RB,rb_scoring_role_w050,plus5,108,-8.166835305137288e-05,-0.002685727768963919
rb_roles,dk,temporal_2023_2025,RB,rb_scoring_role_w050,legacy_impact,108,0.0009315253184996042,-0.006254346371259378
rb_roles,beta,development_2017_2022,RB,production,plus5,216,0.0,0.0
rb_roles,beta,development_2017_2022,RB,production,legacy_impact,216,0.0,0.0
rb_roles,beta,development_2017_2022,RB,rb_dual_role_w050,plus5,216,-0.0004182667982474131,0.011628663269113465
rb_roles,beta,development_2017_2022,RB,rb_dual_role_w050,legacy_impact,216,-0.0004492169802357282,0.005646763362845836
rb_roles,beta,development_2017_2022,RB,rb_dual_role_w100,plus5,216,7.14278248652861e-05,0.004117775539901919
rb_roles,beta,development_2017_2022,RB,rb_dual_role_w100,legacy_impact,216,-7.700987471742637e-06,0.009338673097721628
rb_roles,beta,development_2017_2022,RB,rb_passing_down_w050,plus5,216,-0.00013024385546778205,0.0030579393078165595
rb_roles,beta,development_2017_2022,RB,rb_passing_down_w050,legacy_impact,216,-0.00048019608420268867,0.009974694735915335
rb_roles,beta,development_2017_2022,RB,rb_scoring_role_w050,plus5,216,0.0002344808992380265,-0.004746650617527437
rb_roles,beta,development_2017_2022,RB,rb_scoring_role_w050,legacy_impact,216,-0.0001500381146259666,0.0047198714103074135
rb_roles,beta,temporal_2023_2025,RB,production,plus5,108,0.0,0.0
rb_roles,beta,temporal_2023_2025,RB,production,legacy_impact,108,0.0,0.0
rb_roles,beta,temporal_2023_2025,RB,rb_dual_role_w050,plus5,108,-0.00012332084448030134,-0.003715530489369734
rb_roles,beta,temporal_2023_2025,RB,rb_dual_role_w050,legacy_impact,108,-0.00016352322703902522,-0.0016933574588160194
rb_roles,beta,temporal_2023_2025,RB,rb_dual_role_w100,plus5,108,-8.76069834236104e-05,-0.006519887725892237
rb_roles,beta,temporal_2023_2025,RB,rb_dual_role_w100,legacy_impact,108,0.0013723788850298624,-0.011720047397132283
rb_roles,beta,temporal_2023_2025,RB,rb_passing_down_w050,plus5,108,0.0004668788831242443,-0.008714245804291865
rb_roles,beta,temporal_2023_2025,RB,rb_passing_down_w050,legacy_impact,108,-0.0011315233353156873,0.007691941902448762
rb_roles,beta,temporal_2023_2025,RB,rb_scoring_role_w050,plus5,108,0.00012070264602925818,-0.0027295465605473856
rb_roles,beta,temporal_2023_2025,RB,rb_scoring_role_w050,legacy_impact,108,0.0006839922967291912,-0.0036701263238378967
