league,period,scope,severity,method,metric,delta,season_bootstrap_low,season_bootstrap_high,seasons
dk,development_2017_2022,core,q90,flatter_w025_all,league_winner_brier,-0.00030267703882755673,-0.0007136909921806147,0.00010833691452550116,6
dk,development_2017_2022,core,q90,flatter_w025_all,average_precision,0.0007601374667926819,-0.011761790659191806,0.013567305774026095,6
dk,development_2017_2022,core,q90,flatter_w025_all,tail_utility_crps,-0.007699402588149834,-0.05483644206888057,0.042758004108328175,6
dk,development_2017_2022,core,q90,flatter_w025_all,ppg_crps,-0.007900545806665398,-0.0122141281312369,-0.0044175849727395656,6
dk,development_2017_2022,core,q90,flatter_w025_all,contribution_crps,-0.09433339947674615,-0.13626517569626953,-0.05438433115281453,6
dk,development_2017_2022,core,q90,wr_ppg225_both025,league_winner_brier,-0.00011593886948307115,-0.000573416198600533,0.0002923828078402131,6
dk,development_2017_2022,core,q90,wr_ppg225_both025,average_precision,0.0008865175580760609,-0.004227422998746566,0.0054144926283517525,6
dk,development_2017_2022,core,q90,wr_ppg225_both025,tail_utility_crps,-0.007422082243484861,-0.02304511729956899,0.007886291104197292,6
dk,development_2017_2022,core,q90,wr_ppg225_both025,ppg_crps,-0.0006237692014444758,-0.0025126912684944346,0.0012408107540919423,6
dk,development_2017_2022,core,q90,wr_ppg225_both025,contribution_crps,-0.022686879468588,-0.054791998610226,0.00018003203633817233,6
dk,development_2017_2022,core,q95,flatter_w025_all,league_winner_brier,7.182311759969427e-05,-0.00026504242944755575,0.00039971581157995003,6
dk,development_2017_2022,core,q95,flatter_w025_all,average_precision,0.004988092688627738,-0.01615558430687855,0.029109605602415718,6
dk,development_2017_2022,core,q95,flatter_w025_all,tail_utility_crps,-0.003777705248379817,-0.027632400167487307,0.02353157584769901,6
dk,development_2017_2022,core,q95,flatter_w025_all,ppg_crps,-0.007900545806665398,-0.011969805132798083,-0.0044048499076805876,6
dk,development_2017_2022,core,q95,flatter_w025_all,contribution_crps,-0.09433339947674615,-0.13626517569626953,-0.05436934538642508,6
dk,development_2017_2022,core,q95,wr_ppg225_both025,league_winner_brier,3.8410310037687e-05,-0.00014836911610535572,0.00023364859052601593,6
dk,development_2017_2022,core,q95,wr_ppg225_both025,average_precision,-0.0008548296578001768,-0.005736109440756865,0.00310838024637175,6
dk,development_2017_2022,core,q95,wr_ppg225_both025,tail_utility_crps,-0.0007360418292333495,-0.007183101490509351,0.005758562512792136,6
dk,development_2017_2022,core,q95,wr_ppg225_both025,ppg_crps,-0.0006237692014444758,-0.0025640859591008493,0.0011256221343279847,6
dk,development_2017_2022,core,q95,wr_ppg225_both025,contribution_crps,-0.022686879468588,-0.05343526464249081,-5.945007321691441e-05,6
dk,temporal_2023_2025,core,q90,flatter_w025_all,league_winner_brier,-0.00021623539127700706,-0.0005586285319104083,0.00019573302305761906,3
dk,temporal_2023_2025,core,q90,flatter_w025_all,average_precision,0.005774477988444354,-0.0007588627807335602,0.0072322829156994395,3
dk,temporal_2023_2025,core,q90,flatter_w025_all,tail_utility_crps,-0.01495855352791921,-0.047809624004119894,0.036894528441577375,3
dk,temporal_2023_2025,core,q90,flatter_w025_all,ppg_crps,-0.0011523113798748335,-0.0038032547733828858,0.00025652800732868704,3
dk,temporal_2023_2025,core,q90,flatter_w025_all,contribution_crps,-0.013078481632466358,-0.04409956363833218,0.025127697901802373,3
dk,temporal_2023_2025,core,q90,wr_ppg225_both025,league_winner_brier,-0.0002821540413164752,-0.0003703297649978394,-0.0001970366893509122,3
