league,model_family,candidate_id,candidate_source,origin,rows,rmse,parameters_json
dk,conditional_ppg_lightgbm_expanded,0,original,2013,299,3.908074331779715,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
dk,conditional_ppg_lightgbm_expanded,1,original,2013,299,3.907014896053387,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
dk,conditional_ppg_lightgbm_expanded,2,original,2013,299,3.9460091625058524,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 5.0}"
dk,conditional_ppg_lightgbm_expanded,3,original,2013,299,3.915721539212873,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
dk,conditional_ppg_lightgbm_expanded,4,original,2013,299,3.911522991690938,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
dk,conditional_ppg_lightgbm_expanded,5,original,2013,299,3.9530718536413976,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
dk,conditional_ppg_lightgbm_expanded,6,original,2013,299,3.9014812442697617,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 1.0}"
dk,conditional_ppg_lightgbm_expanded,7,original,2013,299,3.879302405475316,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
dk,conditional_ppg_lightgbm_expanded,8,expanded,2013,299,3.8912051814192625,"{""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
dk,conditional_ppg_lightgbm_expanded,9,expanded,2013,299,3.8932125894811063,"{""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 250, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
dk,conditional_ppg_lightgbm_expanded,10,expanded,2013,299,3.8822327907970484,"{""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 125, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
dk,conditional_ppg_lightgbm_expanded,11,expanded,2013,299,3.896576774855253,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_lambda"": 1.0}"
dk,conditional_ppg_lightgbm_expanded,12,expanded,2013,299,3.90981533449249,"{""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
dk,conditional_ppg_lightgbm_expanded,13,expanded,2013,299,3.9111249690813072,"{""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_lambda"": 5.0}"
