league,method,model_family,slice_type,slice_value,rows,rmse,mae,bias,spearman
dk,challenger_standalone,conditional_ppg_catboost_expanded,all,all_2023_2025,1237.0,3.102152542275655,2.4621337927065596,0.48555385713408755,0.8098891172620476
dk,challenger_standalone,conditional_ppg_extra_trees,all,all_2023_2025,1237.0,3.0997076813258357,2.4545370415129377,0.4592609514961808,0.8096947289583849
dk,challenger_standalone,conditional_ppg_lightgbm_expanded,all,all_2023_2025,1237.0,3.124993164313651,2.470145852592479,0.44863036900148767,0.8085271678630445
dk,current_component,conditional_ppg_lasso,all,all_2023_2025,1237.0,3.1214703621215842,2.417786341630628,0.23253709399220127,0.8086679915720589
dk,current_component,conditional_ppg_lightgbm,all,all_2023_2025,1237.0,3.1249931643136515,2.4701458525924784,0.4486303690014878,0.8085271678630445
dk,current_component,conditional_ppg_random_forest,all,all_2023_2025,1237.0,3.116326253903394,2.4881737541111892,0.48951708720696196,0.8108247891152567
dk,current_plus_extra_trees_equal4,primary_blend,all,all_2023_2025,1237.0,3.0875341733402983,2.4287332820555125,0.40748637542420796,0.81210726462043
dk,current_single,primary_blend,all,all_2023_2025,1237.0,3.0909947236009616,2.4273535888154667,0.39022818340021703,0.8119612156700928
dk,expanded_catboost_equal4,primary_blend,all,all_2023_2025,1237.0,3.0903085807368025,2.434012977232892,0.4140596018336847,0.8118472585627303
dk,expanded_lgbm_plus_catboost_equal4,primary_blend,all,all_2023_2025,1237.0,3.0903085807368025,2.434012977232892,0.41405960183368457,0.8118472585627303
dk,expanded_lgbm_plus_extra_trees_equal4,primary_blend,all,all_2023_2025,1237.0,3.0875341733402983,2.4287332820555125,0.40748637542420796,0.81210726462043
dk,expanded_lgbm_replacement_equal3,primary_blend,all,all_2023_2025,1237.0,3.0909947236009616,2.4273535888154667,0.39022818340021703,0.8119612156700928
dk,challenger_standalone,conditional_ppg_catboost_expanded,season,2023,413.0,3.1837924270422766,2.4739696694112983,0.5169504899692379,0.8106400612328956
dk,challenger_standalone,conditional_ppg_catboost_expanded,season,2024,407.0,3.157571081368494,2.5659513536536416,0.36689173483468324,0.8065344510656478
dk,challenger_standalone,conditional_ppg_catboost_expanded,season,2025,417.0,2.962516416718752,2.3490835184031567,0.5702748988965346,0.814869246196574
dk,challenger_standalone,conditional_ppg_extra_trees,season,2023,413.0,3.1803312726143593,2.462846276097024,0.5298403164611177,0.8091149469504676
dk,challenger_standalone,conditional_ppg_extra_trees,season,2024,407.0,3.140289524428268,2.574618281262222,0.32081030145460904,0.8087145890007342
dk,challenger_standalone,conditional_ppg_extra_trees,season,2025,417.0,2.9765025254426924,2.3291059181048164,0.5244890973868299,0.8123766131543332
dk,challenger_standalone,conditional_ppg_lightgbm_expanded,season,2023,413.0,3.236711728046867,2.51683020638996,0.47391226641700196,0.8040748139153324
dk,challenger_standalone,conditional_ppg_lightgbm_expanded,season,2024,407.0,3.1520379280150546,2.5441102973520535,0.35275465845678283,0.8086202209677986
dk,challenger_standalone,conditional_ppg_lightgbm_expanded,season,2025,417.0,2.9826145220244804,2.351718593274718,0.5171675166251988,0.8146767979475191
dk,current_component,conditional_ppg_lasso,season,2023,413.0,3.1734002731010844,2.406015118552932,0.34480397894455145,0.8078129868856182
dk,current_component,conditional_ppg_lasso,season,2024,407.0,3.1658262470182135,2.5244427543785153,0.1637065599627334,0.8072360074742809
dk,current_component,conditional_ppg_lasso,season,2025,417.0,3.024504907728032,2.325345946289379,0.18852703131755574,0.8146431848012944
dk,current_component,conditional_ppg_lightgbm,season,2023,413.0,3.2367117280468674,2.51683020638996,0.47391226641700207,0.8040748139153324
dk,current_component,conditional_ppg_lightgbm,season,2024,407.0,3.1520379280150546,2.5441102973520526,0.3527546584567829,0.8086202209677986
dk,current_component,conditional_ppg_lightgbm,season,2025,417.0,2.9826145220244804,2.351718593274718,0.5171675166251988,0.8146767979475191
dk,current_component,conditional_ppg_random_forest,season,2023,413.0,3.2052330289843223,2.510245569801864,0.5391999858951916,0.8095799083526666
dk,current_component,conditional_ppg_random_forest,season,2024,407.0,3.1633841430520855,2.5915747511320197,0.36590336810466134,0.8095209828379314
dk,current_component,conditional_ppg_random_forest,season,2025,417.0,2.97765473052164,2.365392301670597,0.5609601244165483,0.814545213830573
dk,current_plus_extra_trees_equal4,primary_blend,season,2023,413.0,3.1758037386371556,2.444978369672401,0.4719391369294657,0.8099647216179413
dk,current_plus_extra_trees_equal4,primary_blend,season,2024,407.0,3.13394933226003,2.5389282446970385,0.3007937219946967,0.8105690901352132
dk,current_plus_extra_trees_equal4,primary_blend,season,2025,417.0,2.95016308233186,2.3050916250270315,0.4477859424365332,0.8162256145682515
dk,current_single,primary_blend,season,2023,413.0,3.181430382970997,2.448043335337473,0.45263874375224844,0.809785942723782
dk,current_single,primary_blend,season,2024,407.0,3.1381106150498836,2.5306793364902402,0.2941215288413926,0.8107053431938986
dk,current_single,primary_blend,season,2025,417.0,2.950590959717811,2.3060143930907144,0.4222182241197676,0.8178720068017351
dk,expanded_catboost_equal4,primary_blend,season,2023,413.0,3.178437555678714,2.4523541413193857,0.4687166803064957,0.810657095905993
dk,expanded_catboost_equal4,primary_blend,season,2024,407.0,3.1404298235515595,2.5384795843184578,0.3123140803397152,0.8096217264450064
dk,expanded_catboost_equal4,primary_blend,season,2025,417.0,2.9492448160030595,2.313886334903042,0.45923239281395933,0.8171215028283876
dk,expanded_lgbm_plus_catboost_equal4,primary_blend,season,2023,413.0,3.178437555678714,2.4523541413193857,0.4687166803064957,0.810657095905993
dk,expanded_lgbm_plus_catboost_equal4,primary_blend,season,2024,407.0,3.1404298235515595,2.5384795843184578,0.3123140803397152,0.8096217264450064
dk,expanded_lgbm_plus_catboost_equal4,primary_blend,season,2025,417.0,2.9492448160030595,2.313886334903042,0.45923239281395933,0.8171215028283876
dk,expanded_lgbm_plus_extra_trees_equal4,primary_blend,season,2023,413.0,3.1758037386371556,2.444978369672401,0.4719391369294657,0.8099647216179413
dk,expanded_lgbm_plus_extra_trees_equal4,primary_blend,season,2024,407.0,3.13394933226003,2.5389282446970385,0.3007937219946967,0.8105690901352132
dk,expanded_lgbm_plus_extra_trees_equal4,primary_blend,season,2025,417.0,2.95016308233186,2.305091625027032,0.4477859424365332,0.8162256145682515
dk,expanded_lgbm_replacement_equal3,primary_blend,season,2023,413.0,3.181430382970997,2.4480433353374735,0.45263874375224844,0.809785942723782
dk,expanded_lgbm_replacement_equal3,primary_blend,season,2024,407.0,3.1381106150498836,2.5306793364902402,0.29412152884139253,0.8107053431938986
