Full Name,Position,20-Yard Shuttle,Athleticism Score,SPARQ-x,3-Cone Drill,Bench Press,Speed Score,40-Yard Dash,Broad Jump,Vertical Jump,Burst Score,Agility Score,Hand Size,Age,Arm Length,Height (Inches),Weight,Draft Pick,BMI,Breakout Age,College YPC,Breakout Year,College Dominator Rating,College Target Share
Aaron Green,RB,4.04,96.8,112,6.81,18,89.9,4.61,120,32.5,115.3,10.85,8.63,24.8,30,71,203 lbs,Undrafted,28.3,20.9,5.2,2014,0.19,0.05
Aaron Jones,RB,4.2,102.9,112,6.82,16,96.2,4.56,127,37.5,127.3,11.02,9.5,23.7,32.5,69,208 lbs,5.39,30.7,18.8,7.7,2013,0.47,0.14
Aaron Ripkowski,RB,4.33,-,-,7.59,-,96.6,4.75,113,33,112.6,11.92,10.38,25.6,31.75,73,246 lbs,6.3,32.5,-,2.2,-,0.04,0.02
Adrian Peterson,RB,4.4,101.2,123.5,7.09,-,115.8,4.4,127,38.5,129,11.49,9.5,33.4,32.25,73,217 lbs,1.07,28.6,20.5,5.6,2005,0.33,0.07
Ahmad Bradshaw,RB,4.09,102.4,121.3,6.7,-,99.9,4.55,112,34,113.8,10.79,-,32.4,-,69,214 lbs,7.4,31.6,19.5,6.1,2005,0.46,0.19
Akeem Hunt,RB,4.07,97.4,115.8,6.71,14,97.3,4.44,122,37.5,124.8,10.78,9.63,25.5,31.13,70,189 lbs,Undrafted,27.1,21.5,5.5,2014,0.27,0.15
Akeem Judd,RB,4.35,101.4,110.8,7.47,21,101.4,4.59,114,32.5,112.3,11.82,9.63,25.7,31.5,70,225 lbs,Undrafted,32.3,23.7,5,2016,0.16,0.04
Akrum Wadley,RB,4.39,-,92.1,-,12,91.3,4.54,-,32,-,-,8.25,23.4,29.5,70,194 lbs,Undrafted,27.8,20.5,5.4,2015,0.32,0.15
Alex Armah,RB,4.29,104.6,123.3,7,26,100.2,4.75,122,34.5,119.7,11.29,9.75,24.2,32.25,74,255 lbs,6.08,32.7,-,-,-,0.03,-
Alex Collins,RB,-,-,-,-,18,97.8,4.59,113,28.5,105,-,9.25,24,30.25,70,217 lbs,5.34,31.1,19,5.8,2013,0.3,0.05
Alfonso Smith,RB,4.31,96.9,116.9,7.12,19,108,4.43,117,36,119.7,11.43,-,31.5,-,73,208 lbs,Undrafted,27.4,-,5.7,-,0.09,0.06
Alfred Blue,RB,4.5,94.1,91.2,7.15,13,97.1,4.63,121,32,114.9,11.65,9.88,27.3,32.38,74,223 lbs,6.05,28.6,-,5.9,-,0.08,0.03
Alfred Morris,RB,4.19,100.8,107.4,7.01,16,92.1,4.67,117,35.5,118.9,11.2,10.25,29.7,31.38,70,219 lbs,6.03,31.4,20.7,5.2,2009,0.5,0.06
Alonzo Harris,RB,4.51,96.4,95.4,7.18,15,89.4,4.71,127,36,124.7,11.69,10.13,25.7,33.5,73,220 lbs,Undrafted,29,18.8,4.7,2011,0.23,-
Alvester Alexander,RB,4.21,102.1,117.7,6.89,18,106,4.44,128,36,125.2,11.1,-,27.8,-,70,206 lbs,Undrafted,29.6,18.9,4.4,2009,0.27,0.09
Alvin Kamara,RB,4.42,102.5,106.8,7.17,15,99,4.56,131,39.5,132.7,11.59,9.25,23,32.75,70,214 lbs,3.03,30.7,20.1,6,2015,0.23,0.14
Ameer Abdullah,RB,3.95,106.6,138.7,6.79,24,91.6,4.6,130,42.5,137.3,10.74,8.63,25.2,30,69,205 lbs,2.22,30.3,19.2,6.1,2012,0.37,0.09
Andre Brown,RB,4.28,103.6,128.2,7.08,24,111.7,4.49,115,37,120.4,11.36,9.5,31.7,32,72,227 lbs,4.29,30.8,18.7,4.4,2005,0.26,0.1
Andre Ellington,RB,-,99.3,-,-,-,92,4.56,122,34,118.8,-,9.38,29.5,31,69,199 lbs,6.19,29.4,21.6,5.2,2010,0.21,0.07
Andre Williams,RB,4.06,106.5,131.3,7.27,-,106.4,4.56,129,38,129.1,11.33,9,25.9,33.5,71,230 lbs,4.13,32.1,19,6.1,2011,0.45,0.02
Andy Janovich,RB,4.32,101.7,125.6,7.28,30,88.9,4.81,119,34,117.3,11.6,9.75,25.2,31.63,73,238 lbs,6.01,31.4,-,6.3,-,0.06,0.01
Anthony Dixon,RB,4.45,98.2,96.9,7.09,15,98,4.67,121,33,116.6,11.54,9.75,30.9,32.5,73,233 lbs,6.04,30.7,19,5.4,2006,0.4,0.08
Anthony Sherman,RB,4.41,106.5,128.3,7.23,32,95.1,4.75,111,32.5,110.8,11.64,9.38,29.7,30,70,242 lbs,5.05,34.7,-,0.3,-,0.03,0.11
Anthony Wales,RB,4.23,97.8,104.7,6.83,13,91.1,4.56,112,37.5,119.8,11.06,8.25,-,30.13,69,197 lbs,Undrafted,29.1,-,6.8,2015,0.35,0.08
Antone Smith,RB,4.32,100.9,135.1,6.9,31,103.2,4.38,122,32,115.4,11.22,-,32.9,-,69,190 lbs,Undrafted,28.1,22,4.5,2007,0.27,0.07
Antonio Andrews,RB,4.49,97,93.6,7.24,20,83.4,4.82,106,29.5,103.2,11.73,9.5,26.8,31.25,70,225 lbs,Undrafted,32.3,20.9,6.5,2012,0.38,0.16
Arian Foster,RB,4.53,96.4,103,7.09,23,88.7,4.74,115,32,111.9,11.62,-,32,-,73,224 lbs,Undrafted,29.6,19,4.7,2005,0.2,0.12
Austin Ekeler,RB,4.21,-,-,6.85,-,98.8,4.48,128,40.5,132.9,11.06,-,23.2,-,69,199 lbs,Undrafted,29.4,18.3,6,2013,0.46,-
Austin Johnson,RB,4.37,98.6,111.6,7.32,25,93.9,4.76,106,30.5,104.9,11.69,-,29.1,-,73,241 lbs,Undrafted,31.8,-,2,-,0.02,0.02
B.J. Catalon,RB,4.15,99.2,112.9,6.9,-,85.3,4.57,114,36,118.2,11.05,9,-,30,67,186 lbs,Undrafted,29.1,-,5,2013,0.15,0.09
Ben Malena,RB,4.27,97.4,109.4,7.19,22,83,4.65,111,33.5,112.5,11.46,9,26.2,28.75,68,194 lbs,Undrafted,29.5,-,5.9,-,0.13,0.06
Ben Tate,RB,4.12,107.5,143.5,6.91,26,114.2,4.43,124,40.5,130.9,11.03,9,30,31.25,71,220 lbs,2.26,30.7,19,5.2,2007,0.23,0.08
BenJarvis Green-Ellis,RB,4.5,100.6,113.1,7.56,24,100.1,4.6,116,34,115.8,12.06,-,33.1,-,71,224 lbs,Undrafted,31.2,21.2,4.9,2006,0.3,0.05
Benny Cunningham,RB,-,-,-,-,26,87.6,4.69,-,-,-,-,-,28.1,-,70,212 lbs,Undrafted,30.4,21.2,6.2,2011,0.41,0.05
Bernard Pierce,RB,4.28,100.4,113.9,7.07,17,107.3,4.49,123,36.5,123.6,11.35,9.25,28.3,31.5,72,218 lbs,3.21,29.6,19.3,5.4,2009,0.43,0.05
Bilal Powell,RB,-,-,-,-,18,94.4,4.56,-,-,-,-,8.63,29.8,30.75,70,204 lbs,4.29,29.3,21.9,6.1,2010,0.34,0.06
Bishop Sankey,RB,4,104.7,137.6,6.75,26,102.8,4.49,126,35.5,123.4,10.75,10,25.9,31,70,209 lbs,2.22,30,20,5.7,2012,0.37,0.1
Blake Sims,RB,4.25,-,111.3,7.15,-,100,4.57,115,30.5,109.4,11.4,9,26.6,31.5,71,218 lbs,Undrafted,30.4,-,4.2,-,0.08,0.01
Bo Scarbrough,RB,4.34,-,112,-,14,109.2,4.52,129,40,132.5,-,10,21.9,33.5,73,228 lbs,7.18,30.1,19.9,5.7,2016,0.15,0.07
Bobby Rainey,RB,4.13,106.7,126.3,6.61,24,98.1,4.56,120,35.5,120.4,10.74,8.63,30.8,30.13,68,212 lbs,Undrafted,32.2,21.9,4.8,2009,0.48,0.16
Boom Williams,RB,4.18,101.1,113.2,6.86,18,91.8,4.51,121,36,121.7,11.04,8.63,22.9,30,67,190 lbs,Undrafted,29.8,18.9,7,2014,0.22,0.06
Boston Scott,RB,4.15,105.2,125.9,6.67,21,99.5,4.45,121,38.5,126,10.82,9.38,23.3,29.88,67,195 lbs,6.27,30.5,22.4,5.7,2017,0.23,0.06
Bralon Addison,RB,4.14,96.1,100.4,6.95,13,83.6,4.66,116,34.5,116.7,11.09,9.13,24.8,29.5,69,197 lbs,Undrafted,29.1,21.9,4.9,2015,0.15,0.26
Branden Oliver,RB,4.22,103,120.8,7.04,26,89,4.65,117,33.5,115.5,11.26,8.88,27.3,29.25,68,208 lbs,Undrafted,31.6,20.3,5,2011,0.37,0.13
