period,candidate,baseline,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
development_2017_2022,beta_context_only,production_hybrid,score_crps,720,5,-0.45898099524992303,-1.8131582693886714,0.8013801184609355,0.765
development_2017_2022,beta_context_only,production_hybrid,zero_player_weeks_crps,720,5,-0.11100153981903453,-0.2496372458375531,0.005885729377652455,0.965
development_2017_2022,beta_context_only,production_hybrid,zero_active_players_crps,720,5,0.002597036479431906,-0.0018779801733699835,0.00682243064597801,0.1204
development_2017_2022,beta_scored_full,production_hybrid,score_crps,720,5,0.8456019923677319,-0.16431043029843387,1.9014692609704298,0.0404
development_2017_2022,beta_scored_full,production_hybrid,zero_player_weeks_crps,720,5,0.06181335449218743,-0.06516388316213369,0.1619739202805507,0.1518
development_2017_2022,beta_scored_full,production_hybrid,zero_active_players_crps,720,5,0.0009010785891685951,-0.004966585135754244,0.005676099989149304,0.3698
development_2017_2022,beta_scored_rank_only,production_hybrid,score_crps,720,5,0.5896373424908988,-1.4284272588157099,2.6077019437975073,0.3034
development_2017_2022,beta_scored_rank_only,production_hybrid,zero_player_weeks_crps,720,5,-0.21977819748866714,-0.4627612078631366,-0.08211090653030957,1.0
development_2017_2022,beta_scored_rank_only,production_hybrid,zero_active_players_crps,720,5,0.0007310655381944449,-0.005923320628978588,0.0062017746913580266,0.3836
development_2017_2022,beta_scored_ppg_only,production_hybrid,score_crps,720,5,0.3460404219174821,-1.0632649255732527,1.7553457694082166,0.3204
development_2017_2022,beta_scored_ppg_only,production_hybrid,zero_player_weeks_crps,720,5,0.13913075011453513,0.03126317718882614,0.2316168231728637,0.0062
development_2017_2022,beta_scored_ppg_only,production_hybrid,zero_active_players_crps,720,5,0.003936795835141783,-0.0022731545530719527,0.010626569206331985,0.1052
temporal_2023_2025,beta_context_only,production_hybrid,score_crps,432,3,0.23777515051786843,-0.04749123260585719,0.6325705203883063,0.0324
temporal_2023_2025,beta_context_only,production_hybrid,zero_player_weeks_crps,432,3,0.011665579713421054,-0.13434657344111697,0.17498068161952637,0.4124
temporal_2023_2025,beta_context_only,production_hybrid,zero_active_players_crps,432,3,0.0041638441046569575,-0.001792154194396215,0.009707132975260414,0.0358
temporal_2023_2025,beta_scored_full,production_hybrid,score_crps,432,3,0.34043569726785067,0.052683772559469856,0.5050909020880502,0.0
temporal_2023_2025,beta_scored_full,production_hybrid,zero_player_weeks_crps,432,3,-0.06480585106115781,-0.10394569679542826,-0.013296951482325563,1.0
temporal_2023_2025,beta_scored_full,production_hybrid,zero_active_players_crps,432,3,0.003325065958156507,9.27772051022792e-06,0.0054397583007812465,0.0
temporal_2023_2025,beta_scored_rank_only,production_hybrid,score_crps,432,3,0.26091858016043296,-0.3066764935954606,0.5772881117810338,0.2568
temporal_2023_2025,beta_scored_rank_only,production_hybrid,zero_player_weeks_crps,432,3,-0.009035981731650329,-0.0541753415708189,0.060750843566140994,0.7376
temporal_2023_2025,beta_scored_rank_only,production_hybrid,zero_active_players_crps,432,3,-0.0008387781465004482,-0.00535315054434317,0.00402676617657697,0.6324
temporal_2023_2025,beta_scored_ppg_only,production_hybrid,score_crps,432,3,-0.23101272315952034,-0.5757557038781169,0.16283519241245742,0.8552
temporal_2023_2025,beta_scored_ppg_only,production_hybrid,zero_player_weeks_crps,432,3,-0.048774138399602984,-0.154337329629027,0.06772326245720012,0.8454
temporal_2023_2025,beta_scored_ppg_only,production_hybrid,zero_active_players_crps,432,3,0.0028468944408275494,-0.007634998839578512,0.009710288342134455,0.2594
