,player,pos,team,year,age,avg_pick,new_team,tgt,receptions,yds,td,catch_pct,games,games_started,long,rec_per_game,yd_per_game,yd_per_rec,fmb,adjust_line_yds,rb_yds,power_success_pct,stuffed_pct,second_level_yds,open_field_yds,pass_block_rank,sacks_allowed,adjusted_sack_rate,qb_age,qb_games_started,qb_att,qb_rating,qb_complete,qb_complete_pct,qb_yds,qb_yd_per_game,qb_tds,qb_td_pct,int,int_pct,qb_long,yd_per_att,yd_per_comp,net_yd_per_att,adj_net_yd_per_att,adj_yd_per_att,qb_sacks,sack_pct,qb_avg_pick,overall_dvoa,last_year,pass_off,rush_off,variance,schedule_diff,tm_pass_att,tm_pass_complete,tm_pass_complete_pct,tm_pass_yds,tm_pass_td,tm_pass_int,tm_sack,tm_loss_sack_yds,tm_qb_rate,tm_net_pass_yds,tm_pass_yperg,tm_rush_att,tm_rush_yds,team_rush_avg_att,tm_rush_td,tm_rush_first_downs,tm_rush_yperg,tm_rush_fd,tm_pass_fd,tm_pen_fd,tm_tot_fd,tm_third_down_att,tm_third_down_made,tm_third_down_pct,total_tm_td,total_tm_yds,tgt_on_team,available_tgt,available_tgt_2,yds_on_team,available_yds,available_yds_2,ms_rec_yd,ms_tgts,ms_yds_per_tgts,avail_tgt_x_newteam,avail_yds_x_newteam,min_teammate,teammate_diff,max_teammate,avg_teammate
0,Jarvis Landry,WR,MIA,2017.0,25.0,54.58,0.0,161.0,112.0,987.0,9.0,69.6,16.0,16.0,49.0,7.0,61.7,8.8,4.0,3.26,4.09,71.0,27.0,1.09,1.07,11,33.0,5.8,33.77158273381295,11.258992805755396,556.0,79.61223021582731,344.0,61.86294964028777,3527.0,196.08758992805758,23.0,4.103057553956835,19.0,3.43705035971223,64.0863309352518,6.33705035971223,10.22841726618705,5.5717266187050365,4.909802158273381,5.599999999999999,32.0,5.436510791366906,200.0,-13.1,14,-0.3,-20.5,8.5,2.2,602.0,373.0,62.0,3792.0,24.0,21.0,33.0,257.0,78.7,3535.0,220.9,360.0,1388.0,3.86,4.0,66.0,86.8,93.0,159.0,22.0,274.0,225.0,79.0,35.1,28.0,5180.0,362.0,0.3986710963455149,0.6661129568106312,2504.0,0.3396624472573839,0.5999472573839663,0.2602848101265823,0.26744186046511625,0.9732388552559165,0.0,0.0,54.58,51.17333333333333,186.12,105.75333333333333
1,Kenny Stills,WR,MIA,2017.0,25.0,186.12,0.0,105.0,58.0,847.0,6.0,55.2,16.0,16.0,61.0,3.6,52.9,14.6,4.0,3.26,4.09,71.0,27.0,1.09,1.07,11,33.0,5.8,33.77158273381295,11.258992805755396,556.0,79.61223021582731,344.0,61.86294964028777,3527.0,196.08758992805758,23.0,4.103057553956835,19.0,3.43705035971223,64.0863309352518,6.33705035971223,10.22841726618705,5.5717266187050365,4.909802158273381,5.599999999999999,32.0,5.436510791366906,200.0,-13.1,14,-0.3,-20.5,8.5,2.2,602.0,373.0,62.0,3792.0,24.0,21.0,33.0,257.0,78.7,3535.0,220.9,360.0,1388.0,3.86,4.0,66.0,86.8,93.0,159.0,22.0,274.0,225.0,79.0,35.1,28.0,5180.0,362.0,0.3986710963455149,0.5730897009966778,2504.0,0.3396624472573839,0.5630274261603376,0.2233649789029536,0.1744186046511628,1.2806258790436005,0.0,0.0,54.58,51.17333333333333,186.12,105.75333333333333
2,DeVante Parker,WR,MIA,2017.0,24.0,76.56,0.0,96.0,57.0,670.0,1.0,59.4,13.0,12.0,36.0,4.4,51.5,11.8,1.0,3.26,4.09,71.0,27.0,1.09,1.07,11,33.0,5.8,33.77158273381295,11.258992805755396,556.0,79.61223021582731,344.0,61.86294964028777,3527.0,196.08758992805758,23.0,4.103057553956835,19.0,3.43705035971223,64.0863309352518,6.33705035971223,10.22841726618705,5.5717266187050365,4.909802158273381,5.599999999999999,32.0,5.436510791366906,200.0,-13.1,14,-0.3,-20.5,8.5,2.2,602.0,373.0,62.0,3792.0,24.0,21.0,33.0,257.0,78.7,3535.0,220.9,360.0,1388.0,3.86,4.0,66.0,86.8,93.0,159.0,22.0,274.0,225.0,79.0,35.1,28.0,5180.0,362.0,0.3986710963455149,0.5581395348837209,2504.0,0.3396624472573839,0.5163502109704641,0.17668776371308018,0.15946843853820597,1.107979518284107,0.0,0.0,54.58,51.17333333333333,186.12,105.75333333333333
3,Larry Fitzgerald,WR,ARI,2017.0,34.0,64.18,0.0,161.0,109.0,1156.0,6.0,67.7,16.0,16.0,37.0,6.8,72.3,10.6,1.0,4.02,3.38,68.0,20.0,0.9,0.3,26,52.0,8.1,33.80402010050251,5.628140703517588,597.0,76.02562814070352,338.0,56.62261306532664,3958.0,236.22211055276387,21.0,3.5351758793969847,18.0,2.990954773869347,49.31658291457286,6.634170854271357,11.686432160804019,5.583417085427136,4.984874371859297,5.992964824120604,52.0,7.926130653266331,200.0,-18.0,21,-6.7,-25.6,4.2,0.2,598.0,339.0,56.7,3979.0,21.0,18.0,52.0,339.0,76.2,3640.0,227.5,409.0,1386.0,3.39,6.0,66.0,86.6,58.0,224.0,22.0,304.0,239.0,91.0,38.1,27.0,5365.0,216.0,0.6387959866220736,0.9080267558528428,1455.0,0.6343302337270671,0.9248554913294798,0.29052525760241266,0.2692307692307692,1.0790938139518185,0.0,0.0,64.18,31.694999999999993,127.57,95.875
4,John Brown,WR,ARI,2017.0,27.0,127.57,0.0,55.0,21.0,299.0,3.0,38.2,10.0,5.0,52.0,2.1,29.9,14.2,0.0,4.02,3.38,68.0,20.0,0.9,0.3,26,52.0,8.1,33.80402010050251,5.628140703517588,597.0,76.02562814070352,338.0,56.62261306532664,3958.0,236.22211055276387,21.0,3.5351758793969847,18.0,2.990954773869347,49.31658291457286,6.634170854271357,11.686432160804019,5.583417085427136,4.984874371859297,5.992964824120604,52.0,7.926130653266331,200.0,-18.0,21,-6.7,-25.6,4.2,0.2,598.0,339.0,56.7,3979.0,21.0,18.0,52.0,339.0,76.2,3640.0,227.5,409.0,1386.0,3.39,6.0,66.0,86.6,58.0,224.0,22.0,304.0,239.0,91.0,38.1,27.0,5365.0,216.0,0.6387959866220736,0.7307692307692308,1455.0,0.6343302337270671,0.7094747423975873,0.07514450867052024,0.09197324414715718,0.8170257488176564,0.0,0.0,64.18,31.694999999999993,127.57,95.875
5,Michael Thomas,WR,NOR,2017.0,24.0,16.64,0.0,149.0,104.0,1245.0,5.0,69.8,16.0,14.0,43.0,6.5,77.8,12.0,0.0,4.93,5.11,69.0,15.0,1.3,1.37,2,20.0,4.0,38.0,16.0,536.0,103.9,386.0,72.0,4334.0,270.9,23.0,4.3,8.0,1.5,54.0,8.1,11.2,7.53,7.710000000000001,8.3,20.0,3.6,78.61,21.6,6,33.3,12.0,5.2,1.3,536.0,386.0,72.0,4334.0,23.0,8.0,20.0,145.0,103.9,4189.0,261.8,444.0,2070.0,4.66,23.0,111.0,129.4,89.0,182.0,41.0,312.0,211.0,82.0,38.9,46.0,6404.0,202.0,0.6231343283582089,0.9011194029850746,1701.0,0.6075219197046609,0.8947854176280572,0.2872634979233964,0.27798507462686567,1.0333774153485937,0.0,0.0,16.64,86.39333333333335,205.05,103.03333333333335
6,Brandon Coleman,WR,NOR,2017.0,25.0,205.05,0.0,37.0,23.0,364.0,3.0,62.2,16.0,6.0,54.0,1.4,22.8,15.8,2.0,4.93,5.11,69.0,15.0,1.3,1.37,2,20.0,4.0,38.0,16.0,536.0,103.9,386.0,72.0,4334.0,270.9,23.0,4.3,8.0,1.5,54.0,8.1,11.2,7.53,7.710000000000001,8.3,20.0,3.6,78.61,21.6,6,33.3,12.0,5.2,1.3,536.0,386.0,72.0,4334.0,23.0,8.0,20.0,145.0,103.9,4189.0,261.8,444.0,2070.0,4.66,23.0,111.0,129.4,89.0,182.0,41.0,312.0,211.0,82.0,38.9,46.0,6404.0,202.0,0.6231343283582089,0.6921641791044777,1701.0,0.6075219197046609,0.6915089986155976,0.08398707891093678,0.06902985074626866,1.2166776836827597,0.0,0.0,16.64,86.39333333333335,205.05,103.03333333333335
7,Willie Snead,WR,NOR,2017.0,25.0,87.41,0.0,16.0,8.0,92.0,0.0,50.0,11.0,7.0,26.0,0.7,8.4,11.5,1.0,4.93,5.11,69.0,15.0,1.3,1.37,2,20.0,4.0,38.0,16.0,536.0,103.9,386.0,72.0,4334.0,270.9,23.0,4.3,8.0,1.5,54.0,8.1,11.2,7.53,7.710000000000001,8.3,20.0,3.6,78.61,21.6,6,33.3,12.0,5.2,1.3,536.0,386.0,72.0,4334.0,23.0,8.0,20.0,145.0,103.9,4189.0,261.8,444.0,2070.0,4.66,23.0,111.0,129.4,89.0,182.0,41.0,312.0,211.0,82.0,38.9,46.0,6404.0,202.0,0.6231343283582089,0.6529850746268657,1701.0,0.6075219197046609,0.6287494231656668,0.021227503461006,0.029850746268656716,0.711121365943701,0.0,0.0,16.64,86.39333333333335,205.05,103.03333333333335
8,Keenan Allen,WR,LAC,2017.0,25.0,38.54,0.0,159.0,102.0,1393.0,6.0,64.2,16.0,15.0,51.0,6.4,87.1,13.7,1.0,3.71,3.93,58.0,24.0,1.17,0.78,3,18.0,4.2,36.0,16.0,575.0,96.0,360.0,62.6,4515.0,282.2,28.0,4.9,10.0,1.7,75.0,7.9,12.5,7.41,7.6,8.0,18.0,3.0,110.34,10.6,18,40.8,-15.8,5.8,2.3,583.0,366.0,62.8,4551.0,28.0,11.0,18.0,120.0,95.1,4431.0,276.9,419.0,1595.0,3.81,10.0,84.0,99.7,116.0,191.0,30.0,337.0,208.0,88.0,42.3,38.0,6146.0,251.0,0.5694682675814751,0.8421955403087479,2216.0,0.5130740496594155,0.8191606240386728,0.3060865743792573,0.2727272727272727,1.1223174393906101,0.0,0.0,38.54,61.660000000000004,149.41,100.2
9,Tyrell Williams,WR,LAC,2017.0,25.0,112.65,0.0,69.0,43.0,728.0,4.0,62.3,16.0,15.0,75.0,2.7,45.5,16.9,1.0,3.71,3.93,58.0,24.0,1.17,0.78,3,18.0,4.2,36.0,16.0,575.0,96.0,360.0,62.6,4515.0,282.2,28.0,4.9,10.0,1.7,75.0,7.9,12.5,7.41,7.6,8.0,18.0,3.0,110.34,10.6,18,40.8,-15.8,5.8,2.3,583.0,366.0,62.8,4551.0,28.0,11.0,18.0,120.0,95.1,4431.0,276.9,419.0,1595.0,3.81,10.0,84.0,99.7,116.0,191.0,30.0,337.0,208.0,88.0,42.3,38.0,6146.0,251.0,0.5694682675814751,0.6878216123499142,2216.0,0.5130740496594155,0.6730388925510877,0.15996484289167215,0.1183533447684391,1.3515870058818096,0.0,0.0,38.54,61.660000000000004,149.41,100.2
