year,policy,player,selections
2022,current_bench025,Dameon Pierce,4
2022,current_bench025,Hunter Renfrow,4
2022,current_bench025,Miles Sanders,3
2022,current_bench025,Myles Gaskin,3
2022,current_bench025,Darrell Henderson,2
2022,current_bench025,Dj Chark,2
2022,current_bench025,Elijah Moore,2
2022,current_bench025,Juju Smith Schuster,2
2022,current_bench025,Mecole Hardman,2
2022,current_bench025,Rashod Bateman,2
2022,current_bench025,Adam Thielen,1
2022,current_bench025,Allen Lazard,1
2022,current_bench025,Chase Claypool,1
2022,current_bench025,Christian Kirk,1
2022,current_bench025,Chuba Hubbard,1
2022,current_bench025,Cordarrelle Patterson,1
2022,current_bench025,Corey Davis,1
2022,current_bench025,Dernest Johnson,1
2022,current_bench025,Devante Parker,1
2022,current_bench025,Kj Osborn,1
2022,current_bench025,Michael Gallup,1
2022,current_bench025,Nyheim Hines,1
2022,current_bench025,Ronald Jones,1
2022,current_bench025,Rondale Moore,1
2022,current_bench025,Tim Patrick,1
2022,current_bench025,Trey Sermon,1
2022,current_bench025,Tyler Boyd,1
2022,current_bench025,Tyler Lockett,1
2022,keeper_0p01,Rhamondre Stevenson,157
2022,keeper_0p01,Michael Carter,127
2022,keeper_0p01,Kenneth Gainwell,114
2022,keeper_0p01,Tony Pollard,35
2022,keeper_0p01,Aj Dillon,18
2022,keeper_0p01,Damien Harris,18
2022,keeper_0p01,Devin Singletary,12
2022,keeper_0p01,James Robinson,8
2022,keeper_0p01,Alexander Mattison,7
2022,keeper_0p01,Cordarrelle Patterson,3
2022,keeper_0p01,Devonta Smith,1
2022,keeper_10p0,Rhamondre Stevenson,182
2022,keeper_10p0,Michael Carter,90
2022,keeper_10p0,Miles Sanders,56
2022,keeper_10p0,Kenneth Gainwell,54
2022,keeper_10p0,Damien Harris,43
2022,keeper_10p0,Tony Pollard,27
2022,keeper_10p0,Devin Singletary,25
2022,keeper_10p0,Aj Dillon,13
2022,keeper_10p0,Clyde Edwards Helaire,8
2022,keeper_10p0,Cordarrelle Patterson,1
2022,keeper_10p0,Devonta Smith,1
2022,keeper_1p0,Rhamondre Stevenson,176
2022,keeper_1p0,Michael Carter,122
2022,keeper_1p0,Kenneth Gainwell,87
2022,keeper_1p0,Damien Harris,32
2022,keeper_1p0,Tony Pollard,30
2022,keeper_1p0,Devin Singletary,18
2022,keeper_1p0,Aj Dillon,16
2022,keeper_1p0,Miles Sanders,14
2022,keeper_1p0,Clyde Edwards Helaire,2
2022,keeper_1p0,Cordarrelle Patterson,1
2022,keeper_1p0,Devonta Smith,1
2022,keeper_1p0,James Robinson,1
2022,keeper_engine0,Kenneth Walker,74
2022,keeper_engine0,Michael Carter,67
2022,keeper_engine0,Kenneth Gainwell,45
2022,keeper_engine0,James Robinson,39
2022,keeper_engine0,Rhamondre Stevenson,32
2022,keeper_engine0,Tony Pollard,26
2022,keeper_engine0,Rachaad White,20
2022,keeper_engine0,Alexander Mattison,19
2022,keeper_engine0,Aj Dillon,18
2022,keeper_engine0,Darrel Williams,17
2022,keeper_engine0,Devonta Smith,16
2022,keeper_engine0,Damien Harris,12
2022,keeper_engine0,Brandon Aiyuk,11
2022,keeper_engine0,Chase Edmonds,11
2022,keeper_engine0,Melvin Gordon,10
2022,keeper_engine0,Rashaad Penny,10
2022,keeper_engine0,Khalil Herbert,7
2022,keeper_engine0,Robert Woods,7
2022,keeper_engine0,Rashod Bateman,6
2022,keeper_engine0,Deandre Hopkins,5
2022,keeper_engine0,Devin Singletary,5
2022,keeper_engine0,Kadarius Toney,4
2022,keeper_engine0,Cordarrelle Patterson,3
2022,keeper_engine0,Dameon Pierce,3
2022,keeper_engine0,Elijah Moore,3
2022,keeper_engine0,Christian Kirk,2
2022,keeper_engine0,Darrell Henderson,2
2022,keeper_engine0,Dernest Johnson,2
2022,keeper_engine0,Dj Chark,2
2022,keeper_engine0,Hunter Renfrow,2
2022,keeper_engine0,Juju Smith Schuster,2
2022,keeper_engine0,Rondale Moore,2
2022,keeper_engine0,Trey Sermon,2
2022,keeper_engine0,Adam Thielen,1
2022,keeper_engine0,Allen Lazard,1
2022,keeper_engine0,Chase Claypool,1
2022,keeper_engine0,Chuba Hubbard,1
2022,keeper_engine0,Devante Parker,1
2022,keeper_engine0,Kareem Hunt,1
2022,keeper_engine0,Kj Osborn,1
2022,keeper_engine0,Mecole Hardman,1
2022,keeper_engine0,Myles Gaskin,1
2022,keeper_engine0,Nyheim Hines,1
2022,keeper_engine0,Russell Gage,1
2022,keeper_engine0,Sony Michel,1
2022,keeper_engine0,Tim Patrick,1
2022,keeper_engine0,Tyler Boyd,1
2022,keeper_tiebreak,Rhamondre Stevenson,157
2022,keeper_tiebreak,Michael Carter,127
2022,keeper_tiebreak,Kenneth Gainwell,114
2022,keeper_tiebreak,Tony Pollard,35
2022,keeper_tiebreak,Aj Dillon,18
2022,keeper_tiebreak,Damien Harris,18
2022,keeper_tiebreak,Devin Singletary,12
2022,keeper_tiebreak,James Robinson,8
