policy,seasons,forecast_ev,forecast_p10,forecast_p90,actual_points,actual_playoff_points,actual_waiver_starts,actual_cap_feasible,actual_cap_overage,forecast_salary_spend,starter_forecast_spend,bench_forecast_spend,bench_mean_price,bench_le5,bench_le10,top3_spend_share,stars_ge40,bench_actual_max4_ppg,predicted_keeper_option_top2,identified_keeper_count,identified_nominal_bench_count,identified_young_count,future_outcome_years,realized_next_keeper_surplus,realized_available_contract_surplus,realized_contract_surplus_per_year,realized_next_ppg_max,realized_next_market_value_max,realized_next_keeper_hits,roster_oracle_next_keeper_surplus,keeper_identification_regret,actual_keeper_cost_coverage
bench0,4,1610.68533984375,1457.9641342773439,1764.2469603271484,1586.1136817626953,411.75281982421876,43.394,0.058,37.982,295.7103612060547,259.78710105895993,35.92326103878021,7.184652198553085,2.149,3.644,0.5841417258679866,2.036,13.258206636404992,85.22193363332748,2.0,2.0,1.542,1.5,32.20648466701534,52.685565778926566,29.20375210826992,11.151729672114053,46.504216031528834,0.6583723227554856,72.986302733983,41.06478730538509,0.9013333333333332
current_bench025,4,1609.725651611328,1457.582653198242,1762.314452392578,1583.750741821289,410.5526188049316,42.769999999999996,0.049,38.086,295.692188659668,258.05820445251464,37.63398376178742,7.526796744346619,2.017,3.551,0.5771174757480622,2.019,13.472639969205858,84.97059186935425,2.0,2.0,1.533,1.5,33.73928375132615,53.883553361389204,30.26545940679364,11.42324548260371,48.143360652473625,0.7015322161384879,73.9312607604211,40.48460635990167,0.906
keeper_0p01,4,1618.8572827148437,1466.3391135253908,1772.5345233154296,1593.6656376953124,411.9021598510742,43.52,0.047,40.29,295.51564709472655,264.36084478759767,31.15480264282227,6.230960521101951,2.4130000000000003,4.024,0.5910464050173759,2.096,13.122408330607414,113.70143301773072,2.0,2.0,1.919,1.5,30.149413710848407,48.598994161486985,30.783423579979075,11.470348771731059,47.790279673912075,0.6040000000000001,74.61327853352087,44.463864822672456,0.8073333333333333
keeper_10p0,4,1619.8617025146484,1467.6653942871094,1772.675268798828,1601.3635627441406,413.8888186187744,42.897,0.023,43.179,295.6335227355957,260.87971339416504,34.75380985069275,6.950761966705322,2.111,3.762,0.587311349272728,2.071,13.152883306455612,117.04363483047486,2.0,2.0,1.838,1.5,30.686814076125824,52.94998695838336,32.18959245367636,11.52783157380422,48.087975029408504,0.6853333333333333,75.66096442884479,44.97415035271897,0.8473333333333333
keeper_1p0,4,1620.2208533935545,1467.8775108642578,1773.3470826416014,1596.725596557617,412.0500394592285,42.924,0.04,42.062,295.63870462036135,262.991256652832,32.64744865322113,6.529489728569985,2.268,3.912,0.590689571261406,2.097,13.096489988160133,115.56831494903565,2.0,2.0,1.905,1.5,31.05273122117465,52.049432453081515,32.3315381087614,11.580564866065979,49.06044822055933,0.6506666666666666,75.64026960565685,44.5875383844822,0.8333333333333334
keeper_engine0,4,1610.7097279052734,1457.8679600830078,1764.3647084960937,1586.6313406982422,412.0742395324707,43.397,0.056,38.168,295.76206576538084,259.8226930999756,35.93937338638305,7.187874667167664,2.1430000000000002,3.652,0.5841035710573197,2.04,13.27721996691227,85.32962348222733,2.0,2.0,1.548,1.5,32.15756000761352,52.23775281769263,29.28728800947856,11.116941656430562,46.28844045411833,0.6568365152512617,73.21389981574232,41.29244813986446,0.9013333333333332
keeper_tiebreak,4,1618.610547241211,1466.1607763671875,1772.2131563720702,1593.392477661133,411.8448999633789,43.559,0.045,40.385,295.49277896118167,264.2999666137695,31.192812525749204,6.238562497258187,2.415,4.023,0.5911746272444725,2.095,13.130594996929169,113.7032988357544,2.0,2.0,1.919,1.5,30.369877828308912,48.727727404360365,30.96503949238989,11.512415747642516,48.15469958097259,0.6053333333333334,74.66194118294426,44.29206335463535,0.806
