year,policy,trials,unique_rosters,forecast_ev,forecast_p10,forecast_p90,actual_points,actual_playoff_points,actual_waiver_starts,actual_cap_feasible,actual_cap_overage,forecast_salary_spend,starter_forecast_spend,bench_forecast_spend,bench_mean_price,bench_le5,bench_le10,top3_spend_share,stars_ge40,bench_actual_max4_ppg,predicted_keeper_option_top2,identified_keeper_count,identified_nominal_bench_count,identified_young_count,future_outcome_years,realized_next_keeper_surplus,realized_available_contract_surplus,realized_contract_surplus_per_year,realized_next_ppg_max,realized_next_market_value_max,realized_next_keeper_hits,roster_oracle_next_keeper_surplus,keeper_identification_regret,actual_keeper_cost_coverage
2022,bench0,250,250,1598.0309311523438,1434.9681591796875,1762.305962890625,1441.2966352539063,358.53152001953123,40.72,0.02,56.996,295.18809375,268.08748205566405,27.10061326980591,5.420122642517089,2.984,4.232,0.599424945473671,2.208,13.00949331483841,97.83594861602784,2.0,2.0,1.244,3.0,17.161046290298895,38.48680190816358,12.828933969387858,10.137518167018891,39.83729782810752,0.5766129032258065,44.250713943424316,27.446528249443354,0.89
2022,current_bench025,250,250,1599.2335717773437,1435.7961616210937,1763.4098715820312,1447.9138334960937,356.78728063964843,40.08,0.02,59.376,295.34645483398435,267.9410299682617,27.40542395401001,5.481084771156311,2.932,4.196,0.5939003434181214,2.24,13.193779999828338,99.19424681854248,2.0,2.0,1.268,3.0,17.783767398216124,39.98565906916901,13.328553023056337,10.62552233839035,40.09552159483486,0.6138211382113821,41.53328196358749,24.278550608925947,0.904
2022,keeper_0p01,250,250,1607.1710219726563,1442.9385244140626,1772.8273901367188,1465.52126953125,363.6872026367187,38.832,0.012,65.568,295.58763403320313,270.86612774658204,24.721506881713868,4.94430136680603,3.196,4.412,0.6012036093473434,2.24,13.895166609573364,120.64867211914063,2.0,2.0,1.68,3.0,1.167193810432408,1.7261908788631872,0.5753969596210624,9.543717171669007,21.343375327597197,0.14,32.32746813094163,31.160274320509227,1.0
2022,keeper_10p0,250,250,1605.1420888671876,1442.0010537109374,1768.4770141601562,1474.516400390625,365.62720111083985,37.028,0.004,67.216,295.44617761230467,262.98975885009764,32.4564203414917,6.491284067153931,2.668,3.928,0.581227994441986,2.124,14.56990653181076,125.37861547851563,2.0,2.0,1.396,3.0,0.9425338051531298,1.3397221281651792,0.4465740427217263,9.970905627250671,22.44391079062592,0.112,34.33766972542824,33.39513592027511,1.0
2022,keeper_1p0,250,250,1606.4736215820312,1442.2040239257813,1771.376443359375,1475.707349609375,366.2196812744141,37.18,0.012,67.768,295.31965625,267.85280010986327,27.466856380462648,5.493371268749237,2.94,4.204,0.5944881739616394,2.18,14.115086567497254,122.89070164489746,2.0,2.0,1.62,3.0,1.0913319829099295,1.5816514619000834,0.5272171539666944,9.800931393623353,22.345938105157312,0.124,35.093350936057114,34.002018953147186,1.0
2022,keeper_engine0,250,250,1598.4718881835938,1435.2793383789062,1762.9896015625,1441.7966357421874,358.09272033691406,40.616,0.02,57.324,295.26873901367185,268.0367250366211,27.23201658630371,5.446403301239013,2.972,4.232,0.5994074213504791,2.216,13.01598664216995,98.16402956390381,2.0,2.0,1.256,3.0,16.221024624474044,37.097575981951394,12.365858660650465,9.98004673242569,38.08189817814868,0.5483870967741935,43.64824179192284,27.779219117383658,0.892
2022,keeper_tiebreak,250,250,1607.099244140625,1442.7775659179688,1772.761970703125,1464.6776684570314,363.47240270996093,38.908,0.012,65.708,295.53164526367186,270.8776262817383,24.65401940917969,4.930803874015808,3.208,4.416,0.6021015664339066,2.248,13.874073276138306,120.67680320739746,2.0,2.0,1.68,3.0,1.167193810432408,1.7261908788631872,0.5753969596210624,9.566798121452331,21.439564189357647,0.14,32.25004118413773,31.08284737370532,1.0
2023,bench0,250,250,1525.1009311523437,1381.9954658203126,1668.23828125,1729.033361328125,491.6599990234375,59.124,0.124,24.676,295.9903062744141,264.7286672973633,31.261639781951903,6.252327947616577,2.728,3.94,0.6122338156700134,2.208,13.087386697769166,76.6860998802185,2.0,2.0,1.368,2.0,49.46365842851944,89.57514614638843,44.78757307319422,11.659491634845734,58.12859660005094,0.9065040650406504,119.45809850454675,70.49248719496164,0.848
2023,current_bench025,250,250,1522.105666015625,1381.3627817382812,1663.6050043945313,1723.650958984375,487.6634354248047,58.672,0.088,24.088,295.80234240722655,261.24497955322266,34.557361534118655,6.911472284317017,2.484,3.712,0.6020870858430862,2.2,13.407546688747408,76.68192980194092,2.0,2.0,1.336,2.0,50.16343447611179,88.3943516353481,44.19717581767405,11.814323247909545,59.123800823196845,0.9387755102040817,124.92990765224894,75.11532518500275,0.836
2023,keeper_0p01,250,249,1530.4258754882812,1388.4270981445313,1672.3817270507811,1736.1783969726562,494.0046389160156,60.612,0.104,23.992,295.80177429199216,266.50752716064454,29.29424652481079,5.85884929895401,2.472,4.312,0.6142945410013199,2.236,12.884626734542845,115.8147596282959,2.0,2.0,1.996,2.0,49.802091367078205,104.59183565056314,52.29591782528157,13.214857887268066,69.10373742925607,1.036,123.91726990272836,74.11517853565014,0.864
