year,policy,comparisons,roster_changed_rate,forecast_ev_effect,forecast_p10_effect,actual_points_effect,actual_playoff_points_effect,bench_forecast_spend_effect,top3_spend_share_effect,predicted_keeper_option_top2_effect,realized_next_keeper_surplus_effect,realized_next_keeper_hits_effect,actual_keeper_cost_coverage_effect
2022,keeper_0p01,250,0.956,8.6991337890625,7.65918603515625,23.7246337890625,5.594482299804688,-2.5105097045898437,0.0017961879968643186,22.484642555236817,-15.044417960731698,-0.40725806451612906,0.108
2022,keeper_10p0,250,0.996,6.67020068359375,6.72171533203125,32.7197646484375,7.5344807739257815,5.224403755187988,-0.018179426908493043,27.214585914611817,-15.270889740247098,-0.43548387096774194,0.108
2022,keeper_1p0,250,0.972,8.0017333984375,6.924685546875,33.9107138671875,8.126960937500002,0.2348397941589356,-0.0049192473888397216,24.72667208099365,-15.120891577185809,-0.42338709677419356,0.108
2022,keeper_tiebreak,250,0.956,8.62735595703125,7.4982275390625,22.88103271484375,5.379682373046875,-2.5779971771240233,0.0026941450834274292,22.512773643493652,-15.044417960731698,-0.40725806451612906,0.108
2023,keeper_0p01,250,0.968,5.10383447265625,5.9813291015625,6.524875488281251,2.2254395751953124,-1.9065559692382812,0.0016830624341964725,39.4909314994812,1.8323145351030308,0.1469387755102041,0.018
2023,keeper_10p0,250,0.996,10.662423828125,11.9602080078125,2.05544287109375,-5.113041870117187,5.398759147644043,-0.0013602979183197014,47.43969092941284,7.786149826047801,0.4816326530612245,0.136
2023,keeper_1p0,250,0.98,9.25217041015625,9.38571484375,4.884552734375002,-1.3308808593750006,1.2799045104980469,0.004693252086639406,44.36616975021362,5.618601255086569,0.31020408163265306,0.094
2023,keeper_tiebreak,250,0.968,4.4045361328125,5.4907802734375,6.54239453125,2.1866400146484377,-1.5691886825561523,0.0013208525180816654,39.44211172103882,1.7069418082003955,0.13877551020408163,0.012
2024,keeper_0p01,250,0.976,8.00926171875,7.98827880859375,-10.8710400390625,-0.9770424804687473,-5.70266007232666,0.008050819277763367,22.101804691314697,8.102627690590687,0.12,-0.408
2024,keeper_10p0,250,0.98,8.67738671875,8.4900390625,4.5251201171875,7.714956665039066,-6.255229881286621,0.011835556149482727,22.74506698989868,3.35783962518586,0.044,-0.406
2024,keeper_1p0,250,0.98,8.6969130859375,9.355333984375,-5.776324218750001,1.0114384765625024,-5.858255630493164,0.010631840825080872,22.413622089385985,6.9918201828466024,0.104,-0.406
2024,keeper_tiebreak,250,0.964,8.1415859375,8.122251953125,-11.06103955078125,-0.8962425537109348,-5.718775943756103,0.007653766632080079,22.12995665359497,8.806123436435401,0.132,-0.406
2025,keeper_0p01,250,0.964,10.7779892578125,12.25581982421875,8.75871875,-7.531198120117189,-9.01855722808838,0.01624126613140106,29.409859395980835,,,
2025,keeper_10p0,250,0.972,10.59788720703125,12.0177744140625,19.628560546875,-2.8780792236328114,-9.110187164306641,0.020535281538963317,29.456701559066772,,,
2025,keeper_1p0,250,0.968,12.09368505859375,14.37246875,7.3580810546875,-7.904318847656252,-8.824187606811524,0.01593815529346466,29.448301946640015,,,
2025,keeper_tiebreak,250,0.964,10.42979931640625,12.06000537109375,8.68216015625,-7.587438110351564,-9.12028163909912,0.016615460515022277,29.409859395980835,,,
