period,policy,comparisons,roster_changed_rate,forecast_ev_effect,forecast_p10_effect,actual_points_effect,actual_playoff_points_effect,bench_forecast_spend_effect,top3_spend_share_effect,predicted_keeper_option_top2_effect,realized_next_keeper_surplus_effect,realized_next_keeper_hits_effect,actual_keeper_cost_coverage_effect
current_development_2022_2024,keeper_0p01,750,0.9666666666666667,7.270743326822917,7.209597981770833,6.45948974609375,2.2809597981770846,-3.3732419153849285,0.0038433565696080526,28.025792915344237,-1.6910385875014087,-0.047106325706594884,-0.094
current_development_2022_2024,keeper_10p0,750,0.9906666666666667,8.670003743489584,9.05732080078125,13.100109212239584,3.37879852294922,1.4559776738484704,-0.0025680562257766725,32.46644794464111,-1.399884309425443,0.02826379542395693,-0.054
current_development_2022_2024,keeper_1p0,750,0.9773333333333334,8.650272298177084,8.555244791666667,11.006314127604167,2.6025061848958346,-1.4478371086120605,0.003468615174293519,30.502154640197755,-0.8418152865871068,-0.004037685060565276,-0.068
current_development_2022_2024,keeper_tiebreak,750,0.9626666666666667,7.057826009114583,7.0370865885416665,6.1207958984375,2.223359944661459,-3.2886539344787598,0.0038895880778630574,28.028280672709148,-1.4956716717947698,-0.04576043068640646,-0.09533333333333334
current_temporal_2025,keeper_0p01,250,0.964,10.7779892578125,12.25581982421875,8.75871875,-7.531198120117189,-9.01855722808838,0.01624126613140106,29.409859395980835,,,
current_temporal_2025,keeper_10p0,250,0.972,10.59788720703125,12.0177744140625,19.628560546875,-2.8780792236328114,-9.110187164306641,0.020535281538963317,29.456701559066772,,,
current_temporal_2025,keeper_1p0,250,0.968,12.09368505859375,14.37246875,7.3580810546875,-7.904318847656252,-8.824187606811524,0.01593815529346466,29.448301946640015,,,
current_temporal_2025,keeper_tiebreak,250,0.964,10.42979931640625,12.06000537109375,8.68216015625,-7.587438110351564,-9.12028163909912,0.016615460515022277,29.409859395980835,,,
keeper_development_2022_2023,keeper_0p01,500,0.962,6.901484130859375,6.820257568359375,15.124754638671876,3.9099609375,-2.2085328369140624,0.0017396252155303955,30.98778702735901,-6.6574007974872575,-0.13184584178498987,0.063
keeper_development_2022_2023,keeper_10p0,500,0.996,8.666312255859374,9.340961669921874,17.387603759765625,1.210719451904297,5.311581451416016,-0.009769862413406372,37.32713842201233,-3.8125232215001406,0.02028397565922921,0.122
keeper_development_2022_2023,keeper_1p0,500,0.976,8.626951904296876,8.1552001953125,19.39763330078125,3.3980400390625003,0.7573721523284913,-0.00011299765110015825,34.54642091560364,-4.8142470662188055,-0.058823529411764705,0.101
keeper_development_2022_2023,keeper_tiebreak,500,0.962,6.515946044921875,6.49450390625,14.711713623046874,3.7831611938476564,-2.0735929298400877,0.0020074988007545472,30.977442682266236,-6.719705702337452,-0.1359026369168357,0.06
keeper_temporal_2024,keeper_0p01,250,0.976,8.00926171875,7.98827880859375,-10.8710400390625,-0.9770424804687473,-5.70266007232666,0.008050819277763367,22.101804691314697,8.102627690590687,0.12,-0.408
keeper_temporal_2024,keeper_10p0,250,0.98,8.67738671875,8.4900390625,4.5251201171875,7.714956665039066,-6.255229881286621,0.011835556149482727,22.74506698989868,3.35783962518586,0.044,-0.406
keeper_temporal_2024,keeper_1p0,250,0.98,8.6969130859375,9.355333984375,-5.776324218750001,1.0114384765625024,-5.858255630493164,0.010631840825080872,22.413622089385985,6.9918201828466024,0.104,-0.406
keeper_temporal_2024,keeper_tiebreak,250,0.964,8.1415859375,8.122251953125,-11.06103955078125,-0.8962425537109348,-5.718775943756103,0.007653766632080079,22.12995665359497,8.806123436435401,0.132,-0.406
keeper_unrealized_2025,keeper_0p01,250,0.964,10.7779892578125,12.25581982421875,8.75871875,-7.531198120117189,-9.01855722808838,0.01624126613140106,29.409859395980835,,,
keeper_unrealized_2025,keeper_10p0,250,0.972,10.59788720703125,12.0177744140625,19.628560546875,-2.8780792236328114,-9.110187164306641,0.020535281538963317,29.456701559066772,,,
keeper_unrealized_2025,keeper_1p0,250,0.968,12.09368505859375,14.37246875,7.3580810546875,-7.904318847656252,-8.824187606811524,0.01593815529346466,29.448301946640015,,,
keeper_unrealized_2025,keeper_tiebreak,250,0.964,10.42979931640625,12.06000537109375,8.68216015625,-7.587438110351564,-9.12028163909912,0.016615460515022277,29.409859395980835,,,
