year,policy,comparisons,roster_changed_rate,forecast_ev_effect,forecast_p10_effect,actual_points_effect,actual_playoff_points_effect,bench_forecast_spend_effect,top3_spend_share_effect,predicted_keeper_option_top2_effect,realized_next_keeper_surplus_effect,realized_next_keeper_hits_effect,actual_keeper_cost_coverage_effect
2022,keeper_0p01,250,0.028,0.07177783203125,0.16095849609375,0.84360107421875,0.21479992675781273,0.06748747253417972,-0.0008979570865631103,-0.028131088256836106,0.0,0.0,0.0
2022,keeper_10p0,250,0.96,-1.9571552734375,-0.77651220703125,9.83873193359375,2.154798400878906,7.802400932312012,-0.02087357199192047,4.701812271118164,-0.22466000527927837,-0.028,0.0
2022,keeper_1p0,250,0.812,-0.62562255859375,-0.5735419921875,11.02968115234375,2.747278564453127,2.812836971282959,-0.007613392472267151,2.2138984375,-0.0758618275224786,-0.016,0.0
2023,keeper_0p01,250,0.052,0.69929833984375,0.490548828125,-0.01751904296874909,0.03879956054687523,-0.3373672866821289,0.0003622099161148071,0.04881977844238315,0.04210339346320973,0.008,0.006
2023,keeper_10p0,250,0.964,6.2578876953125,6.469427734375,-4.48695166015625,-7.299681884765625,6.967947830200195,-0.002681150436401367,7.997579208374025,6.62375255997956,0.356,0.124
2023,keeper_1p0,250,0.856,4.84763427734375,3.8949345703125,-1.657841796874998,-3.517520874023438,2.849093193054199,0.0033723995685577403,4.924058029174805,3.9387252597085,0.18,0.082
2024,keeper_0p01,250,0.052,-0.13232421875,-0.13397314453125,0.18999951171875,-0.0807999267578125,0.016115871429443353,0.00039705264568328836,-0.02815196228027338,-0.7034957458447136,-0.012,-0.002
2024,keeper_10p0,250,0.944,0.53580078125,0.367787109375,15.58615966796875,8.61119921875,-0.5364539375305177,0.0041817895174026485,0.615110336303711,-5.4482838112495395,-0.088,0.0
2024,keeper_1p0,250,0.736,0.5553271484375,1.23308203125,5.284715332031249,1.9076810302734373,-0.13947968673706052,0.0029780741930007936,0.28366543579101533,-1.8143032535887977,-0.028,0.0
2025,keeper_0p01,250,0.02,0.34818994140625,0.195814453125,0.07655859375,0.056239990234375,0.10172441101074219,-0.0003741943836212158,0.0,,,
2025,keeper_10p0,250,0.944,0.168087890625,-0.04223095703125,10.946400390625,4.709358886718752,0.010094474792480128,0.00391982102394104,0.04684216308593739,,,
2025,keeper_1p0,250,0.78,1.6638857421875,2.31246337890625,-1.3240791015625,-0.31688073730468774,0.2960940322875975,-0.000677305221557617,0.03844255065917957,,,
