player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
LeSean McCoy,4976,HB,16,PHI,365,314,1607,5.1,9,89.0,88.9,90.4,62.4,748,2.4,57,81,47,1,1,0
Marshawn Lynch,3628,HB,16,SEA,335,301,1262,4.2,12,88.1,87.2,58.5,62.3,752,2.5,43,68,50,3,1,0
Matt Forte,4358,HB,16,CHI,308,289,1339,4.6,9,73.6,68.5,79.6,58.7,684,2.4,55,74,32,3,0,0
Eddie Lacy,7842,HB,15,GB,300,284,1178,4.1,11,88.2,84.3,87.1,64.8,647,2.3,60,62,36,2,0,0
Ryan Mathews,5537,HB,16,SD,305,284,1249,4.4,6,70.4,68.1,76.5,57.7,641,2.3,51,54,17,2,1,0
Chris Johnson,4338,HB,16,TEN,295,279,1077,3.9,6,62.6,66.4,67.3,48.9,513,1.8,30,53,13,2,3,1
Adrian Peterson,3623,HB,14,MIN,292,279,1266,4.5,10,81.9,82.5,48.4,60.1,829,3.0,78,60,43,3,0,0
Frank Gore,2282,HB,16,SF,320,276,1128,4.1,9,71.4,66.8,64.1,77.0,552,2.0,51,57,16,3,0,0
Alfred Morris,7165,HB,16,WAS,333,276,1275,4.6,7,80.5,80.9,42.8,64.7,748,2.7,45,57,27,5,1,0
Jamaal Charles,4387,HB,15,KC,298,260,1279,4.9,12,84.5,85.7,57.8,64.8,578,2.2,46,73,33,4,3,1
Zac Stacy,7942,HB,13,STR,266,250,976,3.9,7,71.2,70.5,84.3,65.4,612,2.4,40,47,22,1,0,0
Le'Veon Bell,7829,HB,13,PIT,256,244,860,3.5,8,71.7,74.7,85.0,66.6,516,2.1,43,48,25,1,2,0
Knowshon Moreno,4935,HB,16,DEN,249,241,1038,4.3,10,77.5,74.8,85.5,67.8,489,2.0,31,53,12,1,4,0
Maurice Jones-Drew,3005,HB,15,JAX,248,234,803,3.4,5,73.0,66.7,84.6,68.1,516,2.2,48,44,16,1,0,0
Reggie Bush,2947,HB,14,DET,253,223,1006,4.5,4,74.9,72.6,39.3,58.5,468,2.1,39,48,33,5,1,0
BenJarvus Green-Ellis,4599,HB,16,CIN,240,220,756,3.4,7,58.2,60.1,68.0,56.5,438,2.0,25,48,13,2,0,0
Rashard Mendenhall,4337,HB,15,ARZ,228,217,687,3.2,8,65.4,63.0,44.4,58.9,392,1.8,28,43,19,4,0,0
DeMarco Murray,6223,HB,14,DAL,226,217,1124,5.2,9,80.3,77.8,64.1,58.3,588,2.7,43,60,26,2,2,0
Ray Rice,4369,HB,15,BLT,225,214,660,3.1,4,54.9,51.5,72.0,67.1,326,1.5,47,28,5,2,2,0
Fred Jackson,3368,HB,16,BUF,246,206,890,4.3,9,76.8,76.5,70.3,57.1,528,2.6,59,54,23,2,1,0
C.J. Spiller,5534,HB,15,BUF,218,202,930,4.6,2,71.3,71.5,42.2,59.9,456,2.3,77,26,27,4,1,0
DeAngelo Williams,2972,HB,15,CAR,241,201,843,4.2,3,70.8,68.8,62.5,57.0,467,2.3,43,36,19,1,0,0
Chris Ivory,6007,HB,15,NYJ,212,182,833,4.6,3,74.0,78.5,67.1,56.0,548,3.0,69,34,28,2,0,0
Ben Tate,5583,HB,14,HST,191,181,771,4.3,4,67.7,74.4,29.9,60.0,431,2.4,60,34,32,4,1,0
Stevan Ridley,6225,HB,14,NE,186,178,772,4.3,7,74.6,74.2,33.4,58.3,388,2.2,29,39,16,3,0,0
Lamar Miller,7097,HB,16,MIA,197,177,709,4.0,2,70.5,73.8,79.1,49.2,364,2.1,49,27,11,1,1,0
